emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.01,0.5005555555555555,0.495
cbow,1,1,2,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,2,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,3,0.01,0.5055555555555555,0.495
cbow,1,1,3,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,1,3,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,4,1.2742749857031335,0.5005555555555555,0.495
cbow,1,1,4,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,4,0.11288378916846889,0.5011111111111111,0.495
SVD,1,1,5,0.18329807108324356,0.6011111111111112,0.6
cbow,1,1,5,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,5,0.11288378916846889,0.5027777777777778,0.495
SVD,1,1,6,0.4832930238571752,0.6377777777777778,0.645
cbow,1,1,6,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,6,8.858667904100823,0.505,0.495
SVD,1,1,7,0.11288378916846889,0.715,0.72
cbow,1,1,7,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,7,0.11288378916846889,0.5005555555555555,0.495
SVD,1,1,8,0.06951927961775606,0.7816666666666666,0.765
cbow,1,1,8,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,1,8,0.4832930238571752,0.5005555555555555,0.495
SVD,1,1,9,0.7847599703514611,0.8194444444444444,0.805
cbow,1,1,9,0.01,0.5005555555555555,0.495
skipgram,1,1,9,0.4832930238571752,0.5011111111111111,0.495
SVD,1,1,10,0.01,0.8555555555555555,0.82
cbow,1,1,10,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,10,1.2742749857031335,0.5005555555555555,0.495
SVD,1,1,11,0.01,0.8922222222222222,0.88
cbow,1,1,11,0.01,0.5005555555555555,0.495
skipgram,1,1,11,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,12,0.01,0.885,0.895
cbow,1,1,12,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,12,0.06951927961775606,0.5005555555555555,0.495
