emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,3.359818286283781,0.5005555555555555,0.495
cbow,1,1,2,0.01,0.5005555555555555,0.495
skipgram,1,1,2,1.2742749857031335,0.5005555555555555,0.495
SVD,1,1,3,0.01,0.7872222222222223,0.765
cbow,1,1,3,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,3,1.2742749857031335,0.5005555555555555,0.495
SVD,1,1,4,0.29763514416313175,0.6838888888888889,0.68
cbow,1,1,4,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,4,0.4832930238571752,0.5011111111111111,0.495
SVD,1,1,5,0.06951927961775606,0.8433333333333334,0.825
cbow,1,1,5,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,5,0.4832930238571752,0.5005555555555555,0.495
SVD,1,1,6,0.06951927961775606,0.8838888888888888,0.875
cbow,1,1,6,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,6,0.4832930238571752,0.5005555555555555,0.495
SVD,1,1,7,0.016237767391887217,0.9177777777777778,0.9
cbow,1,1,7,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,7,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,8,0.01,0.9411111111111111,0.935
cbow,1,1,8,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,8,0.4832930238571752,0.5005555555555555,0.495
SVD,1,1,9,0.04281332398719394,0.9611111111111111,0.98
cbow,1,1,9,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,1,9,3.359818286283781,0.5005555555555555,0.495
SVD,1,1,10,0.04281332398719394,0.9633333333333334,0.985
cbow,1,1,10,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,10,5.455594781168514,0.5005555555555555,0.495
SVD,1,1,11,8.858667904100823,0.7344444444444445,0.675
cbow,1,1,11,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,11,1.2742749857031335,0.5005555555555555,0.495
SVD,1,1,12,0.01,0.9755555555555555,0.995
cbow,1,1,12,0.01,0.5005555555555555,0.495
skipgram,1,1,12,0.11288378916846889,0.5005555555555555,0.495
SVD,1,1,13,14.38449888287663,0.5005555555555555,0.495
cbow,1,1,13,2.06913808111479,0.5005555555555555,0.495
skipgram,1,1,13,0.7847599703514611,0.5005555555555555,0.495
SVD,1,1,14,8.858667904100823,0.5005555555555555,0.495
cbow,1,1,14,5.455594781168514,0.5005555555555555,0.495
skipgram,1,1,14,0.18329807108324356,0.5005555555555555,0.495
SVD,1,1,15,0.29763514416313175,0.6977777777777778,0.71
cbow,1,1,15,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,15,0.01,0.5005555555555555,0.495
SVD,1,1,16,0.01,0.9816666666666667,0.995
cbow,1,1,16,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,1,16,0.04281332398719394,0.5005555555555555,0.495
SVD,1,1,17,8.858667904100823,0.5005555555555555,0.495
cbow,1,1,17,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,17,0.7847599703514611,0.5005555555555555,0.495
SVD,1,1,18,0.29763514416313175,0.5005555555555555,0.495
cbow,1,1,18,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,1,18,5.455594781168514,0.5005555555555555,0.495
SVD,1,1,19,37.92690190732246,0.5005555555555555,0.495
cbow,1,1,19,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,19,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,20,2.06913808111479,0.5005555555555555,0.495
cbow,1,1,20,0.01,0.5005555555555555,0.495
skipgram,1,1,20,0.4832930238571752,0.5005555555555555,0.495
SVD,1,2,2,0.01,0.6326359832635984,0.5639097744360902
cbow,1,2,2,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,2,2,0.29763514416313175,0.4962840627580512,0.5333333333333333
SVD,1,2,3,0.18329807108324356,0.9740585774058578,0.9849624060150376
cbow,1,2,3,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,2,3,0.7847599703514611,0.4962840627580512,0.5333333333333333
SVD,1,2,4,0.06951927961775606,0.9481171548117154,0.9473684210526315
cbow,1,2,4,2.06913808111479,0.5005555555555555,0.495
skipgram,1,2,4,0.4832930238571752,0.4962840627580512,0.5333333333333333
SVD,1,2,5,2.06913808111479,0.499581589958159,0.5037593984962406
cbow,1,2,5,0.7847599703514611,0.5527777777777778,0.545
skipgram,1,2,5,3.359818286283781,0.4962840627580512,0.5333333333333333
SVD,1,2,6,0.7847599703514611,0.499581589958159,0.5037593984962406
cbow,1,2,6,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,2,6,0.4832930238571752,0.4962840627580512,0.5333333333333333
SVD,1,2,7,0.01,0.9690376569037656,0.9774436090225563
cbow,1,2,7,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,7,0.29763514416313175,0.4962840627580512,0.5333333333333333
SVD,1,2,8,0.01,0.9665271966527197,0.9849624060150376
cbow,1,2,8,3.359818286283781,0.5005555555555555,0.495
skipgram,1,2,8,0.01,0.4962840627580512,0.5333333333333333
SVD,1,2,9,5.455594781168514,0.499581589958159,0.5037593984962406
cbow,1,2,9,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,2,9,0.016237767391887217,0.4962840627580512,0.5333333333333333
SVD,1,2,10,0.4832930238571752,0.499581589958159,0.5037593984962406
cbow,1,2,10,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,2,10,0.18329807108324356,0.4962840627580512,0.5333333333333333
SVD,1,2,11,5.455594781168514,0.499581589958159,0.5037593984962406
cbow,1,2,11,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,11,0.29763514416313175,0.4962840627580512,0.5333333333333333
SVD,1,2,12,0.29763514416313175,0.499581589958159,0.5037593984962406
cbow,1,2,12,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,2,12,0.4832930238571752,0.4962840627580512,0.5333333333333333
SVD,1,2,13,0.4832930238571752,0.499581589958159,0.5037593984962406
cbow,1,2,13,0.01,0.5005555555555555,0.495
skipgram,1,2,13,0.4832930238571752,0.4962840627580512,0.5333333333333333
SVD,1,2,14,0.29763514416313175,0.499581589958159,0.5037593984962406
cbow,1,2,14,0.01,0.5005555555555555,0.495
skipgram,1,2,14,0.11288378916846889,0.4962840627580512,0.5333333333333333
SVD,1,2,15,0.7847599703514611,0.4903765690376569,0.48872180451127817
cbow,1,2,15,3.359818286283781,0.5005555555555555,0.495
skipgram,1,2,15,0.04281332398719394,0.4962840627580512,0.5333333333333333
SVD,1,2,16,0.11288378916846889,0.34309623430962344,0.3684210526315789
cbow,1,2,16,0.01,0.5005555555555555,0.495
skipgram,1,2,16,0.06951927961775606,0.4962840627580512,0.5333333333333333
SVD,1,2,17,0.18329807108324356,0.497071129707113,0.5037593984962406
