emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,1.2742749857031335,0.5064281721632197,0.44221105527638194
cbow,1,1,2,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,1,2,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,1,3,5.455594781168514,0.5064281721632197,0.44221105527638194
cbow,1,1,3,0.11288378916846889,0.5064281721632197,0.44221105527638194
skipgram,1,1,3,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,1,4,0.01,0.5064281721632197,0.44221105527638194
cbow,1,1,4,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,1,1,4,61.584821106602604,0.5064281721632197,0.44221105527638194
SVD,1,1,5,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,1,1,5,100.0,0.5064281721632197,0.44221105527638194
skipgram,1,1,5,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,1,1,6,0.7847599703514611,0.5064281721632197,0.44221105527638194
cbow,1,1,6,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,1,1,6,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,1,1,7,0.7847599703514611,0.5081050866405813,0.4472361809045226
cbow,1,1,7,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,1,1,7,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,1,1,8,0.7847599703514611,0.5081050866405813,0.44221105527638194
cbow,1,1,8,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,1,8,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,1,1,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,1,1,9,0.01,0.5064281721632197,0.44221105527638194
skipgram,1,1,9,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,1,1,10,0.04281332398719394,0.5064281721632197,0.44221105527638194
cbow,1,1,10,0.01,0.5064281721632197,0.44221105527638194
skipgram,1,1,10,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,1,11,0.06951927961775606,0.5064281721632197,0.44221105527638194
cbow,1,1,11,23.357214690901213,0.5058692006707658,0.4472361809045226
skipgram,1,1,11,100.0,0.5053102291783119,0.44221105527638194
SVD,1,1,12,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,1,1,12,0.11288378916846889,0.5053102291783119,0.4472361809045226
skipgram,1,1,12,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,1,1,13,0.4832930238571752,0.5064281721632197,0.44221105527638194
cbow,1,1,13,0.11288378916846889,0.5075461151481274,0.4371859296482412
skipgram,1,1,13,2.06913808111479,0.5064281721632197,0.4371859296482412
SVD,1,1,14,0.04281332398719394,0.5064281721632197,0.44221105527638194
cbow,1,1,14,0.18329807108324356,0.5058692006707658,0.4371859296482412
skipgram,1,1,14,23.357214690901213,0.504751257685858,0.44221105527638194
SVD,1,1,15,1.2742749857031335,0.5064281721632197,0.44221105527638194
cbow,1,1,15,2.06913808111479,0.504751257685858,0.4371859296482412
skipgram,1,1,15,0.29763514416313175,0.5053102291783119,0.44221105527638194
SVD,1,1,16,0.11288378916846889,0.5064281721632197,0.44221105527638194
cbow,1,1,16,0.4832930238571752,0.5053102291783119,0.4321608040201005
skipgram,1,1,16,2.06913808111479,0.5053102291783119,0.4472361809045226
SVD,1,1,17,0.016237767391887217,0.5064281721632197,0.44221105527638194
cbow,1,1,17,0.18329807108324356,0.5030743432084964,0.4321608040201005
skipgram,1,1,17,14.38449888287663,0.504751257685858,0.44221105527638194
SVD,1,1,18,0.7847599703514611,0.5064281721632197,0.44221105527638194
cbow,1,1,18,2.06913808111479,0.5030743432084964,0.4271356783919598
skipgram,1,1,18,3.359818286283781,0.504751257685858,0.4472361809045226
SVD,1,1,19,0.01,0.5064281721632197,0.44221105527638194
cbow,1,1,19,14.38449888287663,0.5053102291783119,0.4623115577889447
skipgram,1,1,19,3.359818286283781,0.5075461151481274,0.44221105527638194
SVD,1,1,20,1.2742749857031335,0.5064281721632197,0.44221105527638194
cbow,1,1,20,0.11288378916846889,0.49189491335941865,0.4221105527638191
skipgram,1,1,20,0.18329807108324356,0.504751257685858,0.44221105527638194
SVD,1,2,2,0.016237767391887217,0.5064281721632197,0.44221105527638194
cbow,1,2,2,37.92690190732246,0.5064281721632197,0.44221105527638194
skipgram,1,2,2,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,1,2,3,0.06951927961775606,0.5064281721632197,0.44221105527638194
cbow,1,2,3,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,1,2,3,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,1,2,4,0.01,0.5064281721632197,0.44221105527638194
cbow,1,2,4,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,1,2,4,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,1,2,5,0.11288378916846889,0.504751257685858,0.44221105527638194
cbow,1,2,5,0.7847599703514611,0.5041922861934042,0.44221105527638194
skipgram,1,2,5,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,1,2,6,0.29763514416313175,0.5153717160424819,0.4623115577889447
cbow,1,2,6,23.357214690901213,0.5041922861934042,0.44221105527638194
skipgram,1,2,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,2,7,0.18329807108324356,0.5064281721632197,0.44221105527638194
cbow,1,2,7,23.357214690901213,0.504751257685858,0.44221105527638194
skipgram,1,2,7,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,1,2,8,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,1,2,8,23.357214690901213,0.5058692006707658,0.4371859296482412
skipgram,1,2,8,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,1,2,9,0.01,0.5064281721632197,0.44221105527638194
cbow,1,2,9,2.06913808111479,0.5036333147009503,0.4371859296482412
skipgram,1,2,9,8.858667904100823,0.504751257685858,0.44221105527638194
SVD,1,2,10,0.016237767391887217,0.5064281721632197,0.44221105527638194
cbow,1,2,10,2.06913808111479,0.504751257685858,0.4371859296482412
skipgram,1,2,10,14.38449888287663,0.5058692006707658,0.4371859296482412
SVD,1,2,11,0.01,0.5064281721632197,0.44221105527638194
cbow,1,2,11,23.357214690901213,0.5002794857462269,0.4472361809045226
skipgram,1,2,11,23.357214690901213,0.504751257685858,0.4371859296482412
SVD,1,2,12,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,1,2,12,14.38449888287663,0.504751257685858,0.4321608040201005
skipgram,1,2,12,100.0,0.5036333147009503,0.44221105527638194
SVD,1,2,13,0.01,0.5064281721632197,0.44221105527638194
cbow,1,2,13,5.455594781168514,0.4991615427613192,0.4623115577889447
skipgram,1,2,13,61.584821106602604,0.5069871436556735,0.44221105527638194
SVD,1,2,14,0.7847599703514611,0.5064281721632197,0.44221105527638194
cbow,1,2,14,0.7847599703514611,0.5025153717160424,0.4221105527638191
skipgram,1,2,14,100.0,0.5058692006707658,0.457286432160804
SVD,1,2,15,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,1,2,15,0.29763514416313175,0.5081050866405813,0.44221105527638194
skipgram,1,2,15,8.858667904100823,0.5069871436556735,0.4221105527638191
SVD,1,2,16,2.06913808111479,0.5064281721632197,0.44221105527638194
cbow,1,2,16,14.38449888287663,0.5081050866405813,0.4120603015075377
skipgram,1,2,16,23.357214690901213,0.5036333147009503,0.4321608040201005
SVD,1,2,17,0.29763514416313175,0.5053102291783119,0.44221105527638194
cbow,1,2,17,37.92690190732246,0.5036333147009503,0.4371859296482412
skipgram,1,2,17,5.455594781168514,0.504751257685858,0.4321608040201005
SVD,1,2,18,1.2742749857031335,0.504751257685858,0.4371859296482412
cbow,1,2,18,14.38449888287663,0.4974846282839575,0.46733668341708545
skipgram,1,2,18,23.357214690901213,0.504751257685858,0.4472361809045226
SVD,1,2,19,1.2742749857031335,0.4974846282839575,0.4371859296482412
cbow,1,2,19,37.92690190732246,0.5019564002235886,0.4472361809045226
skipgram,1,2,19,2.06913808111479,0.5081050866405813,0.44221105527638194
SVD,1,2,20,23.357214690901213,0.47400782560089433,0.4120603015075377
cbow,1,2,20,2.06913808111479,0.5058692006707658,0.4321608040201005
skipgram,1,2,20,37.92690190732246,0.5053102291783119,0.44221105527638194
SVD,2,1,2,14.38449888287663,0.5064281721632197,0.44221105527638194
cbow,2,1,2,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,2,1,2,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,2,1,3,1.2742749857031335,0.5064281721632197,0.44221105527638194
cbow,2,1,3,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,1,3,8.858667904100823,0.5064281721632197,0.44221105527638194
SVD,2,1,4,0.06951927961775606,0.5064281721632197,0.44221105527638194
cbow,2,1,4,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,2,1,4,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,2,1,5,0.29763514416313175,0.5075461151481274,0.44221105527638194
cbow,2,1,5,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,2,1,5,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,2,1,6,2.06913808111479,0.5086640581330352,0.44221105527638194
cbow,2,1,6,0.11288378916846889,0.5064281721632197,0.44221105527638194
skipgram,2,1,6,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,2,1,7,14.38449888287663,0.5064281721632197,0.44221105527638194
cbow,2,1,7,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,1,7,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,2,1,8,0.026366508987303583,0.5064281721632197,0.44221105527638194
cbow,2,1,8,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,2,1,8,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,2,1,9,37.92690190732246,0.5064281721632197,0.44221105527638194
cbow,2,1,9,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,2,1,9,0.016237767391887217,0.5064281721632197,0.44221105527638194
SVD,2,1,10,14.38449888287663,0.5064281721632197,0.44221105527638194
cbow,2,1,10,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,2,1,10,0.016237767391887217,0.5064281721632197,0.44221105527638194
SVD,2,1,11,0.01,0.5064281721632197,0.44221105527638194
cbow,2,1,11,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,2,1,11,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,2,1,12,0.016237767391887217,0.5399664617104528,0.5226130653266332
cbow,2,1,12,8.858667904100823,0.5064281721632197,0.44221105527638194
skipgram,2,1,12,0.01,0.5064281721632197,0.44221105527638194
SVD,2,1,13,0.01,0.5572945779765232,0.507537688442211
cbow,2,1,13,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,2,1,13,0.01,0.5064281721632197,0.44221105527638194
SVD,2,1,14,0.04281332398719394,0.572945779765232,0.5226130653266332
cbow,2,1,14,37.92690190732246,0.5064281721632197,0.44221105527638194
skipgram,2,1,14,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,2,1,15,0.11288378916846889,0.5858021240916713,0.5276381909547738
cbow,2,1,15,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,2,1,15,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,2,1,16,0.06951927961775606,0.62157629960872,0.592964824120603
cbow,2,1,16,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,2,1,16,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,2,1,17,0.7847599703514611,0.6389044158747904,0.542713567839196
cbow,2,1,17,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,2,1,17,0.016237767391887217,0.5064281721632197,0.44221105527638194
SVD,2,1,18,5.455594781168514,0.6394633873672443,0.5979899497487438
cbow,2,1,18,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,2,1,18,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,2,1,19,37.92690190732246,0.6646171045276691,0.6080402010050251
cbow,2,1,19,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,2,1,19,0.016237767391887217,0.5064281721632197,0.44221105527638194
SVD,2,1,20,0.4832930238571752,0.6685299049748463,0.6381909547738693
cbow,2,1,20,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,2,1,20,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,2,2,2,0.026366508987303583,0.5064281721632197,0.44221105527638194
cbow,2,2,2,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,2,2,2,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,2,2,3,0.01,0.5064281721632197,0.44221105527638194
cbow,2,2,3,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,2,2,3,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,2,2,4,0.11288378916846889,0.5064281721632197,0.44221105527638194
cbow,2,2,4,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,2,2,4,0.026366508987303583,0.5064281721632197,0.44221105527638194
SVD,2,2,5,0.016237767391887217,0.5064281721632197,0.44221105527638194
cbow,2,2,5,0.026366508987303583,0.5064281721632197,0.44221105527638194
skipgram,2,2,5,0.01,0.5064281721632197,0.44221105527638194
SVD,2,2,6,61.584821106602604,0.5053102291783119,0.44221105527638194
cbow,2,2,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,2,2,6,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,2,2,7,0.29763514416313175,0.5064281721632197,0.44221105527638194
cbow,2,2,7,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,2,2,7,0.29763514416313175,0.5064281721632197,0.4371859296482412
SVD,2,2,8,0.026366508987303583,0.5064281721632197,0.44221105527638194
cbow,2,2,8,100.0,0.5064281721632197,0.44221105527638194
skipgram,2,2,8,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,2,2,9,0.026366508987303583,0.5064281721632197,0.44221105527638194
cbow,2,2,9,23.357214690901213,0.5064281721632197,0.44221105527638194
skipgram,2,2,9,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,2,2,10,0.026366508987303583,0.5064281721632197,0.44221105527638194
