emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,1,2,0.01,0.4916317991631799,0.575
cbow,1,1,2,0.01,0.5005555555555555,0.495
skipgram,1,1,2,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,3,2.06913808111479,0.4916317991631799,0.575
cbow,1,1,3,0.01,0.5005555555555555,0.495
skipgram,1,1,3,0.11288378916846889,0.5005555555555555,0.495
SVD,1,1,4,0.06951927961775606,0.5941422594142259,0.6625
cbow,1,1,4,1.2742749857031335,0.5005555555555555,0.495
skipgram,1,1,4,5.455594781168514,0.5116666666666667,0.505
SVD,1,1,5,3.359818286283781,0.6631799163179917,0.73125
cbow,1,1,5,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,1,5,0.04281332398719394,0.5005555555555555,0.495
SVD,1,1,6,0.11288378916846889,0.6903765690376569,0.7125
cbow,1,1,6,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,6,0.06951927961775606,0.5005555555555555,0.495
SVD,1,1,7,23.357214690901213,0.8437935843793585,0.86875
cbow,1,1,7,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,7,0.06951927961775606,0.5005555555555555,0.495
SVD,1,1,8,2.06913808111479,0.8256624825662483,0.8875
cbow,1,1,8,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,1,8,0.06951927961775606,0.5005555555555555,0.495
SVD,1,1,9,23.357214690901213,0.8619246861924686,0.89375
cbow,1,1,9,0.4832930238571752,0.5005555555555555,0.495
skipgram,1,1,9,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,10,0.016237767391887217,0.9191073919107392,0.91875
cbow,1,1,10,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,10,0.04281332398719394,0.5005555555555555,0.495
SVD,1,1,11,0.016237767391887217,0.9058577405857741,0.8875
cbow,1,1,11,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,1,11,0.026366508987303583,0.5005555555555555,0.495
SVD,1,1,12,0.18329807108324356,0.7573221757322176,0.8
cbow,1,1,12,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,1,12,37.92690190732246,0.5005555555555555,0.495
SVD,1,1,13,0.06951927961775606,0.4916317991631799,0.575
cbow,1,1,13,0.01,0.5005555555555555,0.495
skipgram,1,1,13,0.06951927961775606,0.5005555555555555,0.495
SVD,1,1,14,0.4832930238571752,0.4916317991631799,0.575
cbow,1,1,14,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,1,14,0.01,0.5005555555555555,0.495
SVD,1,1,15,0.4832930238571752,0.4916317991631799,0.575
