emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,23.357214690901213,0.16111111111111112,0.21666666666666667
skipgram,1,1,2,1.2742749857031335,0.16111111111111112,0.21666666666666667
svd,1,1,2,100.0,0.17592592592592593,0.08333333333333333
cbow,1,1,3,0.4832930238571752,0.16111111111111112,0.21666666666666667
skipgram,1,1,3,3.359818286283781,0.16111111111111112,0.21666666666666667
svd,1,1,3,100.0,0.17222222222222222,0.11666666666666667
cbow,1,1,4,1.2742749857031335,0.16111111111111112,0.21666666666666667
skipgram,1,1,4,61.584821106602604,0.16111111111111112,0.21666666666666667
svd,1,1,4,14.38449888287663,0.3296296296296296,0.3333333333333333
cbow,1,1,5,0.4832930238571752,0.17592592592592593,0.08333333333333333
skipgram,1,1,5,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,1,1,5,8.858667904100823,0.16111111111111112,0.21666666666666667
cbow,1,1,6,100.0,0.17592592592592593,0.08333333333333333
skipgram,1,1,6,14.38449888287663,0.16111111111111112,0.21666666666666667
svd,1,1,6,2.06913808111479,0.16111111111111112,0.21666666666666667
cbow,1,1,7,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,1,1,7,14.38449888287663,0.1574074074074074,0.25
svd,1,1,7,100.0,0.16111111111111112,0.21666666666666667
cbow,1,1,8,100.0,0.17592592592592593,0.08333333333333333
skipgram,1,1,8,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,1,1,8,14.38449888287663,0.17222222222222222,0.11666666666666667
cbow,1,1,9,3.359818286283781,0.17592592592592593,0.08333333333333333
skipgram,1,1,9,37.92690190732246,0.18518518518518517,0.15
svd,1,1,9,23.357214690901213,0.16111111111111112,0.21666666666666667
cbow,1,1,10,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,1,1,10,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,1,1,10,61.584821106602604,0.16111111111111112,0.21666666666666667
cbow,1,1,11,14.38449888287663,0.1111111111111111,0.16666666666666666
skipgram,1,1,11,2.06913808111479,0.18518518518518517,0.08333333333333333
svd,1,1,11,37.92690190732246,0.16111111111111112,0.21666666666666667
cbow,1,1,12,23.357214690901213,0.1111111111111111,0.1
skipgram,1,1,12,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,1,1,12,5.455594781168514,0.17037037037037037,0.11666666666666667
cbow,1,1,13,37.92690190732246,0.11851851851851852,0.18333333333333332
skipgram,1,1,13,100.0,0.16111111111111112,0.21666666666666667
svd,1,1,13,14.38449888287663,0.16111111111111112,0.21666666666666667
cbow,1,1,14,100.0,0.15555555555555556,0.25
skipgram,1,1,14,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,1,14,100.0,0.0,0.0
cbow,1,1,15,100.0,0.1962962962962963,0.31666666666666665
skipgram,1,1,15,37.92690190732246,0.15925925925925927,0.21666666666666667
svd,1,1,15,23.357214690901213,0.1574074074074074,0.25
cbow,1,1,16,0.4832930238571752,0.17592592592592593,0.08333333333333333
skipgram,1,1,16,100.0,0.16111111111111112,0.21666666666666667
svd,1,1,16,100.0,0.1574074074074074,0.25
cbow,1,1,17,100.0,0.07777777777777778,0.18333333333333332
skipgram,1,1,17,100.0,0.16666666666666666,0.21666666666666667
svd,1,1,17,0.7847599703514611,0.1574074074074074,0.25
cbow,1,1,18,14.38449888287663,0.1574074074074074,0.25
skipgram,1,1,18,61.584821106602604,0.14629629629629629,0.18333333333333332
svd,1,1,18,2.06913808111479,0.17592592592592593,0.08333333333333333
cbow,1,1,19,14.38449888287663,0.1537037037037037,0.23333333333333334
skipgram,1,1,19,61.584821106602604,0.16111111111111112,0.21666666666666667
svd,1,1,19,100.0,0.15925925925925927,0.26666666666666666
cbow,1,1,20,14.38449888287663,0.1574074074074074,0.23333333333333334
skipgram,1,1,20,37.92690190732246,0.17592592592592593,0.21666666666666667
svd,1,1,20,100.0,0.15185185185185185,0.13333333333333333
cbow,1,2,2,14.38449888287663,0.17592592592592593,0.08333333333333333
skipgram,1,2,2,5.455594781168514,0.17592592592592593,0.08333333333333333
svd,1,2,2,0.7847599703514611,0.17592592592592593,0.08333333333333333
cbow,1,2,3,8.858667904100823,0.17592592592592593,0.08333333333333333
skipgram,1,2,3,23.357214690901213,0.17592592592592593,0.08333333333333333
svd,1,2,3,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,1,2,4,5.455594781168514,0.17592592592592593,0.08333333333333333
skipgram,1,2,4,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,4,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,1,2,5,23.357214690901213,0.17592592592592593,0.08333333333333333
skipgram,1,2,5,5.455594781168514,0.17592592592592593,0.08333333333333333
svd,1,2,5,100.0,0.17592592592592593,0.08333333333333333
cbow,1,2,6,8.858667904100823,0.17592592592592593,0.08333333333333333
skipgram,1,2,6,100.0,0.17592592592592593,0.08333333333333333
svd,1,2,6,3.359818286283781,0.17592592592592593,0.08333333333333333
cbow,1,2,7,5.455594781168514,0.17592592592592593,0.08333333333333333
skipgram,1,2,7,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,1,2,7,2.06913808111479,0.17592592592592593,0.08333333333333333
cbow,1,2,8,1.2742749857031335,0.17592592592592593,0.08333333333333333
skipgram,1,2,8,3.359818286283781,0.17592592592592593,0.08333333333333333
svd,1,2,8,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,1,2,9,3.359818286283781,0.1814814814814815,0.08333333333333333
skipgram,1,2,9,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,1,2,9,100.0,0.17592592592592593,0.08333333333333333
cbow,1,2,10,23.357214690901213,0.1925925925925926,0.1
skipgram,1,2,10,100.0,0.17592592592592593,0.08333333333333333
svd,1,2,10,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,1,2,11,61.584821106602604,0.2,0.13333333333333333
skipgram,1,2,11,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,11,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,1,2,12,100.0,0.2796296296296296,0.15
skipgram,1,2,12,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,12,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,1,2,13,8.858667904100823,0.26296296296296295,0.15
skipgram,1,2,13,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,13,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,1,2,14,100.0,0.17592592592592593,0.08333333333333333
skipgram,1,2,14,23.357214690901213,0.19074074074074074,0.08333333333333333
svd,1,2,14,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,1,2,15,100.0,0.17592592592592593,0.08333333333333333
skipgram,1,2,15,100.0,0.17592592592592593,0.1
svd,1,2,15,61.584821106602604,0.17592592592592593,0.08333333333333333
cbow,1,2,16,37.92690190732246,0.17777777777777778,0.08333333333333333
skipgram,1,2,16,100.0,0.17592592592592593,0.08333333333333333
svd,1,2,16,37.92690190732246,0.17592592592592593,0.08333333333333333
cbow,1,2,17,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,1,2,17,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,17,100.0,0.17592592592592593,0.08333333333333333
cbow,1,2,18,37.92690190732246,0.17777777777777778,0.08333333333333333
skipgram,1,2,18,100.0,0.17777777777777778,0.08333333333333333
svd,1,2,18,37.92690190732246,0.17592592592592593,0.08333333333333333
cbow,1,2,19,61.584821106602604,0.25925925925925924,0.18333333333333332
skipgram,1,2,19,61.584821106602604,0.19074074074074074,0.08333333333333333
svd,1,2,19,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,1,2,20,5.455594781168514,0.17592592592592593,0.08333333333333333
skipgram,1,2,20,100.0,0.24814814814814815,0.21666666666666667
svd,1,2,20,3.359818286283781,0.17592592592592593,0.08333333333333333
cbow,2,1,2,37.92690190732246,0.16111111111111112,0.21666666666666667
skipgram,2,1,2,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,2,1,2,8.858667904100823,0.17222222222222222,0.11666666666666667
cbow,2,1,3,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,2,1,3,14.38449888287663,0.16111111111111112,0.21666666666666667
svd,2,1,3,23.357214690901213,0.17222222222222222,0.11666666666666667
cbow,2,1,4,14.38449888287663,0.16111111111111112,0.21666666666666667
skipgram,2,1,4,14.38449888287663,0.16111111111111112,0.21666666666666667
svd,2,1,4,37.92690190732246,0.1574074074074074,0.25
cbow,2,1,5,100.0,0.18888888888888888,0.13333333333333333
skipgram,2,1,5,0.18329807108324356,0.16111111111111112,0.21666666666666667
svd,2,1,5,2.06913808111479,0.1574074074074074,0.25
cbow,2,1,6,14.38449888287663,0.20185185185185187,0.23333333333333334
skipgram,2,1,6,23.357214690901213,0.16111111111111112,0.21666666666666667
svd,2,1,6,23.357214690901213,0.1574074074074074,0.25
cbow,2,1,7,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,2,1,7,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,2,1,7,5.455594781168514,0.1574074074074074,0.25
cbow,2,1,8,23.357214690901213,0.16111111111111112,0.21666666666666667
skipgram,2,1,8,0.29763514416313175,0.16111111111111112,0.21666666666666667
svd,2,1,8,3.359818286283781,0.1574074074074074,0.25
cbow,2,1,9,5.455594781168514,0.16111111111111112,0.21666666666666667
skipgram,2,1,9,8.858667904100823,0.16111111111111112,0.21666666666666667
svd,2,1,9,5.455594781168514,0.1574074074074074,0.25
cbow,2,1,10,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,2,1,10,23.357214690901213,0.15925925925925927,0.21666666666666667
svd,2,1,10,3.359818286283781,0.1574074074074074,0.25
cbow,2,1,11,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,2,1,11,3.359818286283781,0.1648148148148148,0.2
svd,2,1,11,0.4832930238571752,0.1574074074074074,0.25
cbow,2,1,12,5.455594781168514,0.16111111111111112,0.21666666666666667
skipgram,2,1,12,3.359818286283781,0.12777777777777777,0.23333333333333334
svd,2,1,12,5.455594781168514,0.1574074074074074,0.25
cbow,2,1,13,0.4832930238571752,0.16111111111111112,0.21666666666666667
skipgram,2,1,13,5.455594781168514,0.1574074074074074,0.15
svd,2,1,13,23.357214690901213,0.1574074074074074,0.25
cbow,2,1,14,0.11288378916846889,0.16111111111111112,0.21666666666666667
skipgram,2,1,14,61.584821106602604,0.1259259259259259,0.15
svd,2,1,14,3.359818286283781,0.1574074074074074,0.25
cbow,2,1,15,0.4832930238571752,0.16111111111111112,0.21666666666666667
skipgram,2,1,15,8.858667904100823,0.23703703703703705,0.36666666666666664
svd,2,1,15,0.29763514416313175,0.1574074074074074,0.25
cbow,2,1,16,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,2,1,16,14.38449888287663,0.17037037037037037,0.25
svd,2,1,16,37.92690190732246,0.17592592592592593,0.08333333333333333
cbow,2,1,17,2.06913808111479,0.16111111111111112,0.21666666666666667
skipgram,2,1,17,23.357214690901213,0.22407407407407406,0.18333333333333332
svd,2,1,17,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,2,1,18,5.455594781168514,0.16111111111111112,0.21666666666666667
skipgram,2,1,18,61.584821106602604,0.19444444444444445,0.23333333333333334
svd,2,1,18,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,2,1,19,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,2,1,19,5.455594781168514,0.21851851851851853,0.15
svd,2,1,19,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,2,1,20,0.29763514416313175,0.16111111111111112,0.21666666666666667
skipgram,2,1,20,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,2,1,20,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,2,2,2,8.858667904100823,0.17592592592592593,0.08333333333333333
skipgram,2,2,2,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,2,2,2,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,2,2,3,5.455594781168514,0.17592592592592593,0.08333333333333333
skipgram,2,2,3,0.7847599703514611,0.17592592592592593,0.08333333333333333
svd,2,2,3,100.0,0.17592592592592593,0.08333333333333333
cbow,2,2,4,0.4832930238571752,0.17592592592592593,0.08333333333333333
skipgram,2,2,4,14.38449888287663,0.17592592592592593,0.08333333333333333
svd,2,2,4,3.359818286283781,0.17592592592592593,0.08333333333333333
cbow,2,2,5,37.92690190732246,0.17592592592592593,0.08333333333333333
skipgram,2,2,5,0.4832930238571752,0.17592592592592593,0.08333333333333333
svd,2,2,5,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,2,2,6,0.7847599703514611,0.17592592592592593,0.08333333333333333
skipgram,2,2,6,5.455594781168514,0.17592592592592593,0.08333333333333333
svd,2,2,6,1.2742749857031335,0.17592592592592593,0.08333333333333333
cbow,2,2,7,8.858667904100823,0.17592592592592593,0.08333333333333333
skipgram,2,2,7,1.2742749857031335,0.17592592592592593,0.08333333333333333
svd,2,2,7,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,2,2,8,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,2,2,8,0.4832930238571752,0.17592592592592593,0.08333333333333333
svd,2,2,8,37.92690190732246,0.17592592592592593,0.08333333333333333
cbow,2,2,9,0.4832930238571752,0.17592592592592593,0.08333333333333333
skipgram,2,2,9,0.7847599703514611,0.17592592592592593,0.08333333333333333
svd,2,2,9,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,2,2,10,100.0,0.17592592592592593,0.08333333333333333
skipgram,2,2,10,0.29763514416313175,0.17592592592592593,0.08333333333333333
svd,2,2,10,37.92690190732246,0.17592592592592593,0.08333333333333333
cbow,2,2,11,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,2,2,11,1.2742749857031335,0.17592592592592593,0.08333333333333333
svd,2,2,11,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,2,2,12,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,2,2,12,1.2742749857031335,0.17592592592592593,0.08333333333333333
svd,2,2,12,61.584821106602604,0.17592592592592593,0.08333333333333333
cbow,2,2,13,8.858667904100823,0.17592592592592593,0.08333333333333333
skipgram,2,2,13,100.0,0.17592592592592593,0.08333333333333333
svd,2,2,13,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,2,2,14,3.359818286283781,0.17592592592592593,0.08333333333333333
skipgram,2,2,14,23.357214690901213,0.17592592592592593,0.08333333333333333
svd,2,2,14,1.2742749857031335,0.17592592592592593,0.08333333333333333
cbow,2,2,15,100.0,0.17592592592592593,0.08333333333333333
skipgram,2,2,15,1.2742749857031335,0.17592592592592593,0.08333333333333333
svd,2,2,15,61.584821106602604,0.17592592592592593,0.08333333333333333
cbow,2,2,16,61.584821106602604,0.17592592592592593,0.08333333333333333
skipgram,2,2,16,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,2,2,16,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,2,2,17,23.357214690901213,0.17037037037037037,0.1
skipgram,2,2,17,14.38449888287663,0.18333333333333332,0.13333333333333333
svd,2,2,17,37.92690190732246,0.12407407407407407,0.05
cbow,2,2,18,61.584821106602604,0.13518518518518519,0.06666666666666667
skipgram,2,2,18,23.357214690901213,0.17592592592592593,0.08333333333333333
svd,2,2,18,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,2,2,19,100.0,0.1425925925925926,0.05
skipgram,2,2,19,37.92690190732246,0.17037037037037037,0.08333333333333333
svd,2,2,19,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,2,2,20,61.584821106602604,0.17222222222222222,0.08333333333333333
skipgram,2,2,20,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,2,2,20,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,3,1,2,100.0,0.17222222222222222,0.11666666666666667
skipgram,3,1,2,14.38449888287663,0.16111111111111112,0.21666666666666667
svd,3,1,2,0.7847599703514611,0.1574074074074074,0.25
cbow,3,1,3,100.0,0.1537037037037037,0.21666666666666667
skipgram,3,1,3,3.359818286283781,0.16111111111111112,0.21666666666666667
svd,3,1,3,2.06913808111479,0.1574074074074074,0.25
cbow,3,1,4,61.584821106602604,0.17222222222222222,0.11666666666666667
skipgram,3,1,4,0.29763514416313175,0.16111111111111112,0.21666666666666667
svd,3,1,4,1.2742749857031335,0.1574074074074074,0.25
cbow,3,1,5,23.357214690901213,0.17592592592592593,0.08333333333333333
skipgram,3,1,5,0.7847599703514611,0.17777777777777778,0.08333333333333333
svd,3,1,5,61.584821106602604,0.1574074074074074,0.25
cbow,3,1,6,0.18329807108324356,0.17592592592592593,0.08333333333333333
skipgram,3,1,6,1.2742749857031335,0.16296296296296298,0.21666666666666667
svd,3,1,6,0.4832930238571752,0.1574074074074074,0.25
cbow,3,1,7,0.11288378916846889,0.17592592592592593,0.08333333333333333
skipgram,3,1,7,8.858667904100823,0.16111111111111112,0.21666666666666667
svd,3,1,7,37.92690190732246,0.1574074074074074,0.25
cbow,3,1,8,0.04281332398719394,0.17592592592592593,0.08333333333333333
skipgram,3,1,8,2.06913808111479,0.32592592592592595,0.3333333333333333
svd,3,1,8,3.359818286283781,0.1574074074074074,0.25
cbow,3,1,9,0.01,0.17592592592592593,0.08333333333333333
skipgram,3,1,9,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,3,1,9,3.359818286283781,0.1574074074074074,0.25
cbow,3,1,10,0.04281332398719394,0.17592592592592593,0.08333333333333333
skipgram,3,1,10,8.858667904100823,0.16111111111111112,0.21666666666666667
svd,3,1,10,3.359818286283781,0.17592592592592593,0.08333333333333333
cbow,3,1,11,0.06951927961775606,0.21851851851851853,0.21666666666666667
skipgram,3,1,11,2.06913808111479,0.16111111111111112,0.21666666666666667
svd,3,1,11,61.584821106602604,0.17592592592592593,0.08333333333333333
cbow,3,1,12,0.7847599703514611,0.16111111111111112,0.21666666666666667
skipgram,3,1,12,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,3,1,12,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,3,1,13,1.2742749857031335,0.24814814814814815,0.2833333333333333
skipgram,3,1,13,61.584821106602604,0.14074074074074075,0.11666666666666667
svd,3,1,13,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,3,1,14,14.38449888287663,0.16111111111111112,0.21666666666666667
skipgram,3,1,14,3.359818286283781,0.10185185185185185,0.06666666666666667
svd,3,1,14,2.06913808111479,0.17777777777777778,0.08333333333333333
cbow,3,1,15,0.4832930238571752,0.21481481481481482,0.15
skipgram,3,1,15,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,3,1,15,100.0,0.17592592592592593,0.08333333333333333
cbow,3,1,16,0.11288378916846889,0.18333333333333332,0.1
skipgram,3,1,16,8.858667904100823,0.16111111111111112,0.21666666666666667
svd,3,1,16,2.06913808111479,0.17592592592592593,0.08333333333333333
cbow,3,1,17,0.01,0.2037037037037037,0.15
skipgram,3,1,17,14.38449888287663,0.16111111111111112,0.21666666666666667
svd,3,1,17,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,3,1,18,0.01,0.17592592592592593,0.08333333333333333
skipgram,3,1,18,61.584821106602604,0.16111111111111112,0.21666666666666667
svd,3,1,18,3.359818286283781,0.17592592592592593,0.08333333333333333
cbow,3,1,19,0.01,0.17592592592592593,0.08333333333333333
skipgram,3,1,19,5.455594781168514,0.16111111111111112,0.21666666666666667
svd,3,1,19,0.7847599703514611,0.17592592592592593,0.08333333333333333
cbow,3,1,20,0.18329807108324356,0.1962962962962963,0.11666666666666667
skipgram,3,1,20,2.06913808111479,0.16111111111111112,0.21666666666666667
svd,3,1,20,5.455594781168514,0.17777777777777778,0.08333333333333333
cbow,3,2,2,2.06913808111479,0.17592592592592593,0.08333333333333333
skipgram,3,2,2,8.858667904100823,0.17592592592592593,0.08333333333333333
svd,3,2,2,37.92690190732246,0.17592592592592593,0.08333333333333333
cbow,3,2,3,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,3,2,3,5.455594781168514,0.16111111111111112,0.21666666666666667
svd,3,2,3,3.359818286283781,0.17592592592592593,0.08333333333333333
cbow,3,2,4,2.06913808111479,0.16111111111111112,0.21666666666666667
skipgram,3,2,4,0.7847599703514611,0.17592592592592593,0.08333333333333333
svd,3,2,4,3.359818286283781,0.1574074074074074,0.25
cbow,3,2,5,37.92690190732246,0.16111111111111112,0.21666666666666667
skipgram,3,2,5,8.858667904100823,0.17592592592592593,0.08333333333333333
svd,3,2,5,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,3,2,6,3.359818286283781,0.16666666666666666,0.25
skipgram,3,2,6,8.858667904100823,0.16111111111111112,0.21666666666666667
svd,3,2,6,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,3,2,7,0.7847599703514611,0.1814814814814815,0.2833333333333333
skipgram,3,2,7,2.06913808111479,0.16111111111111112,0.21666666666666667
svd,3,2,7,3.359818286283781,0.17592592592592593,0.08333333333333333
