emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,8.858667904100823,0.34814814814814815,0.2
skipgram,1,1,2,8.858667904100823,0.8240740740740741,0.9166666666666666
svd,1,1,2,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,1,1,3,14.38449888287663,0.17592592592592593,0.08333333333333333
skipgram,1,1,3,0.18329807108324356,0.8240740740740741,0.9166666666666666
svd,1,1,3,0.29763514416313175,0.17592592592592593,0.08333333333333333
cbow,1,1,4,3.359818286283781,0.17592592592592593,0.08333333333333333
skipgram,1,1,4,0.04281332398719394,0.17592592592592593,0.08333333333333333
svd,1,1,4,0.01,0.17592592592592593,0.08333333333333333
cbow,1,1,5,0.06951927961775606,0.17592592592592593,0.08333333333333333
skipgram,1,1,5,0.04281332398719394,0.17592592592592593,0.08333333333333333
svd,1,1,5,5.455594781168514,0.8240740740740741,0.9166666666666666
cbow,1,1,6,0.29763514416313175,0.17592592592592593,0.08333333333333333
skipgram,1,1,6,0.01,0.17592592592592593,0.08333333333333333
svd,1,1,6,0.01,0.17592592592592593,0.08333333333333333
cbow,1,1,7,1.2742749857031335,0.17592592592592593,0.08333333333333333
skipgram,1,1,7,0.18329807108324356,0.17592592592592593,0.08333333333333333
svd,1,1,7,0.01,0.4185185185185185,0.3
cbow,1,1,8,3.359818286283781,0.17592592592592593,0.08333333333333333
skipgram,1,1,8,0.18329807108324356,0.17592592592592593,0.08333333333333333
svd,1,1,8,0.01,0.17592592592592593,0.08333333333333333
cbow,1,1,9,23.357214690901213,0.1814814814814815,0.08333333333333333
skipgram,1,1,9,100.0,0.8222222222222222,0.9166666666666666
svd,1,1,9,0.01,0.35,0.2
cbow,1,1,10,1.2742749857031335,0.18888888888888888,0.1
skipgram,1,1,10,23.357214690901213,0.3537037037037037,0.2
svd,1,1,10,0.026366508987303583,0.17592592592592593,0.08333333333333333
cbow,1,1,11,8.858667904100823,0.18703703703703703,0.08333333333333333
skipgram,1,1,11,100.0,0.387037037037037,0.21666666666666667
svd,1,1,11,0.01,0.35,0.2
cbow,1,1,12,5.455594781168514,0.8240740740740741,0.9166666666666666
skipgram,1,1,12,23.357214690901213,0.8240740740740741,0.9166666666666666
svd,1,1,12,5.455594781168514,0.35185185185185186,0.2
cbow,1,1,13,100.0,0.8240740740740741,0.9166666666666666
skipgram,1,1,13,0.29763514416313175,0.1814814814814815,0.08333333333333333
svd,1,1,13,0.01,0.17592592592592593,0.08333333333333333
cbow,1,1,14,5.455594781168514,0.17962962962962964,0.08333333333333333
skipgram,1,1,14,100.0,0.8240740740740741,0.9166666666666666
svd,1,1,14,0.01,0.3537037037037037,0.21666666666666667
cbow,1,1,15,23.357214690901213,0.8240740740740741,0.9166666666666666
skipgram,1,1,15,61.584821106602604,0.8240740740740741,0.9166666666666666
svd,1,1,15,0.01,0.45925925925925926,0.3333333333333333
cbow,1,1,16,100.0,0.8240740740740741,0.9166666666666666
skipgram,1,1,16,3.359818286283781,0.8240740740740741,0.9166666666666666
svd,1,1,16,0.01,0.34814814814814815,0.21666666666666667
cbow,1,1,17,14.38449888287663,0.17592592592592593,0.08333333333333333
skipgram,1,1,17,100.0,0.43333333333333335,0.3
svd,1,1,17,0.01,0.35555555555555557,0.2
cbow,1,1,18,37.92690190732246,0.8240740740740741,0.9166666666666666
skipgram,1,1,18,61.584821106602604,0.8148148148148148,0.9166666666666666
svd,1,1,18,0.01,0.4703703703703704,0.31666666666666665
cbow,1,1,19,23.357214690901213,0.6722222222222223,0.7166666666666667
skipgram,1,1,19,100.0,0.8240740740740741,0.9166666666666666
svd,1,1,19,0.01,0.43703703703703706,0.26666666666666666
cbow,1,1,20,8.858667904100823,0.43333333333333335,0.38333333333333336
skipgram,1,1,20,61.584821106602604,0.8240740740740741,0.9166666666666666
svd,1,1,20,0.01,0.38333333333333336,0.21666666666666667
cbow,1,2,2,2.06913808111479,0.17592592592592593,0.08333333333333333
skipgram,1,2,2,0.01,0.17592592592592593,0.08333333333333333
svd,1,2,2,0.026366508987303583,0.17592592592592593,0.08333333333333333
cbow,1,2,3,0.026366508987303583,0.17592592592592593,0.08333333333333333
skipgram,1,2,3,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,3,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,1,2,4,0.026366508987303583,0.17592592592592593,0.08333333333333333
skipgram,1,2,4,2.06913808111479,0.17592592592592593,0.08333333333333333
svd,1,2,4,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,1,2,5,5.455594781168514,0.17592592592592593,0.08333333333333333
skipgram,1,2,5,0.026366508987303583,0.17592592592592593,0.08333333333333333
svd,1,2,5,0.4832930238571752,0.17592592592592593,0.08333333333333333
cbow,1,2,6,0.016237767391887217,0.17592592592592593,0.08333333333333333
skipgram,1,2,6,61.584821106602604,0.17592592592592593,0.08333333333333333
svd,1,2,6,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,1,2,7,0.4832930238571752,0.17592592592592593,0.08333333333333333
skipgram,1,2,7,0.29763514416313175,0.17592592592592593,0.08333333333333333
svd,1,2,7,0.06951927961775606,0.17592592592592593,0.08333333333333333
cbow,1,2,8,5.455594781168514,0.21296296296296297,0.08333333333333333
skipgram,1,2,8,1.2742749857031335,0.17592592592592593,0.08333333333333333
svd,1,2,8,14.38449888287663,0.17592592592592593,0.08333333333333333
cbow,1,2,9,3.359818286283781,0.2,0.11666666666666667
skipgram,1,2,9,0.026366508987303583,0.17592592592592593,0.08333333333333333
svd,1,2,9,0.7847599703514611,0.17592592592592593,0.08333333333333333
cbow,1,2,10,100.0,0.1814814814814815,0.08333333333333333
skipgram,1,2,10,3.359818286283781,0.17592592592592593,0.08333333333333333
svd,1,2,10,0.016237767391887217,0.17592592592592593,0.08333333333333333
cbow,1,2,11,61.584821106602604,0.18518518518518517,0.1
skipgram,1,2,11,14.38449888287663,0.2,0.08333333333333333
svd,1,2,11,1.2742749857031335,0.17592592592592593,0.08333333333333333
cbow,1,2,12,37.92690190732246,0.8703703703703703,0.85
skipgram,1,2,12,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,1,2,12,61.584821106602604,0.17592592592592593,0.08333333333333333
cbow,1,2,13,100.0,0.18518518518518517,0.1
skipgram,1,2,13,61.584821106602604,0.29074074074074074,0.23333333333333334
svd,1,2,13,0.4832930238571752,0.17592592592592593,0.08333333333333333
cbow,1,2,14,0.4832930238571752,0.2611111111111111,0.2
skipgram,1,2,14,8.858667904100823,0.2,0.11666666666666667
svd,1,2,14,23.357214690901213,0.17592592592592593,0.08333333333333333
cbow,1,2,15,37.92690190732246,0.17592592592592593,0.08333333333333333
skipgram,1,2,15,14.38449888287663,0.17592592592592593,0.08333333333333333
svd,1,2,15,5.455594781168514,0.17592592592592593,0.08333333333333333
cbow,1,2,16,100.0,0.17777777777777778,0.08333333333333333
skipgram,1,2,16,0.18329807108324356,0.17592592592592593,0.08333333333333333
svd,1,2,16,37.92690190732246,0.17592592592592593,0.08333333333333333
