emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,0.11288378916846889,0.5088495575221239,0.4230769230769231
skipgram,1,1,2,0.026366508987303583,0.5088495575221239,0.4230769230769231
svd,1,1,2,0.29763514416313175,0.4911504424778761,0.5769230769230769
cbow,1,1,3,0.29763514416313175,0.5088495575221239,0.4230769230769231
skipgram,1,1,3,0.016237767391887217,0.5088495575221239,0.4230769230769231
svd,1,1,3,2.06913808111479,0.4911504424778761,0.5769230769230769
cbow,1,1,4,0.7847599703514611,0.5088495575221239,0.4230769230769231
skipgram,1,1,4,0.18329807108324356,0.5088495575221239,0.4230769230769231
svd,1,1,4,0.016237767391887217,0.5088495575221239,0.4230769230769231
cbow,1,1,5,0.7847599703514611,0.4911504424778761,0.5769230769230769
skipgram,1,1,5,0.7847599703514611,0.5088495575221239,0.4230769230769231
svd,1,1,5,0.18329807108324356,0.5088495575221239,0.4230769230769231
cbow,1,1,6,23.357214690901213,0.4911504424778761,0.5769230769230769
skipgram,1,1,6,0.29763514416313175,0.5530973451327433,0.6153846153846154
svd,1,1,6,0.04281332398719394,0.5088495575221239,0.4230769230769231
cbow,1,1,7,5.455594781168514,0.4911504424778761,0.5769230769230769
skipgram,1,1,7,3.359818286283781,0.4911504424778761,0.5769230769230769
svd,1,1,7,0.016237767391887217,0.5088495575221239,0.4230769230769231
cbow,1,1,8,23.357214690901213,0.4911504424778761,0.5769230769230769
skipgram,1,1,8,8.858667904100823,0.4911504424778761,0.5769230769230769
svd,1,1,8,1.2742749857031335,0.5088495575221239,0.4230769230769231
cbow,1,1,9,37.92690190732246,0.504424778761062,0.5769230769230769
skipgram,1,1,9,14.38449888287663,0.5088495575221239,0.4230769230769231
svd,1,1,9,3.359818286283781,0.5088495575221239,0.4230769230769231
cbow,1,1,10,14.38449888287663,0.5088495575221239,0.4230769230769231
skipgram,1,1,10,37.92690190732246,0.5088495575221239,0.4230769230769231
svd,1,1,10,14.38449888287663,0.5088495575221239,0.4230769230769231
cbow,1,1,11,61.584821106602604,0.5088495575221239,0.4230769230769231
skipgram,1,1,11,23.357214690901213,0.5088495575221239,0.4230769230769231
svd,1,1,11,0.11288378916846889,0.5088495575221239,0.4230769230769231
cbow,1,1,12,3.359818286283781,0.5088495575221239,0.4230769230769231
skipgram,1,1,12,0.11288378916846889,0.4911504424778761,0.5769230769230769
svd,1,1,12,14.38449888287663,0.5088495575221239,0.4230769230769231
cbow,1,1,13,2.06913808111479,0.5088495575221239,0.4230769230769231
skipgram,1,1,13,3.359818286283781,0.504424778761062,0.5769230769230769
svd,1,1,13,3.359818286283781,0.5088495575221239,0.4230769230769231
cbow,1,1,14,8.858667904100823,0.5088495575221239,0.4230769230769231
skipgram,1,1,14,8.858667904100823,0.49557522123893805,0.5769230769230769
svd,1,1,14,0.026366508987303583,0.4911504424778761,0.5769230769230769
cbow,1,1,15,37.92690190732246,0.5088495575221239,0.4230769230769231
skipgram,1,1,15,0.06951927961775606,0.4911504424778761,0.5769230769230769
svd,1,1,15,0.04281332398719394,0.4911504424778761,0.5769230769230769
cbow,1,1,16,3.359818286283781,0.5088495575221239,0.4230769230769231
skipgram,1,1,16,23.357214690901213,0.504424778761062,0.4230769230769231
svd,1,1,16,0.11288378916846889,0.4911504424778761,0.5769230769230769
cbow,1,1,17,23.357214690901213,0.5088495575221239,0.4230769230769231
skipgram,1,1,17,5.455594781168514,0.5088495575221239,0.4230769230769231
svd,1,1,17,0.06951927961775606,0.4911504424778761,0.5769230769230769
cbow,1,1,18,100.0,0.5088495575221239,0.4230769230769231
skipgram,1,1,18,1.2742749857031335,0.5088495575221239,0.4230769230769231
svd,1,1,18,0.016237767391887217,0.4911504424778761,0.5769230769230769
cbow,1,1,19,100.0,0.37168141592920356,0.23076923076923078
skipgram,1,1,19,14.38449888287663,0.5088495575221239,0.4230769230769231
svd,1,1,19,0.026366508987303583,0.4911504424778761,0.5769230769230769
cbow,1,1,20,61.584821106602604,0.3805309734513274,0.46153846153846156
skipgram,1,1,20,37.92690190732246,0.5088495575221239,0.4230769230769231
svd,1,1,20,0.06951927961775606,0.4911504424778761,0.5769230769230769
cbow,1,2,2,37.92690190732246,0.5088495575221239,0.4230769230769231
skipgram,1,2,2,2.06913808111479,0.4911504424778761,0.5769230769230769
svd,1,2,2,0.11288378916846889,0.4911504424778761,0.5769230769230769
cbow,1,2,3,0.01,0.4911504424778761,0.5769230769230769
skipgram,1,2,3,0.01,0.4911504424778761,0.5769230769230769
svd,1,2,3,0.01,0.4911504424778761,0.5769230769230769
cbow,1,2,4,0.01,0.4911504424778761,0.5769230769230769
skipgram,1,2,4,0.01,0.4911504424778761,0.5769230769230769
svd,1,2,4,0.01,0.4911504424778761,0.5769230769230769
cbow,1,2,5,0.01,0.4911504424778761,0.5769230769230769
skipgram,1,2,5,0.01,0.4911504424778761,0.5769230769230769
svd,1,2,5,14.38449888287663,0.4911504424778761,0.5769230769230769
cbow,1,2,6,0.01,0.4911504424778761,0.5769230769230769
skipgram,1,2,6,0.01,0.4911504424778761,0.5769230769230769
svd,1,2,6,0.06951927961775606,0.4911504424778761,0.5769230769230769
cbow,1,2,7,0.01,0.4911504424778761,0.5769230769230769
skipgram,1,2,7,0.01,0.4911504424778761,0.5769230769230769
svd,1,2,7,0.04281332398719394,0.4911504424778761,0.5769230769230769
cbow,1,2,8,0.016237767391887217,0.4911504424778761,0.5769230769230769
skipgram,1,2,8,0.01,0.4911504424778761,0.5769230769230769
