emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,1,2,0.18329807108324356,0.5,0.5
skipgram,1,1,2,0.29763514416313175,0.5,0.5
svd,1,1,2,2.06913808111479,0.5,0.5
cbow,1,1,3,0.06951927961775606,0.5,0.5
skipgram,1,1,3,0.016237767391887217,0.5,0.5
svd,1,1,3,0.04281332398719394,0.5,0.5
cbow,1,1,4,0.06951927961775606,0.5,0.5
skipgram,1,1,4,0.06951927961775606,0.5,0.5
svd,1,1,4,0.016237767391887217,0.5,0.5
cbow,1,1,5,0.01,0.5,0.5
skipgram,1,1,5,1.2742749857031335,0.5,0.5
svd,1,1,5,0.016237767391887217,0.5,0.5
cbow,1,1,6,0.4832930238571752,0.5,0.5
skipgram,1,1,6,0.016237767391887217,0.5,0.5
svd,1,1,6,0.04281332398719394,0.5,0.5
cbow,1,1,7,0.7847599703514611,0.5,0.5
skipgram,1,1,7,1.2742749857031335,0.5,0.5
svd,1,1,7,0.01,0.5,0.5
cbow,1,1,8,0.016237767391887217,0.5,0.5
skipgram,1,1,8,0.4832930238571752,0.5,0.5
svd,1,1,8,0.11288378916846889,0.5,0.5
cbow,1,1,9,14.38449888287663,0.5,0.5
skipgram,1,1,9,5.455594781168514,0.5,0.5
svd,1,1,9,0.18329807108324356,0.5,0.5
cbow,1,1,10,8.858667904100823,0.5,0.5
skipgram,1,1,10,100.0,0.5,0.5
svd,1,1,10,0.06951927961775606,0.5,0.5
cbow,1,1,11,0.01,0.5,0.5
skipgram,1,1,11,8.858667904100823,0.5,0.5
svd,1,1,11,0.18329807108324356,0.5,0.5
cbow,1,1,12,0.11288378916846889,0.5,0.5
skipgram,1,1,12,0.01,0.5,0.5
svd,1,1,12,1.2742749857031335,0.5,0.5
cbow,1,1,13,3.359818286283781,0.5,0.5
skipgram,1,1,13,5.455594781168514,0.5,0.5
svd,1,1,13,0.06951927961775606,0.5,0.5
cbow,1,1,14,23.357214690901213,0.5,0.5
skipgram,1,1,14,0.016237767391887217,0.5,0.5
svd,1,1,14,0.026366508987303583,0.5,0.5
cbow,1,1,15,2.06913808111479,0.5,0.5
skipgram,1,1,15,8.858667904100823,0.5,0.5
svd,1,1,15,0.29763514416313175,0.5,0.5
cbow,1,1,16,1.2742749857031335,0.5055555555555555,0.5
skipgram,1,1,16,0.06951927961775606,0.5,0.5
svd,1,1,16,0.01,0.5,0.5
cbow,1,1,17,0.04281332398719394,0.5,0.5
skipgram,1,1,17,0.026366508987303583,0.5,0.5
svd,1,1,17,1.2742749857031335,0.5,0.5
cbow,1,1,18,23.357214690901213,0.5,0.5
skipgram,1,1,18,37.92690190732246,0.5,0.5
svd,1,1,18,0.11288378916846889,0.5,0.5
cbow,1,1,19,1.2742749857031335,0.5166666666666667,0.5
skipgram,1,1,19,0.04281332398719394,0.5,0.5
svd,1,1,19,1.2742749857031335,0.5,0.5
cbow,1,1,20,0.01,0.5166666666666667,0.5
skipgram,1,1,20,23.357214690901213,0.5,0.5
svd,1,1,20,5.455594781168514,0.5,0.5
cbow,1,2,2,0.01,0.5,0.5
skipgram,1,2,2,0.11288378916846889,0.5,0.5
svd,1,2,2,0.04281332398719394,0.5,0.5
cbow,1,2,3,0.4832930238571752,0.5,0.5
skipgram,1,2,3,0.01,0.5,0.5
svd,1,2,3,0.04281332398719394,0.5,0.5
cbow,1,2,4,0.016237767391887217,0.5,0.5
skipgram,1,2,4,0.01,0.5,0.5
svd,1,2,4,0.29763514416313175,0.5,0.5
cbow,1,2,5,0.016237767391887217,0.5,0.5
skipgram,1,2,5,0.01,0.5,0.5
svd,1,2,5,0.29763514416313175,0.5,0.5
cbow,1,2,6,37.92690190732246,0.5,0.5
skipgram,1,2,6,0.01,0.5,0.5
svd,1,2,6,2.06913808111479,0.5,0.5
cbow,1,2,7,3.359818286283781,0.5,0.5
skipgram,1,2,7,0.29763514416313175,0.5,0.5
svd,1,2,7,3.359818286283781,0.5,0.5
cbow,1,2,8,0.11288378916846889,0.5,0.5
skipgram,1,2,8,100.0,0.5,0.5
svd,1,2,8,3.359818286283781,0.5,0.5
cbow,1,2,9,0.18329807108324356,0.5,0.5
skipgram,1,2,9,0.016237767391887217,0.5,0.5
svd,1,2,9,23.357214690901213,0.5,0.5
cbow,1,2,10,0.11288378916846889,0.5,0.5
skipgram,1,2,10,0.026366508987303583,0.5,0.5
svd,1,2,10,0.18329807108324356,0.5,0.5
cbow,1,2,11,3.359818286283781,0.5,0.5
skipgram,1,2,11,0.04281332398719394,0.5,0.5
