emb_type,m,n,best_C,train_acc,test_acc
cbow,1,1,0.29763514416313175,0.4985607369027058,0.5129533678756477
skipgram,1,1,3.359818286283781,0.4985607369027058,0.5129533678756477
svd,1,1,37.92690190732246,0.4985607369027058,0.5129533678756477
cbow,1,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
cbow,1,1,0.4832930238571752,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
svd,1,1,0.026366508987303583,0.4985607369027058,0.5129533678756477
cbow,1,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,1,1,0.01,0.4985607369027058,0.5129533678756477
cbow,1,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,1,1,3.359818286283781,0.4985607369027058,0.5129533678756477
cbow,1,1,0.016237767391887217,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.01,0.4985607369027058,0.5129533678756477
svd,1,1,0.18329807108324356,0.4985607369027058,0.5129533678756477
cbow,1,1,5.455594781168514,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,1,1,0.026366508987303583,0.4985607369027058,0.5129533678756477
cbow,1,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.4832930238571752,0.4985607369027058,0.5129533678756477
svd,1,1,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,1,0.4832930238571752,0.4985607369027058,0.5129533678756477
skipgram,1,1,8.858667904100823,0.4985607369027058,0.5129533678756477
svd,1,1,0.026366508987303583,0.4985607369027058,0.5129533678756477
cbow,1,1,14.38449888287663,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,1,1,0.026366508987303583,0.4985607369027058,0.5129533678756477
cbow,1,1,5.455594781168514,0.4985607369027058,0.5129533678756477
skipgram,1,1,61.584821106602604,0.4985607369027058,0.5129533678756477
svd,1,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,1,1,2.06913808111479,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,1,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,1,1,2.06913808111479,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,1,1,2.06913808111479,0.4985607369027058,0.5129533678756477
cbow,1,1,3.359818286283781,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.01,0.4985607369027058,0.5129533678756477
svd,1,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,1,1,0.4832930238571752,0.4985607369027058,0.5129533678756477
skipgram,1,1,5.455594781168514,0.4985607369027058,0.5129533678756477
svd,1,1,1.2742749857031335,0.4985607369027058,0.5129533678756477
cbow,1,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
skipgram,1,1,1.2742749857031335,0.4985607369027058,0.5129533678756477
svd,1,1,3.359818286283781,0.4985607369027058,0.5129533678756477
cbow,1,1,61.584821106602604,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,1,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,1,1,8.858667904100823,0.4985607369027058,0.5129533678756477
skipgram,1,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,1,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,1,1,8.858667904100823,0.4985607369027058,0.5129533678756477
skipgram,1,1,1.2742749857031335,0.4985607369027058,0.5129533678756477
svd,1,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,1,2,0.026366508987303583,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.01,0.4985607369027058,0.5129533678756477
svd,1,2,0.01,0.4985607369027058,0.5129533678756477
cbow,1,2,0.01,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.026366508987303583,0.4985607369027058,0.5129533678756477
svd,1,2,0.01,0.4985607369027058,0.5129533678756477
cbow,1,2,0.026366508987303583,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,1,2,0.29763514416313175,0.4985607369027058,0.5129533678756477
cbow,1,2,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,1,2,1.2742749857031335,0.4985607369027058,0.5129533678756477
cbow,1,2,14.38449888287663,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,1,2,8.858667904100823,0.4985607369027058,0.5129533678756477
cbow,1,2,0.4832930238571752,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,1,2,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,1,2,61.584821106602604,0.4985607369027058,0.5129533678756477
skipgram,1,2,100.0,0.4985607369027058,0.5129533678756477
svd,1,2,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,1,2,0.11288378916846889,0.4985607369027058,0.5129533678756477
skipgram,1,2,8.858667904100823,0.4985607369027058,0.5129533678756477
svd,1,2,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,1,2,5.455594781168514,0.4985607369027058,0.5129533678756477
skipgram,1,2,8.858667904100823,0.4985607369027058,0.5129533678756477
svd,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,2,5.455594781168514,0.4985607369027058,0.5129533678756477
skipgram,1,2,8.858667904100823,0.4985607369027058,0.5129533678756477
svd,1,2,0.29763514416313175,0.4985607369027058,0.5129533678756477
cbow,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
skipgram,1,2,37.92690190732246,0.4985607369027058,0.5129533678756477
svd,1,2,2.06913808111479,0.4985607369027058,0.5129533678756477
cbow,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,1,2,0.29763514416313175,0.4985607369027058,0.5129533678756477
cbow,1,2,2.06913808111479,0.4985607369027058,0.5129533678756477
skipgram,1,2,8.858667904100823,0.4985607369027058,0.5129533678756477
svd,1,2,8.858667904100823,0.4985607369027058,0.5129533678756477
cbow,1,2,1.2742749857031335,0.4985607369027058,0.5129533678756477
skipgram,1,2,1.2742749857031335,0.4985607369027058,0.5129533678756477
svd,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,2,0.4832930238571752,0.4985607369027058,0.5129533678756477
skipgram,1,2,5.455594781168514,0.4985607369027058,0.5129533678756477
svd,1,2,5.455594781168514,0.4985607369027058,0.5129533678756477
cbow,1,2,5.455594781168514,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.4832930238571752,0.4985607369027058,0.5129533678756477
svd,1,2,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,1,2,5.455594781168514,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,1,2,2.06913808111479,0.4985607369027058,0.5129533678756477
cbow,1,2,61.584821106602604,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,1,2,1.2742749857031335,0.4985607369027058,0.5129533678756477
cbow,1,2,14.38449888287663,0.49971214738054115,0.5129533678756477
skipgram,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,1,2,0.29763514416313175,0.4985607369027058,0.5129533678756477
cbow,2,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
skipgram,2,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,2,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
cbow,2,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
skipgram,2,1,0.01,0.4985607369027058,0.5129533678756477
svd,2,1,8.858667904100823,0.4985607369027058,0.5129533678756477
cbow,2,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,2,1,0.29763514416313175,0.4985607369027058,0.5129533678756477
svd,2,1,0.29763514416313175,0.4985607369027058,0.5129533678756477
cbow,2,1,0.016237767391887217,0.5762809441565918,0.5595854922279793
skipgram,2,1,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,2,1,0.026366508987303583,0.4985607369027058,0.5129533678756477
cbow,2,1,0.026366508987303583,0.5244674726540012,0.5181347150259067
skipgram,2,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,2,1,2.06913808111479,0.4985607369027058,0.5129533678756477
cbow,2,1,0.01,0.5135290731145653,0.5077720207253886
skipgram,2,1,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,2,1,2.06913808111479,0.5014392630972941,0.48704663212435234
cbow,2,1,0.7847599703514611,0.5089234312032239,0.5181347150259067
skipgram,2,1,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,2,1,2.06913808111479,0.4985607369027058,0.5129533678756477
cbow,2,1,0.06951927961775606,0.5843408175014393,0.5595854922279793
skipgram,2,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,2,1,0.29763514416313175,0.5008635578583766,0.48704663212435234
cbow,2,1,3.359818286283781,0.5872193436960277,0.5803108808290155
skipgram,2,1,1.2742749857031335,0.4985607369027058,0.5129533678756477
svd,2,1,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,2,1,0.11288378916846889,0.5025906735751295,0.5284974093264249
skipgram,2,1,2.06913808111479,0.4985607369027058,0.5129533678756477
svd,2,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,2,1,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,1,14.38449888287663,0.4985607369027058,0.5129533678756477
svd,2,1,0.4832930238571752,0.4985607369027058,0.5129533678756477
cbow,2,1,0.01,0.4985607369027058,0.5129533678756477
skipgram,2,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,2,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,2,1,0.18329807108324356,0.4985607369027058,0.5129533678756477
skipgram,2,1,0.7847599703514611,0.4985607369027058,0.5129533678756477
svd,2,1,0.4832930238571752,0.4985607369027058,0.5129533678756477
cbow,2,1,0.04281332398719394,0.4985607369027058,0.5129533678756477
skipgram,2,1,2.06913808111479,0.4985607369027058,0.5129533678756477
svd,2,1,0.11288378916846889,0.4985607369027058,0.5129533678756477
cbow,2,1,0.026366508987303583,0.49798503166378816,0.5129533678756477
skipgram,2,1,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,2,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,2,1,0.016237767391887217,0.5043177892918825,0.5129533678756477
skipgram,2,1,0.18329807108324356,0.4985607369027058,0.5129533678756477
svd,2,1,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,2,1,0.01,0.4985607369027058,0.5129533678756477
