emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.11288378916846889,0.2001338688085676,0.19879518072289157
cbow,1,2,5,3.359818286283781,0.19907100199071,0.20833333333333334
skipgram,1,2,5,0.026366508987303583,0.2149966821499668,0.25
SVD,1,2,6,0.7847599703514611,0.20481927710843373,0.1566265060240964
cbow,1,2,6,0.7847599703514611,0.19840743198407432,0.21428571428571427
skipgram,1,2,6,1.2742749857031335,0.192435301924353,0.20833333333333334
SVD,1,2,7,0.29763514416313175,0.21218206157965194,0.1566265060240964
cbow,1,2,7,0.7847599703514611,0.19840743198407432,0.21428571428571427
skipgram,1,2,7,0.29763514416313175,0.19973457199734573,0.21428571428571427
SVD,1,2,8,0.016237767391887217,0.20481927710843373,0.1566265060240964
cbow,1,2,8,0.18329807108324356,0.19840743198407432,0.21428571428571427
skipgram,1,2,8,0.4832930238571752,0.20172528201725282,0.20833333333333334
SVD,1,2,9,0.4832930238571752,0.20481927710843373,0.1566265060240964
cbow,1,2,9,2.06913808111479,0.19840743198407432,0.21428571428571427
skipgram,1,2,9,37.92690190732246,0.20437956204379562,0.20833333333333334
SVD,1,2,10,0.11288378916846889,0.20481927710843373,0.1566265060240964
cbow,1,2,10,5.455594781168514,0.19840743198407432,0.21428571428571427
skipgram,1,2,10,0.11288378916846889,0.2090245520902455,0.21428571428571427
SVD,1,3,5,0.01,0.20481927710843373,0.1566265060240964
cbow,1,3,5,0.01,0.19840743198407432,0.21428571428571427
skipgram,1,3,5,0.01,0.20172528201725282,0.22023809523809523
SVD,1,3,6,1.2742749857031335,0.24029451137884872,0.21084337349397592
cbow,1,3,6,0.01,0.205706702057067,0.1488095238095238
skipgram,1,3,6,0.7847599703514611,0.192435301924353,0.14285714285714285
SVD,1,3,7,2.06913808111479,0.21887550200803213,0.22289156626506024
cbow,1,3,7,2.06913808111479,0.205706702057067,0.1488095238095238
skipgram,1,3,7,0.18329807108324356,0.20637027206370273,0.1488095238095238
SVD,1,3,8,3.359818286283781,0.2074966532797858,0.20481927710843373
cbow,1,3,8,3.359818286283781,0.205706702057067,0.1488095238095238
skipgram,1,3,8,0.01,0.205706702057067,0.1488095238095238
SVD,1,3,9,8.858667904100823,0.20548862115127176,0.20481927710843373
cbow,1,3,9,0.016237767391887217,0.205706702057067,0.1488095238095238
skipgram,1,3,9,0.7847599703514611,0.20637027206370273,0.1488095238095238
SVD,1,3,10,0.29763514416313175,0.2215528781793842,0.22289156626506024
cbow,1,3,10,0.4832930238571752,0.205706702057067,0.1488095238095238
skipgram,1,3,10,3.359818286283781,0.205706702057067,0.1488095238095238
SVD,1,4,5,14.38449888287663,0.20481927710843373,0.1566265060240964
cbow,1,4,5,8.858667904100823,0.20637027206370273,0.15476190476190477
skipgram,1,4,5,0.11288378916846889,0.19840743198407432,0.21428571428571427
SVD,1,4,6,1.2742749857031335,0.20481927710843373,0.1566265060240964
cbow,1,4,6,0.04281332398719394,0.205706702057067,0.1488095238095238
skipgram,1,4,6,1.2742749857031335,0.22893165228931653,0.2261904761904762
SVD,1,4,7,0.01,0.20481927710843373,0.1566265060240964
cbow,1,4,7,0.11288378916846889,0.205706702057067,0.1488095238095238
skipgram,1,4,7,0.7847599703514611,0.16522893165228933,0.13690476190476192
SVD,1,4,8,1.2742749857031335,0.20481927710843373,0.1566265060240964
cbow,1,4,8,0.7847599703514611,0.205706702057067,0.1488095238095238
skipgram,1,4,8,3.359818286283781,0.20504313205043131,0.1488095238095238
SVD,1,4,9,0.01,0.20481927710843373,0.1566265060240964
cbow,1,4,9,0.4832930238571752,0.205706702057067,0.1488095238095238
skipgram,1,4,9,2.06913808111479,0.205706702057067,0.14285714285714285
SVD,1,4,10,0.06951927961775606,0.20481927710843373,0.1566265060240964
cbow,1,4,10,0.18329807108324356,0.205706702057067,0.1488095238095238
skipgram,1,4,10,100.0,0.205706702057067,0.1488095238095238
SVD,1,5,5,37.92690190732246,0.20481927710843373,0.1566265060240964
cbow,1,5,5,3.359818286283781,0.205706702057067,0.1488095238095238
skipgram,1,5,5,0.06951927961775606,0.19840743198407432,0.21428571428571427
SVD,1,5,6,0.06951927961775606,0.20481927710843373,0.1566265060240964
