emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.11288378916846889,0.2034805890227577,0.21084337349397592
cbow,1,2,5,5.455594781168514,0.46449900464499005,0.44642857142857145
skipgram,1,2,5,0.29763514416313175,0.7982747179827472,0.7916666666666666
SVD,1,2,6,0.01,0.20950468540829986,0.1686746987951807
cbow,1,2,6,0.29763514416313175,0.5268745852687459,0.5059523809523809
skipgram,1,2,6,5.455594781168514,0.8002654280026543,0.7857142857142857
SVD,1,2,7,0.29763514416313175,0.2215528781793842,0.1746987951807229
cbow,1,2,7,14.38449888287663,0.5713337757133378,0.5476190476190477
skipgram,1,2,7,5.455594781168514,0.8002654280026543,0.7916666666666666
SVD,1,2,8,0.016237767391887217,0.2222222222222222,0.18072289156626506
cbow,1,2,8,0.18329807108324356,0.656934306569343,0.6607142857142857
skipgram,1,2,8,1.2742749857031335,0.80092899800929,0.7916666666666666
SVD,1,2,9,0.11288378916846889,0.2322623828647925,0.1927710843373494
cbow,1,2,9,0.18329807108324356,0.557398805573988,0.5059523809523809
skipgram,1,2,9,0.04281332398719394,0.80092899800929,0.7916666666666666
SVD,1,2,10,0.29763514416313175,0.23427041499330656,0.18674698795180722
cbow,1,2,10,0.29763514416313175,0.6124751161247511,0.6130952380952381
skipgram,1,2,10,5.455594781168514,0.80092899800929,0.7916666666666666
SVD,1,3,5,0.29763514416313175,0.20615796519410978,0.1566265060240964
cbow,1,3,5,0.29763514416313175,0.4366290643662906,0.47023809523809523
skipgram,1,3,5,0.29763514416313175,0.8015925680159257,0.7857142857142857
SVD,1,3,6,3.359818286283781,0.20615796519410978,0.1566265060240964
cbow,1,3,6,2.06913808111479,0.42203052422030524,0.35714285714285715
skipgram,1,3,6,5.455594781168514,0.7896483078964831,0.8511904761904762
SVD,1,3,7,0.7847599703514611,0.20615796519410978,0.16265060240963855
cbow,1,3,7,0.18329807108324356,0.43463835434638354,0.375
skipgram,1,3,7,1.2742749857031335,0.7869940278699403,0.8392857142857143
SVD,1,3,8,0.7847599703514611,0.2074966532797858,0.1566265060240964
cbow,1,3,8,2.06913808111479,0.43198407431984076,0.4107142857142857
skipgram,1,3,8,0.7847599703514611,0.7850033178500332,0.8452380952380952
SVD,1,3,9,0.18329807108324356,0.20816599732262384,0.1686746987951807
cbow,1,3,9,0.4832930238571752,0.4167219641672196,0.36904761904761907
skipgram,1,3,9,0.7847599703514611,0.7909754479097545,0.8511904761904762
SVD,1,3,10,1.2742749857031335,0.21485943775100402,0.1566265060240964
cbow,1,3,10,3.359818286283781,0.44392833443928337,0.4166666666666667
skipgram,1,3,10,5.455594781168514,0.7929661579296616,0.8511904761904762
SVD,1,4,5,0.7847599703514611,0.20548862115127176,0.1566265060240964
cbow,1,4,5,0.7847599703514611,0.46980756469807566,0.47023809523809523
skipgram,1,4,5,0.01,0.794293297942933,0.8511904761904762
SVD,1,4,6,0.026366508987303583,0.20548862115127176,0.1566265060240964
cbow,1,4,6,0.4832930238571752,0.42534837425348376,0.4107142857142857
skipgram,1,4,6,0.11288378916846889,0.794293297942933,0.8511904761904762
SVD,1,4,7,2.06913808111479,0.20548862115127176,0.1566265060240964
cbow,1,4,7,0.7847599703514611,0.36363636363636365,0.3273809523809524
skipgram,1,4,7,0.04281332398719394,0.794293297942933,0.8511904761904762
SVD,1,4,8,0.4832930238571752,0.20615796519410978,0.1566265060240964
cbow,1,4,8,3.359818286283781,0.3609820836098208,0.2857142857142857
skipgram,1,4,8,5.455594781168514,0.7869940278699403,0.8452380952380952
SVD,1,4,9,0.18329807108324356,0.20615796519410978,0.1566265060240964
cbow,1,4,9,8.858667904100823,0.36164565361645656,0.31547619047619047
skipgram,1,4,9,0.18329807108324356,0.7803583278035833,0.8273809523809523
SVD,1,4,10,0.7847599703514611,0.2074966532797858,0.1566265060240964
cbow,1,4,10,0.4832930238571752,0.3802256138022561,0.35119047619047616
skipgram,1,4,10,0.4832930238571752,0.7684140676841407,0.8333333333333334
SVD,1,5,5,1.2742749857031335,0.20481927710843373,0.1566265060240964
cbow,1,5,5,0.18329807108324356,0.39416058394160586,0.3392857142857143
skipgram,1,5,5,0.01,0.794293297942933,0.8511904761904762
SVD,1,5,6,0.4832930238571752,0.20548862115127176,0.1566265060240964
cbow,1,5,6,0.026366508987303583,0.5016589250165893,0.44047619047619047
skipgram,1,5,6,0.01,0.794293297942933,0.8511904761904762
SVD,1,5,7,0.29763514416313175,0.20548862115127176,0.1566265060240964
cbow,1,5,7,0.11288378916846889,0.33709356337093566,0.35714285714285715
skipgram,1,5,7,0.06951927961775606,0.794293297942933,0.8511904761904762
SVD,1,5,8,8.858667904100823,0.20481927710843373,0.16265060240963855
cbow,1,5,8,2.06913808111479,0.31785003317850036,0.25595238095238093
skipgram,1,5,8,0.04281332398719394,0.794293297942933,0.8511904761904762
SVD,1,5,9,0.11288378916846889,0.20481927710843373,0.16265060240963855
cbow,1,5,9,23.357214690901213,0.33908427339084274,0.27976190476190477
skipgram,1,5,9,0.04281332398719394,0.7923025879230259,0.8452380952380952
SVD,1,5,10,0.18329807108324356,0.20548862115127176,0.1566265060240964
cbow,1,5,10,3.359818286283781,0.3477106834771068,0.30357142857142855
skipgram,1,5,10,0.11288378916846889,0.7916390179163901,0.8452380952380952
SVD,1,6,5,0.7847599703514611,0.20481927710843373,0.1566265060240964
cbow,1,6,5,0.06951927961775606,0.40942269409422694,0.3869047619047619
skipgram,1,6,5,0.01,0.794293297942933,0.8511904761904762
SVD,1,6,6,0.026366508987303583,0.20548862115127176,0.1566265060240964
cbow,1,6,6,0.11288378916846889,0.35766423357664234,0.32142857142857145
skipgram,1,6,6,0.01,0.794293297942933,0.8511904761904762
SVD,1,6,7,37.92690190732246,0.20548862115127176,0.1566265060240964
cbow,1,6,7,0.18329807108324356,0.3928334439283344,0.2857142857142857
skipgram,1,6,7,0.4832930238571752,0.794293297942933,0.8511904761904762
SVD,1,6,8,0.29763514416313175,0.20548862115127176,0.1566265060240964
cbow,1,6,8,0.11288378916846889,0.3735899137358991,0.3630952380952381
skipgram,1,6,8,0.18329807108324356,0.794293297942933,0.8511904761904762
SVD,1,6,9,0.7847599703514611,0.20548862115127176,0.1566265060240964
cbow,1,6,9,0.29763514416313175,0.31320504313205044,0.2916666666666667
skipgram,1,6,9,0.04281332398719394,0.794293297942933,0.8511904761904762
SVD,1,6,10,8.858667904100823,0.20548862115127176,0.1566265060240964
cbow,1,6,10,37.92690190732246,0.3297942932979429,0.2857142857142857
skipgram,1,6,10,5.455594781168514,0.794293297942933,0.8511904761904762
SVD,1,7,5,0.18329807108324356,0.20481927710843373,0.1566265060240964
cbow,1,7,5,5.455594781168514,0.3032514930325149,0.30357142857142855
skipgram,1,7,5,0.01,0.794293297942933,0.8511904761904762
SVD,1,7,6,0.18329807108324356,0.20481927710843373,0.1566265060240964
cbow,1,7,6,2.06913808111479,0.36960849369608495,0.3392857142857143
skipgram,1,7,6,0.7847599703514611,0.794293297942933,0.8511904761904762
SVD,1,7,7,0.06951927961775606,0.20548862115127176,0.1566265060240964
cbow,1,7,7,0.18329807108324356,0.36429993364299934,0.30357142857142855
skipgram,1,7,7,0.01,0.794293297942933,0.8511904761904762
SVD,1,7,8,0.18329807108324356,0.20548862115127176,0.1566265060240964
cbow,1,7,8,0.29763514416313175,0.40013271400132716,0.39880952380952384
skipgram,1,7,8,0.01,0.794293297942933,0.8511904761904762
