emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,1.2742749857031335,0.19603680113234254,0.2356687898089172
skipgram,1,2,5,0.4832930238571752,0.2026421325784383,0.17197452229299362
svd,1,2,5,23.357214690901213,0.20189125295508276,0.1829787234042553
cbow,1,2,6,2.06913808111479,0.19603680113234254,0.2356687898089172
skipgram,1,2,6,0.18329807108324356,0.2024062278839349,0.17197452229299362
svd,1,2,6,100.0,0.20189125295508276,0.1829787234042553
cbow,1,2,7,1.2742749857031335,0.19603680113234254,0.2356687898089172
skipgram,1,2,7,0.7847599703514611,0.20311394196744514,0.17197452229299362
svd,1,2,7,3.359818286283781,0.20189125295508276,0.1829787234042553
cbow,1,2,8,2.06913808111479,0.19603680113234254,0.2356687898089172
skipgram,1,2,8,0.11288378916846889,0.20311394196744514,0.16985138004246284
svd,1,2,8,0.18329807108324356,0.20189125295508276,0.1829787234042553
cbow,1,2,9,1.2742749857031335,0.19603680113234254,0.2356687898089172
skipgram,1,2,9,0.29763514416313175,0.1512149091766926,0.16560509554140126
svd,1,2,9,3.359818286283781,0.20189125295508276,0.1829787234042553
cbow,1,2,10,5.455594781168514,0.19603680113234254,0.2356687898089172
skipgram,1,2,10,0.11288378916846889,0.1455531965086105,0.14437367303609341
svd,1,2,10,23.357214690901213,0.2016548463356974,0.1829787234042553
cbow,1,3,5,23.357214690901213,0.1963233561159557,0.23516949152542374
skipgram,1,3,5,0.01,0.1996229083195852,0.2033898305084746
svd,1,3,5,100.0,0.20189125295508276,0.1829787234042553
cbow,1,3,6,2.06913808111479,0.19655903841621494,0.23516949152542374
skipgram,1,3,6,0.01,0.1996229083195852,0.2033898305084746
svd,1,3,6,100.0,0.20189125295508276,0.1829787234042553
cbow,1,3,7,2.06913808111479,0.1963233561159557,0.23728813559322035
skipgram,1,3,7,0.06951927961775606,0.1996229083195852,0.2033898305084746
svd,1,3,7,100.0,0.20189125295508276,0.1829787234042553
cbow,1,3,8,8.858667904100823,0.19608767381569644,0.23516949152542374
skipgram,1,3,8,0.4832930238571752,0.1996229083195852,0.2033898305084746
svd,1,3,8,100.0,0.20189125295508276,0.1829787234042553
cbow,1,3,9,23.357214690901213,0.19608767381569644,0.23516949152542374
skipgram,1,3,9,0.06951927961775606,0.1996229083195852,0.2033898305084746
svd,1,3,9,100.0,0.23451536643026005,0.225531914893617
cbow,1,3,10,2.06913808111479,0.19608767381569644,0.23516949152542374
