emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.11288378916846889,0.19650861052134938,0.2356687898089172
skipgram,1,2,5,0.4832930238571752,0.803727294173154,0.7643312101910829
svd,1,2,5,8.858667904100823,0.8042553191489362,0.7617021276595745
cbow,1,2,6,0.4832930238571752,0.19698041991035622,0.2356687898089172
skipgram,1,2,6,0.11288378916846889,0.8030195800896438,0.7643312101910829
svd,1,2,6,8.858667904100823,0.8042553191489362,0.7617021276595745
cbow,1,2,7,0.29763514416313175,0.19721632460485963,0.2356687898089172
skipgram,1,2,7,37.92690190732246,0.6803491389478651,0.6687898089171974
svd,1,2,7,0.016237767391887217,0.8042553191489362,0.7617021276595745
cbow,1,2,8,0.016237767391887217,0.20051899032790751,0.23779193205944799
skipgram,1,2,8,5.455594781168514,0.6341118188251946,0.6157112526539278
svd,1,2,8,0.4832930238571752,0.8042553191489362,0.7617021276595745
cbow,1,2,9,0.026366508987303583,0.3434772351969804,0.3375796178343949
skipgram,1,2,9,5.455594781168514,0.582684595423449,0.5562632696390658
svd,1,2,9,14.38449888287663,0.8042553191489362,0.7617021276595745
cbow,1,2,10,0.18329807108324356,0.26822363765038926,0.3057324840764331
skipgram,1,2,10,3.359818286283781,0.5812691672564284,0.564755838641189
svd,1,2,10,14.38449888287663,0.8042553191489362,0.7617021276595745
cbow,1,3,5,0.7847599703514611,0.19608767381569644,0.23516949152542374
skipgram,1,3,5,8.858667904100823,0.8039123261843035,0.7648305084745762
svd,1,3,5,0.11288378916846889,0.8042553191489362,0.7617021276595745
cbow,1,3,6,14.38449888287663,0.1963233561159557,0.23516949152542374
skipgram,1,3,6,0.7847599703514611,0.8039123261843035,0.7648305084745762
svd,1,3,6,0.11288378916846889,0.8042553191489362,0.7617021276595745
cbow,1,3,7,2.06913808111479,0.1967947207164742,0.23516949152542374
skipgram,1,3,7,3.359818286283781,0.8017911854819703,0.7627118644067796
svd,1,3,7,0.18329807108324356,0.8042553191489362,0.7617021276595745
cbow,1,3,8,0.4832930238571752,0.19655903841621494,0.23940677966101695
skipgram,1,3,8,0.06951927961775606,0.788357294367193,0.7457627118644068
svd,1,3,8,0.11288378916846889,0.8042553191489362,0.7617021276595745
cbow,1,3,9,0.7847599703514611,0.19703040301673344,0.23516949152542374
skipgram,1,3,9,1.2742749857031335,0.6455338204100872,0.597457627118644
svd,1,3,9,0.06951927961775606,0.8042553191489362,0.7617021276595745
cbow,1,3,10,0.4832930238571752,0.19703040301673344,0.23728813559322035
skipgram,1,3,10,8.858667904100823,0.5060098986566108,0.4745762711864407
svd,1,3,10,0.4832930238571752,0.8042553191489362,0.7617021276595745
cbow,1,4,5,0.04281332398719394,0.19608767381569644,0.23516949152542374
skipgram,1,4,5,2.06913808111479,0.8039123261843035,0.7648305084745762
svd,1,4,5,0.4832930238571752,0.7990543735224587,0.8085106382978723
cbow,1,4,6,2.06913808111479,0.19608767381569644,0.23516949152542374
skipgram,1,4,6,0.29763514416313175,0.8039123261843035,0.7648305084745762
svd,1,4,6,0.06951927961775606,0.7990543735224587,0.8085106382978723
cbow,1,4,7,0.29763514416313175,0.1963233561159557,0.23516949152542374
skipgram,1,4,7,0.01,0.8039123261843035,0.7648305084745762
svd,1,4,7,5.455594781168514,0.7990543735224587,0.8085106382978723
cbow,1,4,8,1.2742749857031335,0.19655903841621494,0.23516949152542374
skipgram,1,4,8,0.01,0.8039123261843035,0.7648305084745762
svd,1,4,8,37.92690190732246,0.7990543735224587,0.8085106382978723
cbow,1,4,9,0.11288378916846889,0.1963233561159557,0.23728813559322035
skipgram,1,4,9,0.18329807108324356,0.8039123261843035,0.7648305084745762
svd,1,4,9,14.38449888287663,0.7990543735224587,0.8085106382978723
cbow,1,4,10,0.7847599703514611,0.19655903841621494,0.23728813559322035
skipgram,1,4,10,0.01,0.8039123261843035,0.7648305084745762
svd,1,4,10,23.357214690901213,0.7990543735224587,0.8085106382978723
cbow,1,5,5,0.04281332398719394,0.19603680113234254,0.2356687898089172
skipgram,1,5,5,3.359818286283781,0.8039631988676574,0.7643312101910829
svd,1,5,5,0.7847599703514611,0.7990543735224587,0.8085106382978723
