emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.016237767391887217,0.5109144542772861,0.47619047619047616
skipgram,1,2,5,0.01,0.49734513274336284,0.5238095238095238
svd,1,2,5,37.92690190732246,0.4958628841607565,0.5372340425531915
cbow,1,2,6,0.04281332398719394,0.5026548672566372,0.47619047619047616
skipgram,1,2,6,0.016237767391887217,0.49734513274336284,0.5238095238095238
svd,1,2,6,37.92690190732246,0.4958628841607565,0.5372340425531915
cbow,1,2,7,0.01,0.5026548672566372,0.47619047619047616
skipgram,1,2,7,1.2742749857031335,0.5056047197640118,0.5291005291005291
svd,1,2,7,0.4832930238571752,0.4958628841607565,0.5372340425531915
cbow,1,2,8,0.01,0.5026548672566372,0.47619047619047616
skipgram,1,2,8,2.06913808111479,0.5244837758112094,0.5132275132275133
svd,1,2,8,8.858667904100823,0.4958628841607565,0.5372340425531915
cbow,1,2,9,0.01,0.5026548672566372,0.47619047619047616
skipgram,1,2,9,0.18329807108324356,0.5244837758112094,0.5026455026455027
svd,1,2,9,8.858667904100823,0.4958628841607565,0.5372340425531915
cbow,1,2,10,0.01,0.5026548672566372,0.47619047619047616
skipgram,1,2,10,0.06951927961775606,0.5793510324483776,0.6507936507936508
svd,1,2,10,0.11288378916846889,0.4958628841607565,0.5372340425531915
cbow,1,3,5,0.11288378916846889,0.6977018267530937,0.6931216931216931
skipgram,1,3,5,5.455594781168514,0.5008839127872716,0.49206349206349204
svd,1,3,5,37.92690190732246,0.4958628841607565,0.5372340425531915
cbow,1,3,6,0.04281332398719394,0.6476134354743666,0.6507936507936508
skipgram,1,3,6,0.29763514416313175,0.5008839127872716,0.49206349206349204
svd,1,3,6,100.0,0.4958628841607565,0.5372340425531915
cbow,1,3,7,0.026366508987303583,0.7725397760754272,0.7883597883597884
skipgram,1,3,7,1.2742749857031335,0.5008839127872716,0.49206349206349204
svd,1,3,7,23.357214690901213,0.4958628841607565,0.5372340425531915
cbow,1,3,8,0.01,0.5403653506187389,0.5502645502645502
skipgram,1,3,8,0.026366508987303583,0.5008839127872716,0.49206349206349204
svd,1,3,8,37.92690190732246,0.4958628841607565,0.5372340425531915
cbow,1,3,9,0.01,0.501473187978786,0.5079365079365079
skipgram,1,3,9,3.359818286283781,0.5492044784914555,0.5396825396825397
svd,1,3,9,100.0,0.4958628841607565,0.5372340425531915
cbow,1,3,10,0.01,0.4991160872127283,0.5079365079365079
skipgram,1,3,10,0.29763514416313175,0.5132586918090748,0.5132275132275133
svd,1,3,10,3.359818286283781,0.4958628841607565,0.5372340425531915
cbow,1,4,5,0.4832930238571752,0.9086623453152622,0.873015873015873
skipgram,1,4,5,0.06951927961775606,0.5008839127872716,0.49206349206349204
svd,1,4,5,23.357214690901213,0.4958628841607565,0.5372340425531915
cbow,1,4,6,0.11288378916846889,0.63877430760165,0.6402116402116402
skipgram,1,4,6,2.06913808111479,0.5008839127872716,0.49206349206349204
svd,1,4,6,37.92690190732246,0.4958628841607565,0.5372340425531915
cbow,1,4,7,0.026366508987303583,0.6882734236888627,0.6349206349206349
skipgram,1,4,7,0.7847599703514611,0.5008839127872716,0.49206349206349204
svd,1,4,7,100.0,0.4958628841607565,0.5372340425531915
cbow,1,4,8,0.06951927961775606,0.6882734236888627,0.7195767195767195
skipgram,1,4,8,0.29763514416313175,0.5008839127872716,0.49206349206349204
svd,1,4,8,100.0,0.4958628841607565,0.5372340425531915
cbow,1,4,9,0.04281332398719394,0.6564525633470831,0.6984126984126984
skipgram,1,4,9,0.11288378916846889,0.5008839127872716,0.49206349206349204
svd,1,4,9,61.584821106602604,0.4958628841607565,0.5372340425531915
cbow,1,4,10,0.026366508987303583,0.7760754272245138,0.7883597883597884
skipgram,1,4,10,1.2742749857031335,0.5185621685327048,0.5343915343915344
svd,1,4,10,23.357214690901213,0.4958628841607565,0.5372340425531915
cbow,1,5,5,0.016237767391887217,0.49734513274336284,0.5238095238095238
skipgram,1,5,5,0.01,0.49734513274336284,0.5238095238095238
svd,1,5,5,61.584821106602604,0.4958628841607565,0.5372340425531915
cbow,1,5,6,0.11288378916846889,0.9168141592920354,0.9047619047619048
skipgram,1,5,6,0.4832930238571752,0.49734513274336284,0.5238095238095238
svd,1,5,6,37.92690190732246,0.4958628841607565,0.5372340425531915
cbow,1,5,7,0.06951927961775606,0.9185840707964602,0.8941798941798942
skipgram,1,5,7,0.11288378916846889,0.49734513274336284,0.5238095238095238
svd,1,5,7,100.0,0.4958628841607565,0.5372340425531915
cbow,1,5,8,0.11288378916846889,0.768141592920354,0.7407407407407407
skipgram,1,5,8,3.359818286283781,0.49734513274336284,0.5238095238095238
svd,1,5,8,100.0,0.4958628841607565,0.5372340425531915
cbow,1,5,9,0.29763514416313175,0.5728613569321533,0.5767195767195767
skipgram,1,5,9,0.18329807108324356,0.49734513274336284,0.5238095238095238
svd,1,5,9,61.584821106602604,0.4958628841607565,0.5372340425531915
cbow,1,5,10,0.11288378916846889,0.7002949852507374,0.6772486772486772
skipgram,1,5,10,1.2742749857031335,0.5274336283185841,0.5608465608465608
svd,1,5,10,100.0,0.4958628841607565,0.5372340425531915
cbow,1,6,5,0.016237767391887217,0.49734513274336284,0.5238095238095238
skipgram,1,6,5,0.01,0.49734513274336284,0.5238095238095238
svd,1,6,5,100.0,0.4958628841607565,0.5372340425531915
cbow,1,6,6,0.06951927961775606,0.7958702064896755,0.8359788359788359
skipgram,1,6,6,0.06951927961775606,0.49734513274336284,0.5238095238095238
svd,1,6,6,100.0,0.4958628841607565,0.5372340425531915
cbow,1,6,7,0.06951927961775606,0.8053097345132744,0.8095238095238095
skipgram,1,6,7,0.026366508987303583,0.49734513274336284,0.5238095238095238
svd,1,6,7,100.0,0.4958628841607565,0.5372340425531915
cbow,1,6,8,0.4832930238571752,0.671386430678466,0.6666666666666666
skipgram,1,6,8,0.11288378916846889,0.49734513274336284,0.5238095238095238
svd,1,6,8,100.0,0.4958628841607565,0.5372340425531915
cbow,1,6,9,0.06951927961775606,0.9451327433628318,0.9523809523809523
skipgram,1,6,9,5.455594781168514,0.49734513274336284,0.5238095238095238
svd,1,6,9,61.584821106602604,0.4958628841607565,0.5372340425531915
cbow,1,6,10,0.06951927961775606,0.9480825958702065,0.9523809523809523
skipgram,1,6,10,0.4832930238571752,0.49793510324483775,0.5343915343915344
