emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,5,0.06951927961775606,0.7027777777777777,0.695
svd,1,2,5,23.357214690901213,0.49944444444444447,0.505
cbow,1,2,6,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,2,6,5.455594781168514,0.6277777777777778,0.605
svd,1,2,6,2.06913808111479,0.49944444444444447,0.505
cbow,1,2,7,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,7,5.455594781168514,0.5194444444444445,0.51
svd,1,2,7,3.359818286283781,0.49944444444444447,0.505
cbow,1,2,8,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,2,8,0.4832930238571752,0.5338888888888889,0.54
svd,1,2,8,23.357214690901213,0.49944444444444447,0.505
cbow,1,2,9,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,2,9,0.11288378916846889,0.6566666666666666,0.69
svd,1,2,9,8.858667904100823,0.49944444444444447,0.505
cbow,1,2,10,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,10,0.7847599703514611,0.5255555555555556,0.53
svd,1,2,10,37.92690190732246,0.49944444444444447,0.505
cbow,1,3,5,0.4832930238571752,0.5011111111111111,0.5
skipgram,1,3,5,0.11288378916846889,0.5,0.505
svd,1,3,5,100.0,0.49944444444444447,0.505
cbow,1,3,6,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,3,6,0.18329807108324356,0.5655555555555556,0.56
svd,1,3,6,23.357214690901213,0.49944444444444447,0.505
cbow,1,3,7,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,3,7,1.2742749857031335,0.7344444444444445,0.74
svd,1,3,7,23.357214690901213,0.49944444444444447,0.505
cbow,1,3,8,0.01,0.5005555555555555,0.495
skipgram,1,3,8,1.2742749857031335,0.5383333333333333,0.53
svd,1,3,8,100.0,0.49944444444444447,0.505
cbow,1,3,9,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,3,9,0.4832930238571752,0.5522222222222222,0.535
svd,1,3,9,61.584821106602604,0.49944444444444447,0.505
cbow,1,3,10,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,3,10,0.18329807108324356,0.6866666666666666,0.69
svd,1,3,10,100.0,0.49944444444444447,0.505
cbow,1,4,5,0.11288378916846889,0.8511111111111112,0.845
skipgram,1,4,5,1.2742749857031335,0.5572222222222222,0.575
svd,1,4,5,100.0,0.49944444444444447,0.505
cbow,1,4,6,0.18329807108324356,0.6366666666666667,0.65
skipgram,1,4,6,3.359818286283781,0.5161111111111111,0.53
svd,1,4,6,14.38449888287663,0.49944444444444447,0.505
cbow,1,4,7,0.4832930238571752,0.53,0.54
skipgram,1,4,7,1.2742749857031335,0.5566666666666666,0.545
svd,1,4,7,100.0,0.49944444444444447,0.505
cbow,1,4,8,0.29763514416313175,0.5266666666666666,0.53
skipgram,1,4,8,0.29763514416313175,0.505,0.52
svd,1,4,8,37.92690190732246,0.49944444444444447,0.505
cbow,1,4,9,0.016237767391887217,0.7577777777777778,0.795
skipgram,1,4,9,0.18329807108324356,0.5255555555555556,0.525
svd,1,4,9,23.357214690901213,0.49944444444444447,0.505
cbow,1,4,10,0.11288378916846889,0.5016666666666667,0.495
skipgram,1,4,10,1.2742749857031335,0.7872222222222223,0.785
svd,1,4,10,8.858667904100823,0.49944444444444447,0.505
cbow,1,5,5,0.11288378916846889,0.9377777777777778,0.945
skipgram,1,5,5,8.858667904100823,0.49944444444444447,0.505
svd,1,5,5,100.0,0.49944444444444447,0.505
cbow,1,5,6,0.29763514416313175,0.8633333333333333,0.89
skipgram,1,5,6,0.18329807108324356,0.5011111111111111,0.505
svd,1,5,6,100.0,0.49944444444444447,0.505
cbow,1,5,7,1.2742749857031335,0.7294444444444445,0.74
skipgram,1,5,7,2.06913808111479,0.5005555555555555,0.51
svd,1,5,7,37.92690190732246,0.49944444444444447,0.505
cbow,1,5,8,14.38449888287663,0.5155555555555555,0.495
skipgram,1,5,8,0.29763514416313175,0.49944444444444447,0.505
svd,1,5,8,61.584821106602604,0.49944444444444447,0.505
cbow,1,5,9,1.2742749857031335,0.505,0.495
skipgram,1,5,9,0.18329807108324356,0.49944444444444447,0.505
