emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.18329807108324356,0.19142512077294685,0.23369565217391305
cbow,1,2,5,14.38449888287663,0.20476798637718177,0.210727969348659
skipgram,1,2,5,100.0,0.2009365687526607,0.19157088122605365
SVD,1,2,6,0.18329807108324356,0.18840579710144928,0.22282608695652173
cbow,1,2,6,14.38449888287663,0.21030225627926777,0.19923371647509577
skipgram,1,2,6,37.92690190732246,0.2009365687526607,0.19157088122605365
SVD,1,2,7,37.92690190732246,0.23429951690821257,0.27717391304347827
cbow,1,2,7,37.92690190732246,0.20136228182205193,0.19157088122605365
skipgram,1,2,7,61.584821106602604,0.2009365687526607,0.19157088122605365
SVD,1,2,8,0.11288378916846889,0.22584541062801933,0.27717391304347827
cbow,1,2,8,14.38449888287663,0.20136228182205193,0.19157088122605365
skipgram,1,2,8,23.357214690901213,0.2009365687526607,0.19157088122605365
SVD,1,2,9,0.11288378916846889,0.2463768115942029,0.31521739130434784
cbow,1,2,9,0.29763514416313175,0.2009365687526607,0.21839080459770116
skipgram,1,2,9,8.858667904100823,0.20178799489144317,0.19157088122605365
SVD,1,2,10,0.04281332398719394,0.18659420289855072,0.22826086956521738
cbow,1,2,10,1.2742749857031335,0.20136228182205193,0.19157088122605365
skipgram,1,2,10,100.0,0.20051085568326948,0.19157088122605365
SVD,1,3,5,0.016237767391887217,0.22952646239554317,0.24
cbow,1,3,5,23.357214690901213,0.20271416454622562,0.1984732824427481
skipgram,1,3,5,61.584821106602604,0.34139100932994065,0.33587786259541985
SVD,1,3,6,37.92690190732246,0.17103064066852366,0.155
cbow,1,3,6,2.06913808111479,0.2018659881255301,0.1946564885496183
skipgram,1,3,6,37.92690190732246,0.20653095843935537,0.1946564885496183
SVD,1,3,7,2.06913808111479,0.1944289693593315,0.22
cbow,1,3,7,0.18329807108324356,0.2786259541984733,0.22900763358778625
skipgram,1,3,7,37.92690190732246,0.20271416454622562,0.1946564885496183
SVD,1,3,8,14.38449888287663,0.19220055710306408,0.215
cbow,1,3,8,0.18329807108324356,0.21501272264631044,0.20229007633587787
skipgram,1,3,8,61.584821106602604,0.2010178117048346,0.1946564885496183
SVD,1,3,9,0.01,0.19220055710306408,0.22
cbow,1,3,9,0.11288378916846889,0.21204410517387617,0.1984732824427481
skipgram,1,3,9,0.29763514416313175,0.2010178117048346,0.1946564885496183
SVD,1,3,10,0.01,0.1905292479108635,0.22
cbow,1,3,10,1.2742749857031335,0.20949957591178966,0.20610687022900764
skipgram,1,3,10,23.357214690901213,0.20059372349448684,0.1946564885496183
