emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,5,0.04281332398719394,0.41209025117071096,0.41762452107279696
skipgram,1,2,5,0.01,0.8007662835249042,0.7931034482758621
SVD,1,2,6,0.01,0.6521739130434783,0.6684782608695652
cbow,1,2,6,0.01,0.7999148573861218,0.7931034482758621
skipgram,1,2,6,0.01,0.8007662835249042,0.7931034482758621
SVD,1,2,7,0.01,0.4921497584541063,0.41304347826086957
cbow,1,2,7,0.01,0.7454235845040442,0.7547892720306514
skipgram,1,2,7,0.01,0.798637718177948,0.8084291187739464
SVD,1,2,8,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,8,0.06951927961775606,0.4836100468284376,0.5057471264367817
skipgram,1,2,8,0.01,0.7990634312473393,0.8084291187739464
SVD,1,2,9,0.01,0.7814009661835749,0.8260869565217391
cbow,1,2,9,0.29763514416313175,0.4282673478075777,0.4521072796934866
skipgram,1,2,9,0.01,0.7990634312473393,0.8084291187739464
SVD,1,2,10,0.01,0.4613526570048309,0.3858695652173913
cbow,1,2,10,0.01,0.6104725415070242,0.6053639846743295
skipgram,1,2,10,0.01,0.7990634312473393,0.8084291187739464
SVD,1,3,5,0.01,0.7966573816155988,0.83
cbow,1,3,5,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,5,2.06913808111479,0.4804919423240034,0.42748091603053434
SVD,1,3,6,0.01,0.7966573816155988,0.83
cbow,1,3,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,6,2.06913808111479,0.5093299406276506,0.5038167938931297
SVD,1,3,7,0.01,0.7966573816155988,0.83
cbow,1,3,7,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,7,0.01,0.7960135708227312,0.8015267175572519
SVD,1,3,8,0.01,0.7966573816155988,0.83
cbow,1,3,8,0.01,0.7951653944020356,0.7748091603053435
skipgram,1,3,8,0.01,0.7989821882951654,0.8053435114503816
SVD,1,3,9,0.01,0.7966573816155988,0.83
cbow,1,3,9,0.01,0.6972010178117048,0.683206106870229
skipgram,1,3,9,0.01,0.7989821882951654,0.8053435114503816
SVD,1,3,10,0.01,0.7949860724233984,0.82
cbow,1,3,10,0.01,0.6068702290076335,0.5954198473282443
skipgram,1,3,10,0.01,0.7994062765055131,0.8015267175572519
SVD,1,4,5,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,5,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,5,0.01,0.7989821882951654,0.8053435114503816
SVD,1,4,6,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,6,0.01,0.7871077184054284,0.767175572519084
SVD,1,4,7,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,7,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,7,14.38449888287663,0.4817642069550466,0.4732824427480916
SVD,1,4,8,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,8,0.01,0.8011026293469041,0.7786259541984732
skipgram,1,4,8,0.04281332398719394,0.6072943172179813,0.6145038167938931
SVD,1,4,9,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,9,0.01,0.7964376590330788,0.7824427480916031
