emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.06951927961775606,0.49295774647887325,0.5631067961165048
cbow,1,2,5,0.18329807108324356,0.5143769968051118,0.5238095238095238
skipgram,1,2,5,0.18329807108324356,0.5346112886048988,0.5142857142857142
SVD,1,2,6,1.2742749857031335,0.49295774647887325,0.5631067961165048
cbow,1,2,6,0.29763514416313175,0.5026624068157615,0.47619047619047616
skipgram,1,2,6,0.026366508987303583,0.5026624068157615,0.47619047619047616
SVD,1,2,7,0.01,0.49295774647887325,0.5631067961165048
cbow,1,2,7,1.2742749857031335,0.5047923322683706,0.4666666666666667
skipgram,1,2,7,1.2742749857031335,0.4547390841320554,0.4666666666666667
SVD,1,2,8,0.11288378916846889,0.49295774647887325,0.5631067961165048
cbow,1,2,8,0.04281332398719394,0.5026624068157615,0.47619047619047616
skipgram,1,2,8,3.359818286283781,0.46751863684771033,0.4666666666666667
SVD,1,2,9,0.01,0.49187432286023836,0.5631067961165048
cbow,1,2,9,0.29763514416313175,0.5111821086261981,0.49523809523809526
skipgram,1,2,9,2.06913808111479,0.49201277955271566,0.5523809523809524
SVD,1,2,10,0.29763514416313175,0.49079089924160346,0.5631067961165048
cbow,1,2,10,0.04281332398719394,0.5026624068157615,0.47619047619047616
skipgram,1,2,10,0.18329807108324356,0.4696485623003195,0.4380952380952381
SVD,1,3,5,1.2742749857031335,0.503800217155266,0.46601941747572817
cbow,1,3,5,0.11288378916846889,0.5026511134676565,0.47619047619047616
skipgram,1,3,5,0.06951927961775606,0.5026511134676565,0.47619047619047616
SVD,1,3,6,0.11288378916846889,0.503800217155266,0.46601941747572817
cbow,1,3,6,0.06951927961775606,0.5026511134676565,0.47619047619047616
skipgram,1,3,6,0.18329807108324356,0.5143160127253447,0.4857142857142857
SVD,1,3,7,0.29763514416313175,0.503800217155266,0.46601941747572817
cbow,1,3,7,0.7847599703514611,0.5026511134676565,0.47619047619047616
skipgram,1,3,7,0.29763514416313175,0.5355249204665959,0.5333333333333333
SVD,1,3,8,0.11288378916846889,0.503800217155266,0.46601941747572817
cbow,1,3,8,0.4832930238571752,0.5026511134676565,0.47619047619047616
skipgram,1,3,8,0.18329807108324356,0.5238600212089077,0.4857142857142857
SVD,1,3,9,0.4832930238571752,0.503800217155266,0.46601941747572817
cbow,1,3,9,0.11288378916846889,0.5026511134676565,0.47619047619047616
skipgram,1,3,9,5.455594781168514,0.4867444326617179,0.5047619047619047
SVD,1,3,10,0.04281332398719394,0.503800217155266,0.46601941747572817
cbow,1,3,10,0.7847599703514611,0.5026511134676565,0.47619047619047616
skipgram,1,3,10,0.06951927961775606,0.5058324496288441,0.47619047619047616
SVD,1,4,5,0.016237767391887217,0.49782135076252726,0.5196078431372549
cbow,1,4,5,0.7847599703514611,0.5026511134676565,0.47619047619047616
skipgram,1,4,5,0.01,0.5026511134676565,0.47619047619047616
SVD,1,4,6,0.18329807108324356,0.49782135076252726,0.5196078431372549
cbow,1,4,6,0.18329807108324356,0.5026511134676565,0.47619047619047616
skipgram,1,4,6,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,4,7,0.4832930238571752,0.49782135076252726,0.5196078431372549
cbow,1,4,7,0.04281332398719394,0.5026511134676565,0.47619047619047616
skipgram,1,4,7,0.11288378916846889,0.5026511134676565,0.47619047619047616
SVD,1,4,8,0.18329807108324356,0.49782135076252726,0.5196078431372549
cbow,1,4,8,0.016237767391887217,0.5026511134676565,0.47619047619047616
skipgram,1,4,8,2.06913808111479,0.5737009544008483,0.5714285714285714
SVD,1,4,9,2.06913808111479,0.49782135076252726,0.5196078431372549
cbow,1,4,9,0.01,0.5026511134676565,0.47619047619047616
