emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,2.06913808111479,0.5,0.5
cbow,1,2,5,8.858667904100823,0.5030467163168585,0.4727272727272727
skipgram,1,2,5,61.584821106602604,0.5030467163168585,0.4727272727272727
SVD,1,2,6,0.29763514416313175,0.5,0.5
cbow,1,2,6,23.357214690901213,0.5030467163168585,0.4727272727272727
skipgram,1,2,6,8.858667904100823,0.5030467163168585,0.4727272727272727
SVD,1,2,7,37.92690190732246,0.5,0.5
cbow,1,2,7,14.38449888287663,0.5030467163168585,0.4727272727272727
skipgram,1,2,7,0.7847599703514611,0.5030467163168585,0.4727272727272727
SVD,1,2,8,2.06913808111479,0.5,0.5
cbow,1,2,8,0.4832930238571752,0.5030467163168585,0.4727272727272727
skipgram,1,2,8,14.38449888287663,0.5030467163168585,0.4727272727272727
SVD,1,2,9,37.92690190732246,0.5,0.5
cbow,1,2,9,8.858667904100823,0.5030467163168585,0.4727272727272727
skipgram,1,2,9,8.858667904100823,0.5030467163168585,0.4727272727272727
SVD,1,2,10,37.92690190732246,0.5,0.5
cbow,1,2,10,1.2742749857031335,0.5030467163168585,0.4727272727272727
skipgram,1,2,10,3.359818286283781,0.5030467163168585,0.4727272727272727
SVD,1,3,5,0.11288378916846889,0.5013927576601671,0.4875
cbow,1,3,5,8.858667904100823,0.5002823263692829,0.49746192893401014
skipgram,1,3,5,23.357214690901213,0.5002823263692829,0.49746192893401014
SVD,1,3,6,1.2742749857031335,0.5013927576601671,0.4875
cbow,1,3,6,23.357214690901213,0.5002823263692829,0.49746192893401014
skipgram,1,3,6,5.455594781168514,0.5002823263692829,0.49746192893401014
SVD,1,3,7,3.359818286283781,0.5013927576601671,0.4875
cbow,1,3,7,3.359818286283781,0.5002823263692829,0.49746192893401014
skipgram,1,3,7,14.38449888287663,0.5002823263692829,0.49746192893401014
SVD,1,3,8,1.2742749857031335,0.5013927576601671,0.4875
cbow,1,3,8,3.359818286283781,0.5002823263692829,0.49746192893401014
skipgram,1,3,8,2.06913808111479,0.5002823263692829,0.49746192893401014
SVD,1,3,9,3.359818286283781,0.5013927576601671,0.4875
cbow,1,3,9,8.858667904100823,0.5002823263692829,0.49746192893401014
skipgram,1,3,9,61.584821106602604,0.5002823263692829,0.49746192893401014
SVD,1,3,10,61.584821106602604,0.5013927576601671,0.4875
cbow,1,3,10,8.858667904100823,0.5002823263692829,0.49746192893401014
skipgram,1,3,10,14.38449888287663,0.5002823263692829,0.49746192893401014
SVD,1,4,5,0.016237767391887217,0.920749279538905,0.9230769230769231
cbow,1,4,5,0.7847599703514611,0.49944444444444447,0.505
skipgram,1,4,5,14.38449888287663,0.49944444444444447,0.505
SVD,1,4,6,0.11288378916846889,0.7204610951008645,0.6794871794871795
cbow,1,4,6,23.357214690901213,0.49944444444444447,0.505
skipgram,1,4,6,100.0,0.49944444444444447,0.505
SVD,1,4,7,14.38449888287663,0.5057636887608069,0.44871794871794873
cbow,1,4,7,2.06913808111479,0.49944444444444447,0.505
skipgram,1,4,7,61.584821106602604,0.49944444444444447,0.505
SVD,1,4,8,37.92690190732246,0.5057636887608069,0.44871794871794873
cbow,1,4,8,14.38449888287663,0.49944444444444447,0.505
skipgram,1,4,8,14.38449888287663,0.49944444444444447,0.505
SVD,1,4,9,5.455594781168514,0.5057636887608069,0.44871794871794873
cbow,1,4,9,0.29763514416313175,0.49944444444444447,0.505
skipgram,1,4,9,100.0,0.49944444444444447,0.505
SVD,1,4,10,5.455594781168514,0.5057636887608069,0.44871794871794873
cbow,1,4,10,100.0,0.49944444444444447,0.505
skipgram,1,4,10,8.858667904100823,0.49944444444444447,0.505
SVD,1,5,5,0.11288378916846889,0.5093457943925234,0.4722222222222222
cbow,1,5,5,1.2742749857031335,0.49944444444444447,0.505
skipgram,1,5,5,5.455594781168514,0.49944444444444447,0.505
SVD,1,5,6,0.01,0.9813084112149533,1.0
cbow,1,5,6,0.7847599703514611,0.49944444444444447,0.505
skipgram,1,5,6,5.455594781168514,0.49944444444444447,0.505
SVD,1,5,7,0.01,0.9579439252336449,0.9305555555555556
cbow,1,5,7,23.357214690901213,0.49944444444444447,0.505
skipgram,1,5,7,5.455594781168514,0.49944444444444447,0.505
SVD,1,5,8,5.455594781168514,0.5046728971962616,0.4583333333333333
cbow,1,5,8,0.01,0.49944444444444447,0.505
skipgram,1,5,8,14.38449888287663,0.49944444444444447,0.505
SVD,1,5,9,3.359818286283781,0.5046728971962616,0.4583333333333333
