emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.01,0.5016666666666667,0.495
cbow,1,2,5,0.01,0.5005555555555555,0.495
skipgram,1,2,5,0.026366508987303583,0.51,0.51
SVD,1,2,6,0.18329807108324356,0.5005555555555555,0.495
cbow,1,2,6,0.016237767391887217,0.5111111111111111,0.52
skipgram,1,2,6,0.04281332398719394,0.5088888888888888,0.5
SVD,1,2,7,0.06951927961775606,0.5005555555555555,0.495
cbow,1,2,7,0.01,0.5111111111111111,0.52
skipgram,1,2,7,2.06913808111479,0.5088888888888888,0.495
SVD,1,2,8,0.01,0.5005555555555555,0.495
cbow,1,2,8,0.01,0.505,0.5
skipgram,1,2,8,0.04281332398719394,0.51,0.515
SVD,1,2,9,0.01,0.5005555555555555,0.495
cbow,1,2,9,0.01,0.5005555555555555,0.495
skipgram,1,2,9,0.4832930238571752,0.5083333333333333,0.5
SVD,1,2,10,0.016237767391887217,0.5022222222222222,0.5
cbow,1,2,10,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,10,0.06951927961775606,0.5111111111111111,0.5
SVD,1,3,5,0.01,0.5005555555555555,0.495
cbow,1,3,5,0.016237767391887217,0.5588888888888889,0.565
skipgram,1,3,5,0.01,0.6561111111111111,0.675
SVD,1,3,6,0.01,0.5005555555555555,0.495
cbow,1,3,6,0.01,0.5116666666666667,0.51
skipgram,1,3,6,0.11288378916846889,0.5227777777777778,0.495
SVD,1,3,7,0.01,0.5005555555555555,0.495
cbow,1,3,7,0.29763514416313175,0.5266666666666666,0.515
skipgram,1,3,7,0.016237767391887217,0.5266666666666666,0.515
SVD,1,3,8,0.01,0.5005555555555555,0.495
cbow,1,3,8,0.4832930238571752,0.5105555555555555,0.5
skipgram,1,3,8,0.026366508987303583,0.5294444444444445,0.5
SVD,1,3,9,0.01,0.5005555555555555,0.495
cbow,1,3,9,0.18329807108324356,0.5127777777777778,0.505
skipgram,1,3,9,2.06913808111479,0.5138888888888888,0.51
SVD,1,3,10,0.01,0.5005555555555555,0.495
cbow,1,3,10,0.11288378916846889,0.5077777777777778,0.51
skipgram,1,3,10,0.06951927961775606,0.5111111111111111,0.505
SVD,1,4,5,0.026366508987303583,0.5005555555555555,0.495
cbow,1,4,5,0.01,0.5438888888888889,0.49
skipgram,1,4,5,0.01,0.6183333333333333,0.67
SVD,1,4,6,0.01,0.5005555555555555,0.495
cbow,1,4,6,0.016237767391887217,0.5133333333333333,0.475
