emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.7847599703514611,0.20452867339404382,0.21017699115044247
cbow,1,2,5,5.455594781168514,0.1976302257992399,0.22132796780684105
skipgram,1,2,5,100.0,0.37268052761010506,0.38028169014084506
SVD,1,2,6,0.11288378916846889,0.20009844942160965,0.21017699115044247
cbow,1,2,6,8.858667904100823,0.20232506147999105,0.18108651911468812
skipgram,1,2,6,0.4832930238571752,0.3979432148446233,0.3822937625754527
SVD,1,2,7,2.06913808111479,0.20034457297563377,0.2079646017699115
cbow,1,2,7,3.359818286283781,0.2300469483568075,0.20724346076458752
skipgram,1,2,7,37.92690190732246,0.37111558238318804,0.3420523138832998
SVD,1,2,8,0.18329807108324356,0.19911395520551317,0.2079646017699115
cbow,1,2,8,2.06913808111479,0.2005365526492287,0.19517102615694165
skipgram,1,2,8,61.584821106602604,0.39570757880617036,0.38028169014084506
SVD,1,2,9,5.455594781168514,0.22323406349987693,0.23008849557522124
cbow,1,2,9,5.455594781168514,0.20254862508383636,0.19718309859154928
skipgram,1,2,9,100.0,0.22870556673373574,0.23340040241448692
SVD,1,2,10,5.455594781168514,0.20182131429977848,0.21238938053097345
cbow,1,2,10,3.359818286283781,0.2347417840375587,0.22937625754527163
skipgram,1,2,10,61.584821106602604,0.28817348535658394,0.2676056338028169
SVD,1,3,5,3.359818286283781,0.20217032318943148,0.22717622080679406
cbow,1,3,5,1.2742749857031335,0.2005365526492287,0.19517102615694165
skipgram,1,3,5,14.38449888287663,0.5316342499441091,0.5311871227364185
SVD,1,3,6,14.38449888287663,0.2026421325784383,0.22929936305732485
cbow,1,3,6,8.858667904100823,0.2005365526492287,0.19517102615694165
skipgram,1,3,6,8.858667904100823,0.5068186899172815,0.5050301810865191
SVD,1,3,7,0.04281332398719394,0.19863175277188017,0.22505307855626328
cbow,1,3,7,14.38449888287663,0.20008942544153813,0.19919517102615694
skipgram,1,3,7,3.359818286283781,0.4522691705790297,0.43259557344064387
SVD,1,3,8,0.29763514416313175,0.19839584807737673,0.22505307855626328
cbow,1,3,8,100.0,0.2452492734182875,0.23541247484909456
skipgram,1,3,8,14.38449888287663,0.4287949921752739,0.4225352112676056
SVD,1,3,9,8.858667904100823,0.19933946685539042,0.22505307855626328
cbow,1,3,9,8.858667904100823,0.36172591102168566,0.34808853118712274
skipgram,1,3,9,37.92690190732246,0.3898949251061927,0.3641851106639839
SVD,1,3,10,1.2742749857031335,0.20193441849492805,0.18259023354564755
cbow,1,3,10,61.584821106602604,0.3416051866756092,0.3199195171026157
skipgram,1,3,10,23.357214690901213,0.38832997987927564,0.3822937625754527
SVD,1,4,5,3.359818286283781,0.2117096018735363,0.20842105263157895
cbow,1,4,5,37.92690190732246,0.20008942544153813,0.19919517102615694
skipgram,1,4,5,23.357214690901213,0.3485356583948133,0.3702213279678068
SVD,1,4,6,61.584821106602604,0.20936768149882903,0.20842105263157895
cbow,1,4,6,8.858667904100823,0.20008942544153813,0.19919517102615694
skipgram,1,4,6,37.92690190732246,0.3416051866756092,0.3782696177062374
SVD,1,4,7,8.858667904100823,0.2117096018735363,0.2
cbow,1,4,7,0.7847599703514611,0.20008942544153813,0.19919517102615694
skipgram,1,4,7,1.2742749857031335,0.4614352783366868,0.42655935613682094
SVD,1,4,8,0.4832930238571752,0.20960187353629978,0.21052631578947367
cbow,1,4,8,3.359818286283781,0.20008942544153813,0.19919517102615694
skipgram,1,4,8,61.584821106602604,0.3782696177062374,0.35412474849094566
SVD,1,4,9,1.2742749857031335,0.20398126463700234,0.1957894736842105
cbow,1,4,9,5.455594781168514,0.20187793427230047,0.19919517102615694
skipgram,1,4,9,37.92690190732246,0.3487592219986586,0.32796780684104626
SVD,1,4,10,0.7847599703514611,0.20210772833723653,0.1957894736842105
cbow,1,4,10,23.357214690901213,0.19897160742231165,0.19919517102615694
skipgram,1,4,10,0.7847599703514611,0.29197406662195396,0.28169014084507044
SVD,1,5,5,8.858667904100823,0.20747749826909762,0.22406639004149378
cbow,1,5,5,0.29763514416313175,0.3936955063715627,0.3682092555331992
skipgram,1,5,5,0.06951927961775606,0.4759669125866309,0.44466800804828976
SVD,1,5,6,14.38449888287663,0.20770828525271176,0.22821576763485477
cbow,1,5,6,0.29763514416313175,0.200760116253074,0.19919517102615694
skipgram,1,5,6,61.584821106602604,0.34317013190252627,0.3561368209255533
SVD,1,5,7,0.18329807108324356,0.20863143318716823,0.21991701244813278
cbow,1,5,7,23.357214690901213,0.20031298904538342,0.19919517102615694
skipgram,1,5,7,61.584821106602604,0.4967583277442432,0.4768611670020121
SVD,1,5,8,2.06913808111479,0.20863143318716823,0.22406639004149378
cbow,1,5,8,14.38449888287663,0.20165437066845518,0.19919517102615694
skipgram,1,5,8,23.357214690901213,0.4759669125866309,0.47484909456740443
SVD,1,5,9,1.2742749857031335,0.20816985921994,0.22614107883817428
cbow,1,5,9,61.584821106602604,0.20031298904538342,0.19919517102615694
skipgram,1,5,9,0.7847599703514611,0.40196735971383857,0.3762575452716298
SVD,1,5,10,2.06913808111479,0.2084006462035541,0.22199170124481327
cbow,1,5,10,0.06951927961775606,0.20008942544153813,0.19919517102615694
skipgram,1,5,10,8.858667904100823,0.3626201654370668,0.3501006036217304
SVD,1,6,5,0.4832930238571752,0.21533516988062443,0.19834710743801653
cbow,1,6,5,37.92690190732246,0.3945897607869439,0.3682092555331992
skipgram,1,6,5,0.18329807108324356,0.49586407332886207,0.48893360160965793
SVD,1,6,6,37.92690190732246,0.2132690541781451,0.2066115702479339
cbow,1,6,6,0.7847599703514611,0.3952604515984798,0.36619718309859156
skipgram,1,6,6,0.18329807108324356,0.4869215291750503,0.48088531187122735
SVD,1,6,7,8.858667904100823,0.21097337006427916,0.20867768595041322
cbow,1,6,7,14.38449888287663,0.20008942544153813,0.19919517102615694
skipgram,1,6,7,5.455594781168514,0.4998882181980773,0.4969818913480885
