emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.11288378916846889,0.7477233571252769,0.7146017699115044
cbow,1,2,5,0.01,0.5027945450480662,0.5412474849094567
skipgram,1,2,5,0.11288378916846889,0.99239883746926,0.9859154929577465
SVD,1,2,6,2.06913808111479,0.33448190991877924,0.3075221238938053
cbow,1,2,6,0.7847599703514611,0.45942320590207913,0.45875251509054327
skipgram,1,2,6,2.06913808111479,0.9476861167002012,0.93158953722334
SVD,1,2,7,0.29763514416313175,0.37509229633275903,0.35398230088495575
cbow,1,2,7,3.359818286283781,0.3451822043371339,0.3420523138832998
skipgram,1,2,7,3.359818286283781,0.990163201430807,0.9919517102615694
SVD,1,2,8,0.016237767391887217,0.41201082943637707,0.39823008849557523
cbow,1,2,8,0.06951927961775606,0.6306729264475743,0.6257545271629779
skipgram,1,2,8,0.7847599703514611,0.9839034205231388,0.9778672032193159
SVD,1,2,9,0.04281332398719394,0.422101895151366,0.39823008849557523
cbow,1,2,9,0.026366508987303583,0.9204113570310754,0.9295774647887324
skipgram,1,2,9,3.359818286283781,0.9868097473731277,0.9798792756539235
SVD,1,2,10,0.01,0.46320452867339407,0.45353982300884954
cbow,1,2,10,0.016237767391887217,0.9727252403308742,0.9738430583501007
skipgram,1,2,10,0.29763514416313175,0.9056561591772859,0.903420523138833
SVD,1,3,5,0.04281332398719394,0.6749233309742864,0.6326963906581741
cbow,1,3,5,0.01,0.3416051866756092,0.3319919517102616
skipgram,1,3,5,0.06951927961775606,0.9794321484462329,0.9778672032193159
SVD,1,3,6,3.359818286283781,0.7386175984902099,0.721868365180467
cbow,1,3,6,0.026366508987303583,0.4444444444444444,0.4567404426559356
skipgram,1,3,6,0.18329807108324356,0.9841269841269841,0.9839034205231388
SVD,1,3,7,0.01,0.43665958952583156,0.42462845010615713
cbow,1,3,7,0.04281332398719394,0.5079365079365079,0.49899396378269617
skipgram,1,3,7,5.455594781168514,0.98859825620389,0.9919517102615694
SVD,1,3,8,0.01,0.37367303609341823,0.3609341825902335
cbow,1,3,8,3.359818286283781,0.48848647440196735,0.4949698189134809
skipgram,1,3,8,0.7847599703514611,0.9872568745808182,0.9839034205231388
SVD,1,3,9,0.06951927961775606,0.3283793347487615,0.31634819532908703
cbow,1,3,9,0.7847599703514611,0.5624860272747597,0.5835010060362174
skipgram,1,3,9,3.359818286283781,0.9845741113346748,0.9859154929577465
SVD,1,3,10,8.858667904100823,0.33828733191790517,0.31422505307855625
cbow,1,3,10,0.01,0.6512407780013414,0.6579476861167002
skipgram,1,3,10,5.455594781168514,0.9872568745808182,0.9859154929577465
SVD,1,4,5,2.06913808111479,0.5386416861826698,0.4884210526315789
cbow,1,4,5,0.29763514416313175,0.35144198524480214,0.3782696177062374
skipgram,1,4,5,0.18329807108324356,0.8765928906773978,0.8792756539235412
SVD,1,4,6,0.01,0.33747072599531613,0.33473684210526317
cbow,1,4,6,0.18329807108324356,0.38452939861390567,0.3762575452716298
skipgram,1,4,6,3.359818286283781,0.8797227811312318,0.8853118712273642
SVD,1,4,7,0.4832930238571752,0.3018735362997658,0.2926315789473684
cbow,1,4,7,0.026366508987303583,0.4287949921752739,0.42655935613682094
skipgram,1,4,7,0.18329807108324356,0.9412027721886876,0.9356136820925554
SVD,1,4,8,5.455594781168514,0.32740046838407494,0.32
cbow,1,4,8,0.01,0.48401520232506146,0.5211267605633803
skipgram,1,4,8,0.7847599703514611,0.9210820478426113,0.9114688128772636
SVD,1,4,9,3.359818286283781,0.28688524590163933,0.26526315789473687
cbow,1,4,9,0.01,0.5240330874133691,0.5110663983903421
skipgram,1,4,9,5.455594781168514,0.9465682986809747,0.9517102615694165
SVD,1,4,10,2.06913808111479,0.29320843091334897,0.27157894736842103
cbow,1,4,10,0.016237767391887217,0.5897607869438856,0.6056338028169014
skipgram,1,4,10,14.38449888287663,0.9338251732617929,0.9255533199195171
SVD,1,5,5,8.858667904100823,0.2215555042695592,0.2053941908713693
cbow,1,5,5,0.01,0.3226022803487592,0.3380281690140845
skipgram,1,5,5,0.06951927961775606,0.8412698412698413,0.8430583501006036
SVD,1,5,6,1.2742749857031335,0.35564274174936533,0.3360995850622407
cbow,1,5,6,0.18329807108324356,0.5045830538788285,0.5331991951710262
skipgram,1,5,6,0.4832930238571752,0.8573664207467024,0.8611670020120724
SVD,1,5,7,5.455594781168514,0.34894991922455576,0.33195020746887965
cbow,1,5,7,0.29763514416313175,0.41403979432148447,0.41448692152917505
skipgram,1,5,7,0.4832930238571752,0.8902302705119607,0.8853118712273642
SVD,1,5,8,0.11288378916846889,0.2900992384029541,0.2883817427385892
cbow,1,5,8,2.06913808111479,0.3968253968253968,0.42655935613682094
skipgram,1,5,8,3.359818286283781,0.873015873015873,0.8511066398390342
SVD,1,5,9,0.4832930238571752,0.2550196168936072,0.23858921161825727
cbow,1,5,9,0.06951927961775606,0.4202995752291527,0.42052313883299797
skipgram,1,5,9,37.92690190732246,0.8871003800581265,0.8832997987927566
SVD,1,5,10,1.2742749857031335,0.2591737825986614,0.24896265560165975
cbow,1,5,10,0.06951927961775606,0.4317013190252627,0.44064386317907445
skipgram,1,5,10,2.06913808111479,0.8698859825620389,0.8672032193158954
SVD,1,6,5,0.7847599703514611,0.21877869605142333,0.2066115702479339
cbow,1,6,5,0.01,0.32528504359490273,0.32796780684104626
skipgram,1,6,5,0.11288378916846889,0.7956628660854013,0.8028169014084507
