emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,5,0.4832930238571752,0.5015384615384615,0.5082872928176796
cbow,1,2,5,0.01,0.5005555555555555,0.495
skipgram,1,2,5,1.2742749857031335,0.5005555555555555,0.495
SVD,1,2,6,8.858667904100823,0.5009230769230769,0.49171270718232046
cbow,1,2,6,37.92690190732246,0.5005555555555555,0.495
skipgram,1,2,6,8.858667904100823,0.5005555555555555,0.495
SVD,1,2,7,3.359818286283781,0.5009230769230769,0.49171270718232046
cbow,1,2,7,5.455594781168514,0.5005555555555555,0.495
skipgram,1,2,7,1.2742749857031335,0.49944444444444447,0.505
SVD,1,2,8,0.18329807108324356,0.5009230769230769,0.49171270718232046
cbow,1,2,8,37.92690190732246,0.5005555555555555,0.495
skipgram,1,2,8,61.584821106602604,0.49944444444444447,0.505
SVD,1,2,9,14.38449888287663,0.5009230769230769,0.49171270718232046
cbow,1,2,9,5.455594781168514,0.5005555555555555,0.495
skipgram,1,2,9,37.92690190732246,0.49944444444444447,0.505
SVD,1,2,10,0.06951927961775606,0.5009230769230769,0.49171270718232046
cbow,1,2,10,0.06951927961775606,0.5711111111111111,0.585
skipgram,1,2,10,14.38449888287663,0.49944444444444447,0.505
SVD,1,3,5,0.7847599703514611,0.5002949852507375,0.5238095238095238
cbow,1,3,5,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,3,5,5.455594781168514,0.515,0.525
SVD,1,3,6,0.026366508987303583,0.5008849557522124,0.5238095238095238
cbow,1,3,6,0.01,0.5005555555555555,0.495
skipgram,1,3,6,0.4832930238571752,0.5805555555555556,0.6
SVD,1,3,7,0.04281332398719394,0.5008849557522124,0.5238095238095238
cbow,1,3,7,0.11288378916846889,0.49944444444444447,0.505
skipgram,1,3,7,5.455594781168514,0.49944444444444447,0.505
SVD,1,3,8,0.29763514416313175,0.49734513274336284,0.5238095238095238
cbow,1,3,8,23.357214690901213,0.49944444444444447,0.505
skipgram,1,3,8,23.357214690901213,0.49944444444444447,0.505
SVD,1,3,9,0.11288378916846889,0.49734513274336284,0.5238095238095238
cbow,1,3,9,100.0,0.49944444444444447,0.505
skipgram,1,3,9,37.92690190732246,0.49944444444444447,0.505
SVD,1,3,10,0.4832930238571752,0.49734513274336284,0.5238095238095238
cbow,1,3,10,14.38449888287663,0.49944444444444447,0.505
skipgram,1,3,10,8.858667904100823,0.49944444444444447,0.505
SVD,1,4,5,0.4832930238571752,0.5117096018735363,0.4631578947368421
cbow,1,4,5,1.2742749857031335,0.49944444444444447,0.505
skipgram,1,4,5,1.2742749857031335,0.49944444444444447,0.505
SVD,1,4,6,3.359818286283781,0.5046838407494145,0.45789473684210524
cbow,1,4,6,0.11288378916846889,0.49944444444444447,0.505
skipgram,1,4,6,3.359818286283781,0.49944444444444447,0.505
SVD,1,4,7,0.016237767391887217,0.5081967213114754,0.4631578947368421
cbow,1,4,7,0.18329807108324356,0.49944444444444447,0.505
skipgram,1,4,7,8.858667904100823,0.49944444444444447,0.505
SVD,1,4,8,2.06913808111479,0.5046838407494145,0.45789473684210524
cbow,1,4,8,0.11288378916846889,0.49944444444444447,0.505
skipgram,1,4,8,0.7847599703514611,0.49944444444444447,0.505
SVD,1,4,9,8.858667904100823,0.5046838407494145,0.45789473684210524
cbow,1,4,9,14.38449888287663,0.49944444444444447,0.505
skipgram,1,4,9,23.357214690901213,0.49944444444444447,0.505
SVD,1,4,10,0.06951927961775606,0.5046838407494145,0.45789473684210524
cbow,1,4,10,5.455594781168514,0.49944444444444447,0.505
skipgram,1,4,10,23.357214690901213,0.49944444444444447,0.505
SVD,1,5,5,0.11288378916846889,0.49855741488747835,0.5129533678756477
cbow,1,5,5,0.01,0.49944444444444447,0.505
skipgram,1,5,5,0.29763514416313175,0.5427777777777778,0.55
SVD,1,5,6,0.29763514416313175,0.49855741488747835,0.5129533678756477
cbow,1,5,6,0.06951927961775606,0.49944444444444447,0.505
skipgram,1,5,6,0.4832930238571752,0.49944444444444447,0.505
SVD,1,5,7,0.11288378916846889,0.49855741488747835,0.5129533678756477
cbow,1,5,7,2.06913808111479,0.49944444444444447,0.505
skipgram,1,5,7,1.2742749857031335,0.49944444444444447,0.505
SVD,1,5,8,0.04281332398719394,0.5014425851125216,0.5129533678756477
cbow,1,5,8,0.4832930238571752,0.49944444444444447,0.505
skipgram,1,5,8,0.29763514416313175,0.49944444444444447,0.505
SVD,1,5,9,0.01,0.502596653202539,0.5181347150259067
cbow,1,5,9,5.455594781168514,0.49944444444444447,0.505
skipgram,1,5,9,1.2742749857031335,0.49944444444444447,0.505
SVD,1,5,10,2.06913808111479,0.49855741488747835,0.5129533678756477
cbow,1,5,10,5.455594781168514,0.49944444444444447,0.505
skipgram,1,5,10,8.858667904100823,0.49944444444444447,0.505
SVD,1,6,5,1.2742749857031335,0.4971297359357061,0.5257731958762887
cbow,1,6,5,0.01,0.49944444444444447,0.505
skipgram,1,6,5,0.06951927961775606,0.5005555555555555,0.505
SVD,1,6,6,2.06913808111479,0.4971297359357061,0.5257731958762887
cbow,1,6,6,0.01,0.49944444444444447,0.505
skipgram,1,6,6,0.29763514416313175,0.49944444444444447,0.505
SVD,1,6,7,0.11288378916846889,0.4971297359357061,0.5257731958762887
cbow,1,6,7,0.04281332398719394,0.49944444444444447,0.505
skipgram,1,6,7,2.06913808111479,0.49944444444444447,0.505
SVD,1,6,8,1.2742749857031335,0.4971297359357061,0.5257731958762887
cbow,1,6,8,8.858667904100823,0.49944444444444447,0.505
skipgram,1,6,8,3.359818286283781,0.49944444444444447,0.505
SVD,1,6,9,2.06913808111479,0.4971297359357061,0.5257731958762887
cbow,1,6,9,0.18329807108324356,0.49944444444444447,0.505
skipgram,1,6,9,2.06913808111479,0.49944444444444447,0.505
SVD,1,6,10,0.7847599703514611,0.4971297359357061,0.5257731958762887
cbow,1,6,10,2.06913808111479,0.49944444444444447,0.505
skipgram,1,6,10,14.38449888287663,0.49944444444444447,0.505
SVD,1,7,5,0.7847599703514611,0.49942726231386025,0.5051546391752577
cbow,1,7,5,0.01,0.49944444444444447,0.505
skipgram,1,7,5,0.01,0.49944444444444447,0.505
SVD,1,7,6,0.7847599703514611,0.49942726231386025,0.5051546391752577
cbow,1,7,6,0.01,0.49944444444444447,0.505
skipgram,1,7,6,0.29763514416313175,0.49944444444444447,0.505
SVD,1,7,7,2.06913808111479,0.49942726231386025,0.5051546391752577
cbow,1,7,7,61.584821106602604,0.49944444444444447,0.505
skipgram,1,7,7,0.04281332398719394,0.49944444444444447,0.505
SVD,1,7,8,0.7847599703514611,0.49942726231386025,0.5051546391752577
cbow,1,7,8,0.7847599703514611,0.5,0.505
skipgram,1,7,8,1.2742749857031335,0.49944444444444447,0.505
SVD,1,7,9,1.2742749857031335,0.49942726231386025,0.5051546391752577
cbow,1,7,9,23.357214690901213,0.49944444444444447,0.505
skipgram,1,7,9,23.357214690901213,0.49944444444444447,0.505
SVD,1,7,10,0.7847599703514611,0.49942726231386025,0.5051546391752577
cbow,1,7,10,0.29763514416313175,0.49944444444444447,0.505
skipgram,1,7,10,3.359818286283781,0.49944444444444447,0.505
SVD,1,8,5,3.359818286283781,0.5020034344590727,0.48205128205128206
cbow,1,8,5,0.01,0.49944444444444447,0.505
skipgram,1,8,5,0.01,0.49944444444444447,0.505
SVD,1,8,6,14.38449888287663,0.5020034344590727,0.48205128205128206
cbow,1,8,6,23.357214690901213,0.5138888888888888,0.505
skipgram,1,8,6,0.7847599703514611,0.5,0.505
SVD,1,8,7,3.359818286283781,0.5020034344590727,0.48205128205128206
cbow,1,8,7,0.06951927961775606,0.49944444444444447,0.505
skipgram,1,8,7,0.06951927961775606,0.5016666666666667,0.51
SVD,1,8,8,1.2742749857031335,0.5020034344590727,0.48205128205128206
cbow,1,8,8,3.359818286283781,0.49944444444444447,0.505
skipgram,1,8,8,5.455594781168514,0.49944444444444447,0.505
SVD,1,8,9,14.38449888287663,0.5020034344590727,0.48205128205128206
cbow,1,8,9,0.4832930238571752,0.5005555555555555,0.505
skipgram,1,8,9,0.7847599703514611,0.49944444444444447,0.505
SVD,1,8,10,5.455594781168514,0.5020034344590727,0.48205128205128206
cbow,1,8,10,37.92690190732246,0.49944444444444447,0.505
skipgram,1,8,10,23.357214690901213,0.49944444444444447,0.505
SVD,2,2,5,0.11288378916846889,0.5126153846153846,0.5082872928176796
cbow,2,2,5,0.18329807108324356,0.49944444444444447,0.505
skipgram,2,2,5,0.7847599703514611,0.5044444444444445,0.505
SVD,2,2,6,0.29763514416313175,0.5009230769230769,0.49171270718232046
cbow,2,2,6,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,2,6,0.7847599703514611,0.5488888888888889,0.545
SVD,2,2,7,0.7847599703514611,0.5009230769230769,0.49171270718232046
cbow,2,2,7,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,2,7,5.455594781168514,0.5905555555555555,0.58
SVD,2,2,8,0.06951927961775606,0.5009230769230769,0.49171270718232046
cbow,2,2,8,1.2742749857031335,0.49944444444444447,0.505
skipgram,2,2,8,0.11288378916846889,0.5583333333333333,0.58
SVD,2,2,9,0.4832930238571752,0.5009230769230769,0.49171270718232046
cbow,2,2,9,14.38449888287663,0.49944444444444447,0.505
skipgram,2,2,9,0.18329807108324356,0.6327777777777778,0.625
SVD,2,2,10,0.18329807108324356,0.5009230769230769,0.49171270718232046
cbow,2,2,10,14.38449888287663,0.49944444444444447,0.505
skipgram,2,2,10,0.06951927961775606,0.6255555555555555,0.63
SVD,2,3,5,0.18329807108324356,0.49970501474926254,0.5238095238095238
cbow,2,3,5,0.4832930238571752,0.49944444444444447,0.505
skipgram,2,3,5,0.11288378916846889,0.49944444444444447,0.505
SVD,2,3,6,1.2742749857031335,0.49734513274336284,0.5238095238095238
cbow,2,3,6,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,3,6,0.18329807108324356,0.49944444444444447,0.505
SVD,2,3,7,0.04281332398719394,0.49970501474926254,0.5238095238095238
cbow,2,3,7,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,3,7,0.06951927961775606,0.5005555555555555,0.505
SVD,2,3,8,0.026366508987303583,0.49911504424778763,0.5238095238095238
cbow,2,3,8,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,3,8,5.455594781168514,0.5055555555555555,0.51
SVD,2,3,9,0.06951927961775606,0.49734513274336284,0.5238095238095238
cbow,2,3,9,0.026366508987303583,0.49944444444444447,0.505
skipgram,2,3,9,1.2742749857031335,0.5077777777777778,0.52
SVD,2,3,10,2.06913808111479,0.49734513274336284,0.5238095238095238
cbow,2,3,10,3.359818286283781,0.49944444444444447,0.505
skipgram,2,3,10,1.2742749857031335,0.5061111111111111,0.51
SVD,2,4,5,0.4832930238571752,0.5046838407494145,0.45789473684210524
cbow,2,4,5,0.7847599703514611,0.49944444444444447,0.505
skipgram,2,4,5,0.29763514416313175,0.49944444444444447,0.505
SVD,2,4,6,0.4832930238571752,0.5046838407494145,0.45789473684210524
cbow,2,4,6,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,4,6,5.455594781168514,0.5,0.505
SVD,2,4,7,3.359818286283781,0.5046838407494145,0.45789473684210524
cbow,2,4,7,0.4832930238571752,0.49944444444444447,0.505
skipgram,2,4,7,0.29763514416313175,0.49944444444444447,0.505
SVD,2,4,8,0.4832930238571752,0.5046838407494145,0.45789473684210524
cbow,2,4,8,5.455594781168514,0.49944444444444447,0.505
skipgram,2,4,8,0.4832930238571752,0.5005555555555555,0.51
SVD,2,4,9,1.2742749857031335,0.5046838407494145,0.45789473684210524
cbow,2,4,9,0.18329807108324356,0.49944444444444447,0.505
