emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,1,2,5,0.29763514416313175,0.3314814814814815,0.36666666666666664
svd,1,2,5,3.359818286283781,0.17037037037037037,0.13333333333333333
cbow,1,2,6,0.18329807108324356,0.16111111111111112,0.21666666666666667
skipgram,1,2,6,8.858667904100823,0.32037037037037036,0.3
svd,1,2,6,0.29763514416313175,0.17037037037037037,0.13333333333333333
cbow,1,2,7,0.4832930238571752,0.16111111111111112,0.21666666666666667
skipgram,1,2,7,61.584821106602604,0.3351851851851852,0.4
svd,1,2,7,37.92690190732246,0.17037037037037037,0.13333333333333333
cbow,1,2,8,14.38449888287663,0.17592592592592593,0.23333333333333334
skipgram,1,2,8,61.584821106602604,0.3351851851851852,0.2833333333333333
svd,1,2,8,1.2742749857031335,0.17037037037037037,0.13333333333333333
cbow,1,2,9,8.858667904100823,0.2574074074074074,0.2833333333333333
skipgram,1,2,9,100.0,0.24074074074074073,0.4166666666666667
svd,1,2,9,3.359818286283781,0.17037037037037037,0.13333333333333333
cbow,1,2,10,5.455594781168514,0.3351851851851852,0.3
skipgram,1,2,10,14.38449888287663,0.17592592592592593,0.08333333333333333
svd,1,2,10,8.858667904100823,0.17037037037037037,0.13333333333333333
cbow,1,3,5,5.455594781168514,0.16111111111111112,0.21666666666666667
skipgram,1,3,5,5.455594781168514,0.2388888888888889,0.2833333333333333
svd,1,3,5,1.2742749857031335,0.17037037037037037,0.13333333333333333
cbow,1,3,6,23.357214690901213,0.16111111111111112,0.21666666666666667
skipgram,1,3,6,37.92690190732246,0.2574074074074074,0.26666666666666666
svd,1,3,6,14.38449888287663,0.17037037037037037,0.13333333333333333
cbow,1,3,7,0.7847599703514611,0.16111111111111112,0.21666666666666667
skipgram,1,3,7,2.06913808111479,0.32407407407407407,0.3333333333333333
svd,1,3,7,1.2742749857031335,0.17037037037037037,0.13333333333333333
cbow,1,3,8,37.92690190732246,0.16111111111111112,0.21666666666666667
skipgram,1,3,8,0.29763514416313175,0.337037037037037,0.3
svd,1,3,8,8.858667904100823,0.17037037037037037,0.13333333333333333
cbow,1,3,9,14.38449888287663,0.16111111111111112,0.21666666666666667
skipgram,1,3,9,5.455594781168514,0.17222222222222222,0.11666666666666667
svd,1,3,9,0.29763514416313175,0.16296296296296298,0.2
cbow,1,3,10,2.06913808111479,0.16111111111111112,0.21666666666666667
skipgram,1,3,10,1.2742749857031335,0.17222222222222222,0.11666666666666667
svd,1,3,10,14.38449888287663,0.17037037037037037,0.13333333333333333
cbow,1,4,5,3.359818286283781,0.16111111111111112,0.21666666666666667
skipgram,1,4,5,0.7847599703514611,0.19444444444444445,0.25
svd,1,4,5,0.29763514416313175,0.2611111111111111,0.26666666666666666
cbow,1,4,6,61.584821106602604,0.16111111111111112,0.21666666666666667
skipgram,1,4,6,23.357214690901213,0.2537037037037037,0.2833333333333333
svd,1,4,6,0.7847599703514611,0.17592592592592593,0.08333333333333333
cbow,1,4,7,14.38449888287663,0.16111111111111112,0.21666666666666667
skipgram,1,4,7,14.38449888287663,0.2222222222222222,0.23333333333333334
svd,1,4,7,8.858667904100823,0.17592592592592593,0.08333333333333333
cbow,1,4,8,5.455594781168514,0.16111111111111112,0.21666666666666667
skipgram,1,4,8,14.38449888287663,0.17592592592592593,0.08333333333333333
