emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,5,0.026366508987303583,0.5088495575221239,0.4230769230769231
skipgram,1,2,5,0.01,0.5088495575221239,0.4230769230769231
svd,1,2,5,0.11288378916846889,0.4911504424778761,0.5769230769230769
cbow,1,2,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,2,6,0.01,0.5088495575221239,0.4230769230769231
svd,1,2,6,0.11288378916846889,0.4911504424778761,0.5769230769230769
cbow,1,2,7,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,2,7,0.01,0.5088495575221239,0.4230769230769231
svd,1,2,7,0.026366508987303583,0.4911504424778761,0.5769230769230769
cbow,1,2,8,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,2,8,0.01,0.5088495575221239,0.4230769230769231
svd,1,2,8,0.06951927961775606,0.4911504424778761,0.5769230769230769
cbow,1,2,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,2,9,0.01,0.5088495575221239,0.4230769230769231
svd,1,2,9,0.01,0.4911504424778761,0.5769230769230769
cbow,1,2,10,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,2,10,0.01,0.5088495575221239,0.4230769230769231
svd,1,2,10,0.4832930238571752,0.4911504424778761,0.5769230769230769
cbow,1,3,5,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,3,5,0.01,0.5088495575221239,0.4230769230769231
svd,1,3,5,0.06951927961775606,0.5088495575221239,0.4230769230769231
cbow,1,3,6,2.06913808111479,0.5088495575221239,0.4230769230769231
skipgram,1,3,6,0.7847599703514611,0.5132743362831859,0.4230769230769231
svd,1,3,6,0.01,0.5088495575221239,0.4230769230769231
cbow,1,3,7,0.06951927961775606,0.5088495575221239,0.4230769230769231
skipgram,1,3,7,61.584821106602604,0.4911504424778761,0.6153846153846154
svd,1,3,7,0.18329807108324356,0.4911504424778761,0.5769230769230769
cbow,1,3,8,0.4832930238571752,0.5088495575221239,0.4230769230769231
skipgram,1,3,8,0.01,0.5088495575221239,0.4230769230769231
svd,1,3,8,8.858667904100823,0.4911504424778761,0.5769230769230769
cbow,1,3,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,3,9,0.01,0.5088495575221239,0.4230769230769231
svd,1,3,9,0.01,0.4911504424778761,0.5769230769230769
cbow,1,3,10,0.7847599703514611,0.5088495575221239,0.4230769230769231
skipgram,1,3,10,0.01,0.5088495575221239,0.4230769230769231
svd,1,3,10,0.06951927961775606,0.4911504424778761,0.5769230769230769
cbow,1,4,5,0.18329807108324356,0.5088495575221239,0.4230769230769231
skipgram,1,4,5,0.016237767391887217,0.5088495575221239,0.4230769230769231
svd,1,4,5,0.06951927961775606,0.5088495575221239,0.4230769230769231
cbow,1,4,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,4,6,0.01,0.5088495575221239,0.4230769230769231
svd,1,4,6,0.01,0.4911504424778761,0.5769230769230769
cbow,1,4,7,0.04281332398719394,0.5088495575221239,0.4230769230769231
skipgram,1,4,7,3.359818286283781,0.5353982300884956,0.4230769230769231
svd,1,4,7,0.4832930238571752,0.8849557522123894,0.9230769230769231
cbow,1,4,8,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,4,8,0.01,0.5088495575221239,0.4230769230769231
svd,1,4,8,0.026366508987303583,0.5088495575221239,0.4230769230769231
cbow,1,4,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,4,9,1.2742749857031335,0.5088495575221239,0.4230769230769231
svd,1,4,9,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,4,10,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,4,10,0.11288378916846889,0.5088495575221239,0.4230769230769231
svd,1,4,10,0.01,0.5088495575221239,0.4230769230769231
cbow,1,5,5,3.359818286283781,0.5088495575221239,0.4230769230769231
skipgram,1,5,5,0.026366508987303583,0.5088495575221239,0.4230769230769231
svd,1,5,5,0.01,0.5088495575221239,0.4230769230769231
cbow,1,5,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,5,6,0.01,0.5088495575221239,0.4230769230769231
svd,1,5,6,0.01,0.5088495575221239,0.4230769230769231
cbow,1,5,7,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,5,7,0.01,0.5088495575221239,0.4230769230769231
svd,1,5,7,0.04281332398719394,0.5088495575221239,0.4230769230769231
cbow,1,5,8,0.29763514416313175,0.5088495575221239,0.4230769230769231
skipgram,1,5,8,0.01,0.5088495575221239,0.4230769230769231
svd,1,5,8,0.04281332398719394,0.5088495575221239,0.4230769230769231
cbow,1,5,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,5,9,0.026366508987303583,0.5088495575221239,0.4230769230769231
svd,1,5,9,0.01,0.5088495575221239,0.4230769230769231
cbow,1,5,10,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,5,10,0.026366508987303583,0.5088495575221239,0.4230769230769231
svd,1,5,10,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,6,5,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,6,5,23.357214690901213,0.5088495575221239,0.4230769230769231
svd,1,6,5,0.06951927961775606,0.5088495575221239,0.4230769230769231
cbow,1,6,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,6,6,0.18329807108324356,0.5088495575221239,0.4230769230769231
svd,1,6,6,0.11288378916846889,0.5088495575221239,0.4230769230769231
cbow,1,6,7,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,6,7,8.858667904100823,0.5442477876106194,0.4230769230769231
svd,1,6,7,0.01,0.5088495575221239,0.4230769230769231
cbow,1,6,8,0.06951927961775606,0.5088495575221239,0.4230769230769231
skipgram,1,6,8,0.016237767391887217,0.5088495575221239,0.4230769230769231
svd,1,6,8,0.01,0.5088495575221239,0.4230769230769231
cbow,1,6,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,6,9,0.01,0.5088495575221239,0.4230769230769231
svd,1,6,9,0.29763514416313175,0.5088495575221239,0.4230769230769231
cbow,1,6,10,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,6,10,5.455594781168514,0.5132743362831859,0.46153846153846156
svd,1,6,10,0.18329807108324356,0.5088495575221239,0.4230769230769231
cbow,1,7,5,0.11288378916846889,0.5088495575221239,0.4230769230769231
skipgram,1,7,5,0.7847599703514611,0.5088495575221239,0.4230769230769231
svd,1,7,5,0.026366508987303583,0.5088495575221239,0.4230769230769231
cbow,1,7,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,7,6,0.01,0.5088495575221239,0.4230769230769231
svd,1,7,6,0.29763514416313175,0.5088495575221239,0.4230769230769231
cbow,1,7,7,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,7,7,100.0,0.5088495575221239,0.4230769230769231
svd,1,7,7,0.01,0.5088495575221239,0.4230769230769231
cbow,1,7,8,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,7,8,0.016237767391887217,0.5088495575221239,0.4230769230769231
svd,1,7,8,0.016237767391887217,0.5088495575221239,0.4230769230769231
cbow,1,7,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,7,9,0.29763514416313175,0.5088495575221239,0.4230769230769231
svd,1,7,9,5.455594781168514,0.5088495575221239,0.4230769230769231
cbow,1,7,10,0.4832930238571752,0.5088495575221239,0.4230769230769231
skipgram,1,7,10,0.04281332398719394,0.5088495575221239,0.4230769230769231
svd,1,7,10,0.01,0.5088495575221239,0.4230769230769231
cbow,1,8,5,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,8,5,0.01,0.5088495575221239,0.4230769230769231
svd,1,8,5,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,8,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,8,6,0.06951927961775606,0.5088495575221239,0.4230769230769231
svd,1,8,6,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,8,7,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,8,7,0.04281332398719394,0.5088495575221239,0.4230769230769231
svd,1,8,7,0.11288378916846889,0.5088495575221239,0.4230769230769231
cbow,1,8,8,5.455594781168514,0.5088495575221239,0.4230769230769231
skipgram,1,8,8,0.026366508987303583,0.5088495575221239,0.4230769230769231
svd,1,8,8,0.06951927961775606,0.5088495575221239,0.4230769230769231
cbow,1,8,9,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,8,9,23.357214690901213,0.5132743362831859,0.4230769230769231
svd,1,8,9,0.29763514416313175,0.5088495575221239,0.4230769230769231
cbow,1,8,10,0.026366508987303583,0.5088495575221239,0.4230769230769231
skipgram,1,8,10,3.359818286283781,0.5088495575221239,0.4230769230769231
svd,1,8,10,0.29763514416313175,0.5088495575221239,0.4230769230769231
cbow,2,2,5,0.06951927961775606,0.5088495575221239,0.4230769230769231
skipgram,2,2,5,0.01,0.5088495575221239,0.4230769230769231
