emb_type,m,n,best_C,train_acc,test_acc
cbow,1,2,0.01,0.5014392630972941,0.5129533678756477
skipgram,1,2,0.01,0.4985607369027058,0.5129533678756477
svd,1,2,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,2,0.06951927961775606,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,1,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,2,0.01,0.5014392630972941,0.48704663212435234
cbow,1,2,0.18329807108324356,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.01,0.4985607369027058,0.5129533678756477
svd,1,2,0.01,0.5014392630972941,0.48704663212435234
cbow,1,2,0.01,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,2,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,2,0.01,0.4985607369027058,0.5129533678756477
skipgram,1,2,0.016237767391887217,0.4985607369027058,0.5129533678756477
svd,1,2,0.01,0.5014392630972941,0.48704663212435234
cbow,1,3,0.18329807108324356,0.5440414507772021,0.5233160621761658
skipgram,1,3,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,1,3,0.01,0.5014392630972941,0.48704663212435234
cbow,1,3,0.04281332398719394,0.5613126079447323,0.533678756476684
skipgram,1,3,0.026366508987303583,0.4985607369027058,0.5129533678756477
svd,1,3,0.04281332398719394,0.5014392630972941,0.48704663212435234
cbow,1,3,0.026366508987303583,0.5014392630972941,0.5129533678756477
skipgram,1,3,0.01,0.4985607369027058,0.5129533678756477
svd,1,3,0.01,0.5014392630972941,0.48704663212435234
cbow,1,3,0.016237767391887217,0.4985607369027058,0.5129533678756477
skipgram,1,3,0.01,0.4985607369027058,0.5129533678756477
svd,1,3,0.11288378916846889,0.5014392630972941,0.48704663212435234
cbow,1,3,0.29763514416313175,0.49798503166378816,0.5129533678756477
skipgram,1,3,0.01,0.4985607369027058,0.5129533678756477
svd,1,3,0.016237767391887217,0.5014392630972941,0.48704663212435234
cbow,1,3,0.026366508987303583,0.4991364421416235,0.5129533678756477
skipgram,1,3,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,1,3,0.026366508987303583,0.5014392630972941,0.48704663212435234
cbow,1,4,0.04281332398719394,0.588370754173863,0.5595854922279793
skipgram,1,4,0.11288378916846889,0.4985607369027058,0.5129533678756477
svd,1,4,0.01,0.4985607369027058,0.5129533678756477
cbow,1,4,0.04281332398719394,0.5808865860679332,0.6113989637305699
skipgram,1,4,0.04281332398719394,0.4985607369027058,0.5129533678756477
svd,1,4,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,1,4,0.11288378916846889,0.5964306275187105,0.6113989637305699
skipgram,1,4,0.01,0.5014392630972941,0.48704663212435234
svd,1,4,0.01,0.4985607369027058,0.5129533678756477
cbow,1,4,0.026366508987303583,0.5048934945308002,0.5129533678756477
skipgram,1,4,0.016237767391887217,0.5014392630972941,0.48704663212435234
svd,1,4,0.01,0.4985607369027058,0.5129533678756477
cbow,1,4,0.06951927961775606,0.5020149683362118,0.5129533678756477
skipgram,1,4,0.29763514416313175,0.5014392630972941,0.48704663212435234
svd,1,4,0.06951927961775606,0.4985607369027058,0.5129533678756477
cbow,1,4,0.06951927961775606,0.4991364421416235,0.5129533678756477
skipgram,1,4,0.026366508987303583,0.5014392630972941,0.48704663212435234
svd,1,4,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,5,0.4832930238571752,0.5008635578583766,0.5129533678756477
skipgram,1,5,0.18329807108324356,0.5014392630972941,0.48704663212435234
svd,1,5,0.01,0.4985607369027058,0.5129533678756477
cbow,1,5,0.026366508987303583,0.5020149683362118,0.5129533678756477
skipgram,1,5,0.016237767391887217,0.5014392630972941,0.48704663212435234
svd,1,5,0.01,0.4985607369027058,0.5129533678756477
cbow,1,5,1.2742749857031335,0.5100748416810593,0.5077720207253886
skipgram,1,5,0.01,0.5014392630972941,0.48704663212435234
svd,1,5,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,5,0.11288378916846889,0.5020149683362118,0.5129533678756477
skipgram,1,5,0.01,0.5014392630972941,0.48704663212435234
svd,1,5,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,1,5,0.18329807108324356,0.4985607369027058,0.5129533678756477
skipgram,1,5,0.04281332398719394,0.5014392630972941,0.48704663212435234
svd,1,5,0.7847599703514611,0.4985607369027058,0.5129533678756477
cbow,1,5,0.7847599703514611,0.5014392630972941,0.5129533678756477
skipgram,1,5,0.11288378916846889,0.5014392630972941,0.48704663212435234
svd,1,5,0.016237767391887217,0.4985607369027058,0.5129533678756477
cbow,1,6,0.026366508987303583,0.5014392630972941,0.48704663212435234
skipgram,1,6,0.026366508987303583,0.5014392630972941,0.48704663212435234
svd,1,6,0.04281332398719394,0.4985607369027058,0.5129533678756477
cbow,1,6,5.455594781168514,0.5037420840529648,0.49222797927461137
skipgram,1,6,0.01,0.5014392630972941,0.48704663212435234
svd,1,6,0.01,0.4985607369027058,0.5129533678756477
