emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,37.92690190732246,0.19272313814667424,0.2602040816326531
cbow,1,2,2,0.06951927961775606,0.1353682813536828,0.15476190476190477
skipgram,1,2,2,0.016237767391887217,0.3278035832780358,0.2857142857142857
SVD,1,2,4,0.026366508987303583,0.20125071063104036,0.28061224489795916
cbow,1,2,4,2.06913808111479,0.19907100199071,0.20833333333333334
skipgram,1,2,4,0.11288378916846889,0.18579960185799602,0.19047619047619047
SVD,1,2,6,0.06951927961775606,0.20523024445707788,0.27040816326530615
cbow,1,2,6,0.01,0.19907100199071,0.20833333333333334
skipgram,1,2,6,0.01,0.19907100199071,0.20833333333333334
SVD,1,2,8,0.026366508987303583,0.23081296191017622,0.22448979591836735
cbow,1,2,8,0.29763514416313175,0.192435301924353,0.19047619047619047
skipgram,1,2,8,0.026366508987303583,0.19708029197080293,0.20833333333333334
SVD,1,2,10,0.026366508987303583,0.213757816941444,0.2602040816326531
cbow,1,2,10,0.04281332398719394,0.16058394160583941,0.13095238095238096
skipgram,1,2,10,8.858667904100823,0.18579960185799602,0.19642857142857142
SVD,1,3,2,5.455594781168514,0.19897669130187606,0.15816326530612246
cbow,1,3,2,0.29763514416313175,0.1838088918380889,0.18452380952380953
skipgram,1,3,2,0.18329807108324356,0.19907100199071,0.20833333333333334
SVD,1,3,4,5.455594781168514,0.21205230244457077,0.18877551020408162
cbow,1,3,4,0.7847599703514611,0.19907100199071,0.20833333333333334
skipgram,1,3,4,0.7847599703514611,0.19907100199071,0.20833333333333334
SVD,1,3,6,3.359818286283781,0.20636725412166004,0.2653061224489796
cbow,1,3,6,0.7847599703514611,0.19907100199071,0.20833333333333334
skipgram,1,3,6,2.06913808111479,0.1831453218314532,0.19047619047619047
SVD,1,3,8,3.359818286283781,0.2404775440591245,0.1989795918367347
cbow,1,3,8,2.06913808111479,0.17319177173191772,0.19642857142857142
skipgram,1,3,8,0.06951927961775606,0.19907100199071,0.20833333333333334
SVD,1,3,10,2.06913808111479,0.19897669130187606,0.2602040816326531
