emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.01,0.7953382603752132,0.8418367346938775
cbow,1,2,2,0.01,0.80092899800929,0.7916666666666666
skipgram,1,2,2,0.01,0.8015925680159257,0.7857142857142857
SVD,1,2,4,0.01,0.7953382603752132,0.8418367346938775
cbow,1,2,4,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,2,4,0.01,0.8015925680159257,0.7857142857142857
SVD,1,2,6,0.01,0.7953382603752132,0.8418367346938775
cbow,1,2,6,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,2,6,0.01,0.8015925680159257,0.7857142857142857
SVD,1,2,8,0.01,0.7947697555429221,0.8418367346938775
cbow,1,2,8,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,2,8,0.01,0.8015925680159257,0.7857142857142857
SVD,1,2,10,0.01,0.6731097214326321,0.6836734693877551
cbow,1,2,10,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,2,10,0.01,0.8015925680159257,0.7857142857142857
SVD,1,3,2,0.01,0.7953382603752132,0.8418367346938775
cbow,1,3,2,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,3,2,0.01,0.8015925680159257,0.7857142857142857
SVD,1,3,4,0.01,0.7953382603752132,0.8418367346938775
cbow,1,3,4,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,3,4,0.01,0.8015925680159257,0.7857142857142857
SVD,1,3,6,0.01,0.4980102330869812,0.5
cbow,1,3,6,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,3,6,0.01,0.8015925680159257,0.7857142857142857
SVD,1,3,8,0.01,0.40420693575895394,0.3469387755102041
cbow,1,3,8,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,3,8,0.01,0.8015925680159257,0.7857142857142857
SVD,1,3,10,0.01,0.3223422399090392,0.30612244897959184
cbow,1,3,10,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,3,10,0.01,0.8015925680159257,0.7857142857142857
SVD,1,4,2,3.359818286283781,0.24445707788516202,0.2193877551020408
cbow,1,4,2,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,4,2,0.01,0.8015925680159257,0.7857142857142857
SVD,1,4,4,0.01,0.519613416714042,0.49489795918367346
cbow,1,4,4,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,4,4,0.01,0.8015925680159257,0.7857142857142857
SVD,1,4,6,0.01,0.23877202956225127,0.20408163265306123
cbow,1,4,6,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,4,6,0.01,0.8015925680159257,0.7857142857142857
SVD,1,4,8,0.01,0.23024445707788516,0.18877551020408162
cbow,1,4,8,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,4,8,0.01,0.8015925680159257,0.7857142857142857
SVD,1,4,10,0.01,0.2222853894258101,0.16326530612244897
cbow,1,4,10,0.01,0.8015925680159257,0.7857142857142857
skipgram,1,4,10,0.01,0.8015925680159257,0.7857142857142857
SVD,1,5,2,0.01,0.2939169982944855,0.2193877551020408
cbow,1,5,2,0.01,0.8015925680159257,0.7857142857142857
