emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.01,0.5005555555555555,0.495
cbow,1,2,2,0.18329807108324356,0.5009219422249539,0.49171270718232046
skipgram,1,2,2,2.06913808111479,0.5009219422249539,0.49171270718232046
SVD,1,2,4,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,4,0.026366508987303583,0.4990780577750461,0.5082872928176796
skipgram,1,2,4,100.0,0.4130301167793485,0.425414364640884
SVD,1,2,6,0.01,0.5005555555555555,0.495
cbow,1,2,6,0.01,0.4990780577750461,0.5082872928176796
skipgram,1,2,6,0.026366508987303583,0.6465888137676705,0.6187845303867403
SVD,1,2,8,0.7847599703514611,0.5005555555555555,0.495
cbow,1,2,8,100.0,0.4990780577750461,0.5082872928176796
skipgram,1,2,8,0.01,0.4990780577750461,0.5082872928176796
SVD,1,2,10,0.7847599703514611,0.5005555555555555,0.495
cbow,1,2,10,0.01,0.49846342962507684,0.5082872928176796
skipgram,1,2,10,0.026366508987303583,0.6066379840196681,0.6795580110497238
SVD,1,3,2,1.2742749857031335,0.5016666666666667,0.495
cbow,1,3,2,0.016237767391887217,0.4975520195838433,0.521978021978022
skipgram,1,3,2,2.06913808111479,0.533047735618115,0.5439560439560439
SVD,1,3,4,0.06951927961775606,0.5005555555555555,0.495
cbow,1,3,4,0.4832930238571752,0.4975520195838433,0.521978021978022
skipgram,1,3,4,0.04281332398719394,0.5422276621787026,0.5714285714285714
SVD,1,3,6,0.01,0.4988876529477197,0.51
cbow,1,3,6,0.026366508987303583,0.4975520195838433,0.521978021978022
skipgram,1,3,6,0.11288378916846889,0.5318237454100367,0.5274725274725275
SVD,1,3,8,0.016237767391887217,0.5934371523915462,0.58
cbow,1,3,8,0.01,0.4975520195838433,0.521978021978022
skipgram,1,3,8,0.01,0.5856793145654835,0.6098901098901099
SVD,1,3,10,0.016237767391887217,0.5800889877641824,0.61
cbow,1,3,10,0.18329807108324356,0.4975520195838433,0.521978021978022
skipgram,1,3,10,0.01,0.5862913096695227,0.6153846153846154
SVD,1,4,2,0.29763514416313175,0.5011123470522804,0.515
cbow,1,4,2,8.858667904100823,0.4963235294117647,0.532967032967033
skipgram,1,4,2,0.29763514416313175,0.4963235294117647,0.532967032967033
SVD,1,4,4,0.026366508987303583,0.5022246941045606,0.515
cbow,1,4,4,0.01,0.4963235294117647,0.532967032967033
skipgram,1,4,4,0.18329807108324356,0.5036764705882353,0.46153846153846156
SVD,1,4,6,0.01,0.5817575083426029,0.56
cbow,1,4,6,0.18329807108324356,0.4963235294117647,0.532967032967033
skipgram,1,4,6,0.01,0.5422794117647058,0.4835164835164835
SVD,1,4,8,0.026366508987303583,0.5011123470522804,0.49
cbow,1,4,8,0.04281332398719394,0.4963235294117647,0.532967032967033
skipgram,1,4,8,0.01,0.5582107843137255,0.521978021978022
SVD,1,4,10,0.01,0.5011123470522804,0.49
cbow,1,4,10,3.359818286283781,0.4950980392156863,0.532967032967033
skipgram,1,4,10,0.016237767391887217,0.5931372549019608,0.5604395604395604
SVD,1,5,2,0.06951927961775606,0.49833333333333335,0.495
cbow,1,5,2,0.06951927961775606,0.49325153374233127,0.5604395604395604
skipgram,1,5,2,0.18329807108324356,0.5417177914110429,0.521978021978022
SVD,1,5,4,0.026366508987303583,0.5522222222222222,0.535
cbow,1,5,4,0.29763514416313175,0.49263803680981594,0.5604395604395604
skipgram,1,5,4,2.06913808111479,0.5300613496932516,0.4725274725274725
SVD,1,5,6,0.01,0.5127777777777778,0.52
cbow,1,5,6,0.4832930238571752,0.48895705521472393,0.5494505494505495
skipgram,1,5,6,0.04281332398719394,0.5460122699386503,0.489010989010989
SVD,1,5,8,0.01,0.49944444444444447,0.505
cbow,1,5,8,0.11288378916846889,0.4815950920245399,0.521978021978022
skipgram,1,5,8,0.016237767391887217,0.5687116564417178,0.510989010989011
SVD,1,5,10,0.29763514416313175,0.49944444444444447,0.505
cbow,1,5,10,0.7847599703514611,0.5,0.532967032967033
skipgram,1,5,10,0.01,0.5822085889570552,0.5494505494505495
SVD,1,6,2,1.2742749857031335,0.5966666666666667,0.58
cbow,1,6,2,0.18329807108324356,0.4990780577750461,0.5082872928176796
skipgram,1,6,2,0.18329807108324356,0.4990780577750461,0.5082872928176796
SVD,1,6,4,0.01,0.5072222222222222,0.495
cbow,1,6,4,0.06951927961775606,0.4990780577750461,0.5082872928176796
skipgram,1,6,4,0.7847599703514611,0.4953902888752305,0.4972375690607735
SVD,1,6,6,0.04281332398719394,0.5216666666666666,0.53
cbow,1,6,6,5.455594781168514,0.4990780577750461,0.5082872928176796
skipgram,1,6,6,0.01,0.5015365703749232,0.5082872928176796
SVD,1,6,8,0.18329807108324356,0.49944444444444447,0.505
cbow,1,6,8,0.4832930238571752,0.4990780577750461,0.5082872928176796
skipgram,1,6,8,0.01,0.49784880147510757,0.5138121546961326
SVD,1,6,10,0.026366508987303583,0.5368782161234992,0.5333333333333333
cbow,1,6,10,0.016237767391887217,0.4990780577750461,0.5082872928176796
skipgram,1,6,10,0.01,0.4990780577750461,0.5248618784530387
SVD,1,7,2,0.29763514416313175,0.5033929673041333,0.4696132596685083
