emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.29763514416313175,0.5049786628733998,0.45569620253164556
cbow,1,2,2,8.858667904100823,0.3714759535655058,0.373134328358209
skipgram,1,2,2,0.4832930238571752,0.5024875621890548,0.47761194029850745
SVD,1,2,4,0.7847599703514611,0.5305832147937412,0.569620253164557
cbow,1,2,4,0.11288378916846889,0.5174129353233831,0.5223880597014925
skipgram,1,2,4,5.455594781168514,0.4975124378109453,0.5223880597014925
SVD,1,2,6,0.06951927961775606,0.5675675675675675,0.5949367088607594
cbow,1,2,6,0.06951927961775606,0.5024875621890548,0.47761194029850745
skipgram,1,2,6,0.7847599703514611,0.5107794361525705,0.4925373134328358
SVD,1,2,8,0.4832930238571752,0.5049786628733998,0.45569620253164556
cbow,1,2,8,0.04281332398719394,0.5041459369817579,0.47761194029850745
skipgram,1,2,8,0.4832930238571752,0.5505804311774462,0.5671641791044776
SVD,1,2,10,2.06913808111479,0.5049786628733998,0.45569620253164556
cbow,1,2,10,0.18329807108324356,0.5024875621890548,0.47761194029850745
skipgram,1,2,10,0.11288378916846889,0.5290215588723052,0.4925373134328358
SVD,1,3,2,0.01,0.5049786628733998,0.45569620253164556
cbow,1,3,2,0.4832930238571752,0.5008291873963516,0.47761194029850745
skipgram,1,3,2,37.92690190732246,0.4975124378109453,0.5223880597014925
SVD,1,3,4,0.01,0.5049786628733998,0.45569620253164556
cbow,1,3,4,0.06951927961775606,0.5240464344941956,0.5373134328358209
skipgram,1,3,4,8.858667904100823,0.4975124378109453,0.5223880597014925
SVD,1,3,6,0.11288378916846889,0.5049786628733998,0.45569620253164556
cbow,1,3,6,0.18329807108324356,0.4975124378109453,0.5223880597014925
skipgram,1,3,6,0.016237767391887217,0.5439469320066335,0.5074626865671642
SVD,1,3,8,0.026366508987303583,0.5049786628733998,0.45569620253164556
cbow,1,3,8,0.016237767391887217,0.5422885572139303,0.5373134328358209
skipgram,1,3,8,0.01,0.5107794361525705,0.5373134328358209
SVD,1,3,10,0.06951927961775606,0.5049786628733998,0.45569620253164556
cbow,1,3,10,0.04281332398719394,0.4975124378109453,0.5223880597014925
skipgram,1,3,10,0.01,0.5373134328358209,0.4925373134328358
SVD,1,4,2,2.06913808111479,0.5049786628733998,0.45569620253164556
cbow,1,4,2,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,4,2,2.06913808111479,0.4975124378109453,0.5223880597014925
SVD,1,4,4,0.04281332398719394,0.5049786628733998,0.45569620253164556
cbow,1,4,4,0.7847599703514611,0.5008291873963516,0.5223880597014925
skipgram,1,4,4,0.026366508987303583,0.5124378109452736,0.5074626865671642
SVD,1,4,6,0.11288378916846889,0.5049786628733998,0.45569620253164556
cbow,1,4,6,0.04281332398719394,0.5538971807628524,0.44776119402985076
skipgram,1,4,6,0.01,0.5655058043117744,0.5223880597014925
SVD,1,4,8,5.455594781168514,0.5049786628733998,0.45569620253164556
cbow,1,4,8,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,4,8,0.06951927961775606,0.494195688225539,0.5373134328358209
SVD,1,4,10,0.01,0.5049786628733998,0.45569620253164556
cbow,1,4,10,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,4,10,0.04281332398719394,0.49585406301824214,0.5223880597014925
SVD,1,5,2,14.38449888287663,0.5049786628733998,0.45569620253164556
cbow,1,5,2,0.7847599703514611,0.4975124378109453,0.5223880597014925
skipgram,1,5,2,0.7847599703514611,0.4975124378109453,0.5223880597014925
SVD,1,5,4,0.4832930238571752,0.5049786628733998,0.45569620253164556
cbow,1,5,4,0.01,0.49087893864013266,0.4925373134328358
skipgram,1,5,4,0.18329807108324356,0.4975124378109453,0.5223880597014925
SVD,1,5,6,5.455594781168514,0.6102418207681366,0.5443037974683544
cbow,1,5,6,0.016237767391887217,0.4975124378109453,0.5223880597014925
skipgram,1,5,6,0.016237767391887217,0.5290215588723052,0.5373134328358209
SVD,1,5,8,0.29763514416313175,0.5049786628733998,0.45569620253164556
cbow,1,5,8,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,5,8,0.7847599703514611,0.4975124378109453,0.5223880597014925
SVD,1,5,10,14.38449888287663,0.5049786628733998,0.45569620253164556
cbow,1,5,10,0.06951927961775606,0.4975124378109453,0.5223880597014925
skipgram,1,5,10,0.01,0.4975124378109453,0.5223880597014925
SVD,1,6,2,0.04281332398719394,0.5049786628733998,0.45569620253164556
cbow,1,6,2,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,6,2,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,6,4,0.29763514416313175,0.5078236130867709,0.45569620253164556
cbow,1,6,4,0.06951927961775606,0.4975124378109453,0.5223880597014925
skipgram,1,6,4,0.29763514416313175,0.5024875621890548,0.47761194029850745
SVD,1,6,6,0.4832930238571752,0.5049786628733998,0.45569620253164556
cbow,1,6,6,0.016237767391887217,0.4975124378109453,0.5223880597014925
skipgram,1,6,6,0.01,0.49917081260364843,0.5223880597014925
SVD,1,6,8,0.29763514416313175,0.5049786628733998,0.45569620253164556
cbow,1,6,8,0.06951927961775606,0.4975124378109453,0.5223880597014925
skipgram,1,6,8,0.04281332398719394,0.4975124378109453,0.5223880597014925
SVD,1,6,10,2.06913808111479,0.5049786628733998,0.45569620253164556
cbow,1,6,10,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,6,10,0.11288378916846889,0.4975124378109453,0.5223880597014925
SVD,1,7,2,0.29763514416313175,0.5049786628733998,0.45569620253164556
cbow,1,7,2,0.18329807108324356,0.4975124378109453,0.5223880597014925
skipgram,1,7,2,2.06913808111479,0.4975124378109453,0.5223880597014925
SVD,1,7,4,0.04281332398719394,0.5049786628733998,0.45569620253164556
cbow,1,7,4,0.29763514416313175,0.4975124378109453,0.5223880597014925
skipgram,1,7,4,0.01,0.4975124378109453,0.4925373134328358
SVD,1,7,6,0.7847599703514611,0.5049786628733998,0.45569620253164556
cbow,1,7,6,0.4832930238571752,0.4975124378109453,0.5223880597014925
skipgram,1,7,6,3.359818286283781,0.4975124378109453,0.5223880597014925
SVD,1,7,8,0.4832930238571752,0.49714285714285716,0.5256410256410257
cbow,1,7,8,0.4832930238571752,0.4975124378109453,0.5223880597014925
skipgram,1,7,8,0.06951927961775606,0.4975124378109453,0.5223880597014925
SVD,1,7,10,0.4832930238571752,0.5008375209380235,0.4925373134328358
cbow,1,7,10,0.01,0.4975124378109453,0.5223880597014925
skipgram,1,7,10,0.04281332398719394,0.4975124378109453,0.5223880597014925
SVD,1,8,2,0.01,0.49747899159663866,0.5223880597014925
cbow,1,8,2,0.7847599703514611,0.49585406301824214,0.4925373134328358
skipgram,1,8,2,0.7847599703514611,0.4975124378109453,0.5223880597014925
SVD,1,8,4,0.016237767391887217,0.49747899159663866,0.5223880597014925
cbow,1,8,4,0.016237767391887217,0.4975124378109453,0.5223880597014925
skipgram,1,8,4,0.01,0.48756218905472637,0.5223880597014925
SVD,1,8,6,0.7847599703514611,0.49747899159663866,0.5223880597014925
cbow,1,8,6,0.016237767391887217,0.4975124378109453,0.5223880597014925
skipgram,1,8,6,0.016237767391887217,0.4975124378109453,0.5223880597014925
SVD,1,8,8,5.455594781168514,0.49747899159663866,0.5223880597014925
cbow,1,8,8,0.18329807108324356,0.4975124378109453,0.5223880597014925
skipgram,1,8,8,0.11288378916846889,0.4975124378109453,0.5223880597014925
SVD,1,8,10,8.858667904100823,0.49747899159663866,0.5223880597014925
cbow,1,8,10,0.04281332398719394,0.4975124378109453,0.5223880597014925
skipgram,1,8,10,3.359818286283781,0.4975124378109453,0.5223880597014925
SVD,2,2,2,2.06913808111479,0.5008375209380235,0.4925373134328358
cbow,2,2,2,0.11288378916846889,0.5024875621890548,0.47761194029850745
skipgram,2,2,2,8.858667904100823,0.5024875621890548,0.47761194029850745
SVD,2,2,4,0.026366508987303583,0.5142378559463987,0.4626865671641791
cbow,2,2,4,0.18329807108324356,0.5024875621890548,0.47761194029850745
skipgram,2,2,4,8.858667904100823,0.5024875621890548,0.47761194029850745
SVD,2,2,6,0.7847599703514611,0.49748743718592964,0.5074626865671642
cbow,2,2,6,0.4832930238571752,0.5024875621890548,0.47761194029850745
skipgram,2,2,6,0.04281332398719394,0.5024875621890548,0.47761194029850745
SVD,2,2,8,0.01,0.5008375209380235,0.4925373134328358
cbow,2,2,8,1.2742749857031335,0.4975124378109453,0.5223880597014925
skipgram,2,2,8,0.06951927961775606,0.4975124378109453,0.5373134328358209
SVD,2,2,10,1.2742749857031335,0.5008375209380235,0.4925373134328358
cbow,2,2,10,8.858667904100823,0.4975124378109453,0.5223880597014925
skipgram,2,2,10,14.38449888287663,0.548922056384743,0.5223880597014925
SVD,2,3,2,23.357214690901213,0.5008375209380235,0.4925373134328358
cbow,2,3,2,0.7847599703514611,0.5024875621890548,0.47761194029850745
skipgram,2,3,2,14.38449888287663,0.5024875621890548,0.47761194029850745
