emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,14.38449888287663,0.5071225071225072,0.4358974358974359
cbow,1,2,2,0.7847599703514611,0.4928774928774929,0.5641025641025641
skipgram,1,2,2,0.016237767391887217,0.7601139601139602,0.8102564102564103
SVD,1,2,4,0.01,0.5071225071225072,0.4358974358974359
cbow,1,2,4,0.01,0.5071225071225072,0.4358974358974359
skipgram,1,2,4,0.11288378916846889,0.505982905982906,0.4256410256410256
SVD,1,2,6,0.11288378916846889,0.5071225071225072,0.4358974358974359
cbow,1,2,6,0.4832930238571752,0.505982905982906,0.4564102564102564
skipgram,1,2,6,0.06951927961775606,0.5071225071225072,0.4358974358974359
SVD,1,2,8,0.026366508987303583,0.5071225071225072,0.4358974358974359
cbow,1,2,8,0.01,0.5259259259259259,0.48205128205128206
skipgram,1,2,8,0.01,0.5128205128205128,0.441025641025641
SVD,1,2,10,0.11288378916846889,0.5071225071225072,0.4358974358974359
cbow,1,2,10,0.01,0.4478632478632479,0.40512820512820513
skipgram,1,2,10,0.4832930238571752,0.5076923076923077,0.4358974358974359
SVD,1,3,2,0.01,0.5071225071225072,0.4358974358974359
cbow,1,3,2,23.357214690901213,0.5071225071225072,0.4358974358974359
skipgram,1,3,2,2.06913808111479,0.5612535612535613,0.6051282051282051
SVD,1,3,4,23.357214690901213,0.5071225071225072,0.4358974358974359
cbow,1,3,4,0.29763514416313175,0.4928774928774929,0.5641025641025641
skipgram,1,3,4,0.4832930238571752,0.7339031339031339,0.7589743589743589
SVD,1,3,6,61.584821106602604,0.5071225071225072,0.4358974358974359
cbow,1,3,6,5.455594781168514,0.4928774928774929,0.5641025641025641
skipgram,1,3,6,0.11288378916846889,0.4928774928774929,0.5641025641025641
SVD,1,3,8,3.359818286283781,0.5071225071225072,0.4358974358974359
cbow,1,3,8,0.18329807108324356,0.4928774928774929,0.5641025641025641
skipgram,1,3,8,0.4832930238571752,0.4928774928774929,0.5641025641025641
SVD,1,3,10,61.584821106602604,0.5071225071225072,0.4358974358974359
cbow,1,3,10,8.858667904100823,0.4928774928774929,0.5641025641025641
skipgram,1,3,10,0.11288378916846889,0.4928774928774929,0.5641025641025641
SVD,1,4,2,37.92690190732246,0.5071225071225072,0.4358974358974359
cbow,1,4,2,0.7847599703514611,0.5082621082621083,0.4358974358974359
skipgram,1,4,2,2.06913808111479,0.5071225071225072,0.4512820512820513
SVD,1,4,4,8.858667904100823,0.5071225071225072,0.4358974358974359
cbow,1,4,4,0.06951927961775606,0.4928774928774929,0.5641025641025641
skipgram,1,4,4,1.2742749857031335,0.4928774928774929,0.5641025641025641
SVD,1,4,6,3.359818286283781,0.5071225071225072,0.4358974358974359
cbow,1,4,6,2.06913808111479,0.4928774928774929,0.5641025641025641
skipgram,1,4,6,0.18329807108324356,0.4928774928774929,0.5641025641025641
SVD,1,4,8,0.11288378916846889,0.5071225071225072,0.4358974358974359
cbow,1,4,8,37.92690190732246,0.4928774928774929,0.5641025641025641
skipgram,1,4,8,0.01,0.4928774928774929,0.5641025641025641
SVD,1,4,10,8.858667904100823,0.5071225071225072,0.4358974358974359
cbow,1,4,10,0.18329807108324356,0.4928774928774929,0.5641025641025641
skipgram,1,4,10,0.06951927961775606,0.4928774928774929,0.5641025641025641
SVD,1,5,2,0.7847599703514611,0.5071225071225072,0.4358974358974359
cbow,1,5,2,0.29763514416313175,0.8056980056980056,0.8102564102564103
skipgram,1,5,2,14.38449888287663,0.611965811965812,0.676923076923077
SVD,1,5,4,14.38449888287663,0.5071225071225072,0.4358974358974359
cbow,1,5,4,1.2742749857031335,0.4928774928774929,0.5641025641025641
