emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.7847599703514611,0.5,0.5
cbow,1,2,2,1.2742749857031335,0.5,0.46710526315789475
skipgram,1,2,2,14.38449888287663,0.49633967789165445,0.5328947368421053
SVD,1,2,4,0.7847599703514611,0.5,0.5
cbow,1,2,4,23.357214690901213,0.4546120058565154,0.47368421052631576
skipgram,1,2,4,23.357214690901213,0.4633967789165447,0.5
SVD,1,2,6,2.06913808111479,0.4174174174174174,0.41216216216216217
cbow,1,2,6,0.06951927961775606,0.49633967789165445,0.5328947368421053
skipgram,1,2,6,0.016237767391887217,0.49633967789165445,0.5328947368421053
SVD,1,2,8,0.7847599703514611,0.4767267267267267,0.5405405405405406
cbow,1,2,8,0.7847599703514611,0.49633967789165445,0.5328947368421053
skipgram,1,2,8,0.016237767391887217,0.49633967789165445,0.5328947368421053
SVD,1,2,10,0.04281332398719394,0.5765765765765766,0.5135135135135135
cbow,1,2,10,0.01,0.49633967789165445,0.5328947368421053
skipgram,1,2,10,0.18329807108324356,0.49633967789165445,0.5328947368421053
SVD,1,3,2,23.357214690901213,0.40902777777777777,0.49375
cbow,1,3,2,0.11288378916846889,0.4969532836831415,0.5272727272727272
skipgram,1,3,2,2.06913808111479,0.4969532836831415,0.5272727272727272
SVD,1,3,4,1.2742749857031335,0.6361111111111111,0.69375
cbow,1,3,4,5.455594781168514,0.4969532836831415,0.5272727272727272
skipgram,1,3,4,0.4832930238571752,0.4969532836831415,0.5272727272727272
SVD,1,3,6,0.026366508987303583,0.5090277777777777,0.41875
cbow,1,3,6,0.18329807108324356,0.4969532836831415,0.5272727272727272
skipgram,1,3,6,0.18329807108324356,0.4969532836831415,0.5272727272727272
SVD,1,3,8,0.04281332398719394,0.6486111111111111,0.675
cbow,1,3,8,1.2742749857031335,0.4969532836831415,0.5272727272727272
skipgram,1,3,8,0.01,0.4969532836831415,0.5272727272727272
SVD,1,3,10,0.016237767391887217,0.6423611111111112,0.69375
cbow,1,3,10,0.7847599703514611,0.4969532836831415,0.5272727272727272
skipgram,1,3,10,0.11288378916846889,0.4969532836831415,0.5272727272727272
SVD,1,4,2,3.359818286283781,0.4959785522788204,0.5421686746987951
cbow,1,4,2,3.359818286283781,0.5009914077990747,0.4911242603550296
skipgram,1,4,2,5.455594781168514,0.47058823529411764,0.47337278106508873
SVD,1,4,4,0.01,0.5060321715817694,0.45180722891566266
cbow,1,4,4,3.359818286283781,0.5009914077990747,0.4911242603550296
skipgram,1,4,4,0.29763514416313175,0.5009914077990747,0.4911242603550296
SVD,1,4,6,0.01,0.5817694369973191,0.6144578313253012
cbow,1,4,6,0.06951927961775606,0.5009914077990747,0.4911242603550296
skipgram,1,4,6,0.4832930238571752,0.4871116986120291,0.4911242603550296
SVD,1,4,8,8.858667904100823,0.4953083109919571,0.5421686746987951
cbow,1,4,8,0.06951927961775606,0.5009914077990747,0.4911242603550296
skipgram,1,4,8,0.11288378916846889,0.5009914077990747,0.4911242603550296
SVD,1,4,10,1.2742749857031335,0.4953083109919571,0.5421686746987951
cbow,1,4,10,0.11288378916846889,0.43291473892927956,0.378698224852071
skipgram,1,4,10,0.026366508987303583,0.5009914077990747,0.4911242603550296
SVD,1,5,2,0.11288378916846889,0.5090673575129534,0.5174418604651163
cbow,1,5,2,0.29763514416313175,0.5022307202039515,0.48
skipgram,1,5,2,5.455594781168514,0.46908859145952836,0.4514285714285714
