emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.4832930238571752,0.1955649917433357,0.2356687898089172
skipgram,1,2,2,0.29763514416313175,0.20500117952347252,0.16985138004246284
svd,1,2,2,0.29763514416313175,0.20260047281323876,0.17659574468085107
cbow,1,2,4,0.11288378916846889,0.20287803727294174,0.17197452229299362
skipgram,1,2,4,8.858667904100823,0.18141071007313045,0.20382165605095542
svd,1,2,4,0.06951927961775606,0.20094562647754138,0.19148936170212766
cbow,1,2,6,8.858667904100823,0.20169851380042464,0.17197452229299362
skipgram,1,2,6,100.0,0.12101910828025478,0.14012738853503184
svd,1,2,6,0.11288378916846889,0.19574468085106383,0.23829787234042554
cbow,1,2,8,100.0,0.14791224345364473,0.13800424628450106
skipgram,1,2,8,14.38449888287663,0.1955649917433357,0.23779193205944799
svd,1,2,8,0.01,0.19574468085106383,0.23829787234042554
cbow,1,2,10,37.92690190732246,0.18825194621372965,0.16985138004246284
skipgram,1,2,10,100.0,0.19603680113234254,0.22717622080679406
svd,1,2,10,0.7847599703514611,0.19574468085106383,0.23829787234042554
cbow,1,3,2,1.2742749857031335,0.19608767381569644,0.23516949152542374
skipgram,1,3,2,0.01,0.20174404902191845,0.1843220338983051
svd,1,3,2,0.4832930238571752,0.19574468085106383,0.23829787234042554
cbow,1,3,4,14.38449888287663,0.20174404902191845,0.1843220338983051
skipgram,1,3,4,2.06913808111479,0.19703040301673344,0.2097457627118644
svd,1,3,4,1.2742749857031335,0.19574468085106383,0.23829787234042554
cbow,1,3,6,100.0,0.2015083667216592,0.1843220338983051
skipgram,1,3,6,61.584821106602604,0.19420221541362243,0.23516949152542374
svd,1,3,6,1.2742749857031335,0.19574468085106383,0.23829787234042554
cbow,1,3,8,37.92690190732246,0.1991515437190667,0.17584745762711865
skipgram,1,3,8,0.18329807108324356,0.19443789771388167,0.2330508474576271
svd,1,3,8,5.455594781168514,0.19030732860520094,0.22127659574468084
cbow,1,3,10,14.38449888287663,0.18807447560688192,0.17584745762711865
skipgram,1,3,10,100.0,0.1557860004713646,0.19279661016949154
svd,1,3,10,0.11288378916846889,0.16761229314420803,0.19361702127659575
cbow,1,4,2,37.92690190732246,0.16757011548432713,0.17372881355932204
skipgram,1,4,2,61.584821106602604,0.2024510959226962,0.1843220338983051
svd,1,4,2,0.7847599703514611,0.19574468085106383,0.23829787234042554
cbow,1,4,4,0.29763514416313175,0.11760546782936601,0.13135593220338984
skipgram,1,4,4,37.92690190732246,0.20598633042658496,0.2478813559322034
svd,1,4,4,0.06951927961775606,0.19574468085106383,0.23829787234042554
cbow,1,4,6,23.357214690901213,0.1753476313928824,0.21822033898305085
skipgram,1,4,6,14.38449888287663,0.1949092623144002,0.23516949152542374
svd,1,4,6,8.858667904100823,0.1933806146572104,0.19574468085106383
cbow,1,4,8,0.7847599703514611,0.1491868960641056,0.15254237288135594
skipgram,1,4,8,3.359818286283781,0.18241810040065992,0.2266949152542373
svd,1,4,8,5.455594781168514,0.20189125295508276,0.1829787234042553
cbow,1,4,10,0.29763514416313175,0.20174404902191845,0.1843220338983051
skipgram,1,4,10,8.858667904100823,0.1949092623144002,0.2266949152542373
svd,1,4,10,0.11288378916846889,0.20189125295508276,0.1829787234042553
cbow,1,5,2,0.18329807108324356,0.2014626091059212,0.18683651804670912
skipgram,1,5,2,3.359818286283781,0.2531257372021703,0.2526539278131635
svd,1,5,2,1.2742749857031335,0.20141843971631207,0.19361702127659575
cbow,1,5,4,100.0,0.17008728473696627,0.17197452229299362
skipgram,1,5,4,23.357214690901213,0.19863175277188017,0.24628450106157113
svd,1,5,4,2.06913808111479,0.20189125295508276,0.1829787234042553
cbow,1,5,6,5.455594781168514,0.16183062042934654,0.16348195329087048
skipgram,1,5,6,23.357214690901213,0.19273413540929465,0.22717622080679406
svd,1,5,6,61.584821106602604,0.20189125295508276,0.1829787234042553
cbow,1,5,8,5.455594781168514,0.15947157348431235,0.18046709129511676
skipgram,1,5,8,2.06913808111479,0.19532908704883228,0.2356687898089172
svd,1,5,8,8.858667904100823,0.20189125295508276,0.1829787234042553
cbow,1,5,10,5.455594781168514,0.1863647086577023,0.16560509554140126
skipgram,1,5,10,8.858667904100823,0.19179051663128097,0.16348195329087048
svd,1,5,10,3.359818286283781,0.20189125295508276,0.1829787234042553
cbow,1,6,2,0.4832930238571752,0.20169851380042464,0.18683651804670912
skipgram,1,6,2,3.359818286283781,0.2024062278839349,0.18895966029723993
svd,1,6,2,5.455594781168514,0.20189125295508276,0.1829787234042553
cbow,1,6,4,14.38449888287663,0.18518518518518517,0.21231422505307856
skipgram,1,6,4,0.7847599703514611,0.2217504128332154,0.24203821656050956
svd,1,6,4,0.11288378916846889,0.20189125295508276,0.1829787234042553
cbow,1,6,6,14.38449888287663,0.15970747817881575,0.19957537154989385
skipgram,1,6,6,0.7847599703514611,0.19061099315876387,0.22929936305732485
svd,1,6,6,0.18329807108324356,0.20189125295508276,0.1829787234042553
cbow,1,6,8,8.858667904100823,0.18612880396319886,0.16348195329087048
skipgram,1,6,8,2.06913808111479,0.25359754659117717,0.2760084925690021
svd,1,6,8,5.455594781168514,0.20189125295508276,0.1829787234042553
