emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.18329807108324356,0.7952347251710309,0.7579617834394905
skipgram,1,2,2,100.0,0.8039631988676574,0.7643312101910829
svd,1,2,2,0.18329807108324356,0.7815602836879433,0.7468085106382979
cbow,1,2,4,0.01,0.7980655815050719,0.8174097664543525
skipgram,1,2,4,0.01,0.7968860580325549,0.8280254777070064
svd,1,2,4,0.04281332398719394,0.8042553191489362,0.7617021276595745
cbow,1,2,6,0.01,0.7980655815050719,0.8174097664543525
skipgram,1,2,6,0.01,0.7968860580325549,0.8280254777070064
svd,1,2,6,0.18329807108324356,0.7973995271867612,0.823404255319149
cbow,1,2,8,0.01,0.7968860580325549,0.8280254777070064
skipgram,1,2,8,0.01,0.7968860580325549,0.8280254777070064
svd,1,2,8,0.01,0.7973995271867612,0.823404255319149
cbow,1,2,10,0.01,0.7968860580325549,0.8280254777070064
skipgram,1,2,10,0.01,0.7968860580325549,0.8280254777070064
svd,1,2,10,1.2742749857031335,0.7981087470449173,0.8170212765957446
cbow,1,3,2,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,3,2,14.38449888287663,0.8003770916804148,0.7966101694915254
svd,1,3,2,0.04281332398719394,0.8009456264775414,0.8297872340425532
cbow,1,3,4,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,3,4,0.01,0.8003770916804148,0.7966101694915254
svd,1,3,4,0.01,0.7981087470449173,0.8170212765957446
cbow,1,3,6,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,3,6,0.01,0.8003770916804148,0.7966101694915254
svd,1,3,6,0.016237767391887217,0.7981087470449173,0.8170212765957446
cbow,1,3,8,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,3,8,0.01,0.8003770916804148,0.7966101694915254
svd,1,3,8,0.01,0.7872340425531915,0.8063829787234043
cbow,1,3,10,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,3,10,0.01,0.8003770916804148,0.7966101694915254
svd,1,3,10,0.01,0.7359338061465721,0.7531914893617021
cbow,1,4,2,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,4,2,3.359818286283781,0.8003770916804148,0.7966101694915254
svd,1,4,2,0.01,0.5950354609929078,0.5723404255319149
cbow,1,4,4,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,4,4,0.01,0.8003770916804148,0.7966101694915254
svd,1,4,4,0.026366508987303583,0.5,0.5148936170212766
cbow,1,4,6,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,4,6,0.01,0.8003770916804148,0.7966101694915254
svd,1,4,6,0.01,0.4049645390070922,0.3723404255319149
cbow,1,4,8,0.01,0.8003770916804148,0.7966101694915254
skipgram,1,4,8,0.01,0.8003770916804148,0.7966101694915254
svd,1,4,8,0.01,0.3382978723404255,0.33191489361702126
cbow,1,4,10,0.026366508987303583,0.772330897949564,0.7648305084745762
skipgram,1,4,10,0.01,0.8003770916804148,0.7966101694915254
svd,1,4,10,0.01,0.28699763593380617,0.26382978723404255
cbow,1,5,2,0.01,0.7968860580325549,0.8280254777070064
skipgram,1,5,2,0.29763514416313175,0.7968860580325549,0.8280254777070064
svd,1,5,2,0.01,0.21347517730496454,0.2
cbow,1,5,4,0.01,0.7968860580325549,0.8280254777070064
skipgram,1,5,4,0.01,0.7968860580325549,0.8280254777070064
svd,1,5,4,0.01,0.23782505910165486,0.2404255319148936
cbow,1,5,6,0.01,0.782967681056853,0.8110403397027601
skipgram,1,5,6,0.01,0.7968860580325549,0.8280254777070064
svd,1,5,6,0.016237767391887217,0.25011820330969264,0.23617021276595745
cbow,1,5,8,0.01,0.7466383581033262,0.7770700636942676
skipgram,1,5,8,0.01,0.7968860580325549,0.8280254777070064
svd,1,5,8,0.016237767391887217,0.22789598108747045,0.22127659574468084
cbow,1,5,10,8.858667904100823,0.6853031375324369,0.7154989384288747
skipgram,1,5,10,0.01,0.7968860580325549,0.8280254777070064
svd,1,5,10,0.01,0.22174940898345152,0.20851063829787234
cbow,1,6,2,1.2742749857031335,0.5581505071950932,0.5732484076433121
skipgram,1,6,2,2.06913808111479,0.7968860580325549,0.8280254777070064
svd,1,6,2,0.18329807108324356,0.20260047281323876,0.1851063829787234
cbow,1,6,4,0.01,0.7968860580325549,0.8280254777070064
skipgram,1,6,4,0.01,0.7968860580325549,0.8280254777070064
svd,1,6,4,0.01,0.23569739952718677,0.20212765957446807
cbow,1,6,6,0.01,0.7869780608634112,0.8195329087048833
skipgram,1,6,6,0.01,0.7968860580325549,0.8280254777070064
svd,1,6,6,0.01,0.22316784869976358,0.21914893617021278
cbow,1,6,8,0.11288378916846889,0.6895494220334984,0.692144373673036
skipgram,1,6,8,0.01,0.7968860580325549,0.8280254777070064
svd,1,6,8,0.01,0.20969267139479905,0.19361702127659575
cbow,1,6,10,0.18329807108324356,0.5588582212786034,0.5605095541401274
skipgram,1,6,10,0.01,0.796414248643548,0.8280254777070064
svd,1,6,10,0.01,0.2049645390070922,0.19148936170212766
cbow,1,7,2,0.4832930238571752,0.6411889596602972,0.6709129511677282
skipgram,1,7,2,1.2742749857031335,0.7968860580325549,0.8280254777070064
svd,1,7,2,0.18329807108324356,0.2028368794326241,0.1829787234042553
cbow,1,7,4,0.01,0.7968860580325549,0.8280254777070064
skipgram,1,7,4,0.01,0.7968860580325549,0.8280254777070064
svd,1,7,4,0.026366508987303583,0.24349881796690306,0.23404255319148937
cbow,1,7,6,0.18329807108324356,0.721868365180467,0.7643312101910829
