emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,14.38449888287663,0.487905604719764,0.5185185185185185
skipgram,1,2,2,0.7847599703514611,0.49734513274336284,0.5238095238095238
svd,1,2,2,0.026366508987303583,0.4958628841607565,0.5372340425531915
cbow,1,2,4,61.584821106602604,0.5002949852507375,0.4708994708994709
skipgram,1,2,4,8.858667904100823,0.4920353982300885,0.455026455026455
svd,1,2,4,0.01,0.4958628841607565,0.5372340425531915
cbow,1,2,6,37.92690190732246,0.4294985250737463,0.3915343915343915
skipgram,1,2,6,14.38449888287663,0.49852507374631266,0.4603174603174603
svd,1,2,6,0.11288378916846889,0.5041371158392435,0.4627659574468085
cbow,1,2,8,37.92690190732246,0.2837758112094395,0.26455026455026454
skipgram,1,2,8,0.29763514416313175,0.5026548672566372,0.47619047619047616
svd,1,2,8,0.11288378916846889,0.5041371158392435,0.4627659574468085
cbow,1,2,10,100.0,0.35221238938053095,0.35978835978835977
skipgram,1,2,10,0.29763514416313175,0.5026548672566372,0.47619047619047616
svd,1,2,10,8.858667904100823,0.5041371158392435,0.4627659574468085
cbow,1,3,2,0.7847599703514611,0.48497348261638185,0.48677248677248675
skipgram,1,3,2,2.06913808111479,0.4991160872127283,0.5079365079365079
svd,1,3,2,0.01,0.5041371158392435,0.4627659574468085
cbow,1,3,4,0.18329807108324356,0.4991160872127283,0.5079365079365079
skipgram,1,3,4,8.858667904100823,0.4991160872127283,0.5079365079365079
svd,1,3,4,0.026366508987303583,0.5041371158392435,0.4627659574468085
cbow,1,3,6,5.455594781168514,0.48025928108426635,0.4603174603174603
skipgram,1,3,6,37.92690190732246,0.4920447849145551,0.5079365079365079
svd,1,3,6,0.01,0.5041371158392435,0.4627659574468085
cbow,1,3,8,61.584821106602604,0.40836770771950504,0.3544973544973545
skipgram,1,3,8,3.359818286283781,0.48968768414849734,0.5026455026455027
svd,1,3,8,0.06951927961775606,0.5041371158392435,0.4627659574468085
cbow,1,3,10,8.858667904100823,0.41249263406010606,0.4074074074074074
skipgram,1,3,10,14.38449888287663,0.48320565704183854,0.49206349206349204
svd,1,3,10,0.4832930238571752,0.49527186761229314,0.5425531914893617
cbow,1,4,2,5.455594781168514,0.4997053624042428,0.48677248677248675
skipgram,1,4,2,1.2742749857031335,0.4991160872127283,0.5079365079365079
svd,1,4,2,0.01,0.5041371158392435,0.4627659574468085
cbow,1,4,4,2.06913808111479,0.5050088391278728,0.48677248677248675
skipgram,1,4,4,5.455594781168514,0.4979375368296995,0.5079365079365079
svd,1,4,4,0.026366508987303583,0.5041371158392435,0.4627659574468085
cbow,1,4,6,3.359818286283781,0.4991160872127283,0.5079365079365079
skipgram,1,4,6,3.359818286283781,0.4938126104890984,0.5026455026455027
svd,1,4,6,14.38449888287663,0.4946808510638298,0.5372340425531915
cbow,1,4,8,0.01,0.4991160872127283,0.5079365079365079
skipgram,1,4,8,23.357214690901213,0.48497348261638185,0.49206349206349204
svd,1,4,8,0.06951927961775606,0.4958628841607565,0.5372340425531915
cbow,1,4,10,0.06951927961775606,0.4991160872127283,0.5079365079365079
skipgram,1,4,10,3.359818286283781,0.48438420742486743,0.48677248677248675
svd,1,4,10,0.4832930238571752,0.4958628841607565,0.5372340425531915
cbow,1,5,2,23.357214690901213,0.5002949852507375,0.5343915343915344
skipgram,1,5,2,0.04281332398719394,0.5026548672566372,0.47619047619047616
svd,1,5,2,0.01,0.5224586288416075,0.48936170212765956
cbow,1,5,4,0.026366508987303583,0.5026548672566372,0.47619047619047616
skipgram,1,5,4,8.858667904100823,0.4790560471976401,0.42328042328042326
svd,1,5,4,1.2742749857031335,0.49704491725768324,0.5372340425531915
