emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,2,2,2.06913808111479,0.5005555555555555,0.495
svd,1,2,2,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,4,0.18329807108324356,0.425,0.47
skipgram,1,2,4,0.01,0.49944444444444447,0.505
svd,1,2,4,0.4832930238571752,0.49944444444444447,0.505
cbow,1,2,6,3.359818286283781,0.5005555555555555,0.495
skipgram,1,2,6,3.359818286283781,0.49722222222222223,0.505
svd,1,2,6,0.11288378916846889,0.49944444444444447,0.505
cbow,1,2,8,8.858667904100823,0.5005555555555555,0.495
skipgram,1,2,8,1.2742749857031335,0.49833333333333335,0.505
svd,1,2,8,0.18329807108324356,0.49944444444444447,0.505
cbow,1,2,10,3.359818286283781,0.5005555555555555,0.495
skipgram,1,2,10,3.359818286283781,0.49944444444444447,0.505
svd,1,2,10,3.359818286283781,0.5061111111111111,0.495
cbow,1,3,2,0.06951927961775606,0.49944444444444447,0.505
skipgram,1,3,2,0.7847599703514611,0.49944444444444447,0.505
svd,1,3,2,0.026366508987303583,0.49944444444444447,0.505
cbow,1,3,4,0.29763514416313175,0.5027777777777778,0.495
skipgram,1,3,4,0.7847599703514611,0.5433333333333333,0.53
svd,1,3,4,0.016237767391887217,0.51,0.51
cbow,1,3,6,61.584821106602604,0.5005555555555555,0.495
skipgram,1,3,6,3.359818286283781,0.4938888888888889,0.49
svd,1,3,6,14.38449888287663,0.5183333333333333,0.54
cbow,1,3,8,61.584821106602604,0.5005555555555555,0.495
skipgram,1,3,8,8.858667904100823,0.49277777777777776,0.485
svd,1,3,8,0.026366508987303583,0.49944444444444447,0.505
cbow,1,3,10,8.858667904100823,0.5005555555555555,0.495
skipgram,1,3,10,23.357214690901213,0.49722222222222223,0.505
svd,1,3,10,0.01,0.49944444444444447,0.505
cbow,1,4,2,0.18329807108324356,0.49944444444444447,0.505
skipgram,1,4,2,5.455594781168514,0.49944444444444447,0.505
svd,1,4,2,0.4832930238571752,0.49944444444444447,0.505
cbow,1,4,4,37.92690190732246,0.5016666666666667,0.5
skipgram,1,4,4,0.11288378916846889,0.5461111111111111,0.575
svd,1,4,4,0.016237767391887217,0.49944444444444447,0.505
cbow,1,4,6,3.359818286283781,0.4538888888888889,0.465
skipgram,1,4,6,0.11288378916846889,0.49444444444444446,0.49
svd,1,4,6,0.016237767391887217,0.49944444444444447,0.505
cbow,1,4,8,3.359818286283781,0.4638888888888889,0.465
skipgram,1,4,8,3.359818286283781,0.48277777777777775,0.49
svd,1,4,8,0.01,0.49944444444444447,0.505
cbow,1,4,10,0.29763514416313175,0.4888888888888889,0.5
skipgram,1,4,10,2.06913808111479,0.49666666666666665,0.505
svd,1,4,10,0.016237767391887217,0.49944444444444447,0.505
cbow,1,5,2,0.06951927961775606,0.49944444444444447,0.505
skipgram,1,5,2,0.01,0.6127777777777778,0.56
