emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,2,2,0.01,0.49944444444444447,0.505
svd,1,2,2,0.01,0.5005555555555555,0.495
cbow,1,2,4,0.04281332398719394,0.49944444444444447,0.505
skipgram,1,2,4,0.01,0.49944444444444447,0.505
svd,1,2,4,0.04281332398719394,0.49944444444444447,0.505
cbow,1,2,6,5.455594781168514,0.49944444444444447,0.505
skipgram,1,2,6,1.2742749857031335,0.49944444444444447,0.505
svd,1,2,6,0.18329807108324356,0.495,0.5
cbow,1,2,8,8.858667904100823,0.49944444444444447,0.505
skipgram,1,2,8,14.38449888287663,0.49944444444444447,0.505
svd,1,2,8,0.29763514416313175,0.48833333333333334,0.485
cbow,1,2,10,5.455594781168514,0.49944444444444447,0.505
skipgram,1,2,10,37.92690190732246,0.49944444444444447,0.505
svd,1,2,10,0.4832930238571752,0.49944444444444447,0.505
cbow,1,3,2,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,3,2,1.2742749857031335,0.49944444444444447,0.505
svd,1,3,2,8.858667904100823,0.5005555555555555,0.495
cbow,1,3,4,3.359818286283781,0.6427777777777778,0.68
skipgram,1,3,4,2.06913808111479,0.49944444444444447,0.505
svd,1,3,4,0.01,0.5005555555555555,0.495
cbow,1,3,6,3.359818286283781,0.7688888888888888,0.81
skipgram,1,3,6,8.858667904100823,0.49944444444444447,0.505
svd,1,3,6,0.01,0.4288888888888889,0.42
cbow,1,3,8,5.455594781168514,0.49944444444444447,0.495
skipgram,1,3,8,14.38449888287663,0.49944444444444447,0.505
svd,1,3,8,0.06951927961775606,0.5005555555555555,0.495
cbow,1,3,10,2.06913808111479,0.7455555555555555,0.79
skipgram,1,3,10,23.357214690901213,0.4216666666666667,0.41
svd,1,3,10,0.11288378916846889,0.5005555555555555,0.495
cbow,1,4,2,0.7847599703514611,0.5005555555555555,0.495
skipgram,1,4,2,0.29763514416313175,0.5005555555555555,0.495
svd,1,4,2,3.359818286283781,0.5005555555555555,0.495
cbow,1,4,4,0.04281332398719394,0.5,0.49
skipgram,1,4,4,0.01,0.49944444444444447,0.505
svd,1,4,4,0.01,0.5005555555555555,0.495
cbow,1,4,6,0.29763514416313175,0.4961111111111111,0.495
skipgram,1,4,6,23.357214690901213,0.49944444444444447,0.505
svd,1,4,6,0.01,0.5005555555555555,0.495
cbow,1,4,8,37.92690190732246,0.5005555555555555,0.495
skipgram,1,4,8,3.359818286283781,0.49944444444444447,0.505
svd,1,4,8,0.01,0.5005555555555555,0.495
cbow,1,4,10,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,4,10,2.06913808111479,0.5005555555555555,0.495
svd,1,4,10,1.2742749857031335,0.5005555555555555,0.495
cbow,1,5,2,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,5,2,0.06951927961775606,0.5005555555555555,0.495
svd,1,5,2,0.4832930238571752,0.5005555555555555,0.495
cbow,1,5,4,0.11288378916846889,0.4988888888888889,0.495
skipgram,1,5,4,0.7847599703514611,0.49944444444444447,0.505
svd,1,5,4,0.01,0.5005555555555555,0.495
cbow,1,5,6,37.92690190732246,0.8527777777777777,0.795
