emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.18329807108324356,0.49944444444444447,0.505
skipgram,1,2,2,8.858667904100823,0.49944444444444447,0.505
svd,1,2,2,0.026366508987303583,0.5005555555555555,0.495
cbow,1,2,4,0.11288378916846889,0.49944444444444447,0.505
skipgram,1,2,4,5.455594781168514,0.5,0.49
svd,1,2,4,0.026366508987303583,0.4961111111111111,0.5
cbow,1,2,6,0.4832930238571752,0.41833333333333333,0.415
skipgram,1,2,6,0.7847599703514611,0.4777777777777778,0.47
svd,1,2,6,0.7847599703514611,0.5,0.495
cbow,1,2,8,61.584821106602604,0.37222222222222223,0.38
skipgram,1,2,8,0.7847599703514611,0.48,0.455
svd,1,2,8,0.11288378916846889,0.6572222222222223,0.645
cbow,1,2,10,14.38449888287663,0.4988888888888889,0.52
skipgram,1,2,10,0.026366508987303583,0.5005555555555555,0.495
svd,1,2,10,0.4832930238571752,0.49944444444444447,0.495
cbow,1,3,2,0.18329807108324356,0.24055555555555555,0.255
skipgram,1,3,2,14.38449888287663,0.5005555555555555,0.495
svd,1,3,2,0.016237767391887217,0.49944444444444447,0.505
cbow,1,3,4,0.29763514416313175,0.4011111111111111,0.37
skipgram,1,3,4,8.858667904100823,0.5005555555555555,0.495
svd,1,3,4,0.06951927961775606,0.49944444444444447,0.505
cbow,1,3,6,8.858667904100823,0.37166666666666665,0.405
skipgram,1,3,6,0.29763514416313175,0.4988888888888889,0.49
svd,1,3,6,0.7847599703514611,0.49944444444444447,0.505
cbow,1,3,8,0.7847599703514611,0.5083333333333333,0.515
skipgram,1,3,8,0.18329807108324356,0.4861111111111111,0.485
svd,1,3,8,1.2742749857031335,0.49944444444444447,0.505
cbow,1,3,10,100.0,0.5072222222222222,0.52
skipgram,1,3,10,0.4832930238571752,0.4444444444444444,0.41
svd,1,3,10,1.2742749857031335,0.49944444444444447,0.505
cbow,1,4,2,0.04281332398719394,0.5005555555555555,0.495
skipgram,1,4,2,3.359818286283781,0.5005555555555555,0.495
svd,1,4,2,0.04281332398719394,0.49944444444444447,0.505
cbow,1,4,4,14.38449888287663,0.49944444444444447,0.505
skipgram,1,4,4,23.357214690901213,0.46055555555555555,0.44
svd,1,4,4,0.01,0.49944444444444447,0.505
cbow,1,4,6,5.455594781168514,0.5,0.505
skipgram,1,4,6,0.4832930238571752,0.3827777777777778,0.33
svd,1,4,6,0.7847599703514611,0.49944444444444447,0.505
cbow,1,4,8,5.455594781168514,0.4444444444444444,0.45
skipgram,1,4,8,1.2742749857031335,0.2761111111111111,0.305
svd,1,4,8,23.357214690901213,0.49944444444444447,0.505
cbow,1,4,10,5.455594781168514,0.4527777777777778,0.44
skipgram,1,4,10,0.18329807108324356,0.3111111111111111,0.365
svd,1,4,10,61.584821106602604,0.49944444444444447,0.505
cbow,1,5,2,2.06913808111479,0.17666666666666667,0.19
skipgram,1,5,2,0.29763514416313175,0.5005555555555555,0.495
svd,1,5,2,0.7847599703514611,0.49944444444444447,0.505
cbow,1,5,4,0.4832930238571752,0.49944444444444447,0.505
skipgram,1,5,4,8.858667904100823,0.5,0.495
svd,1,5,4,0.026366508987303583,0.49944444444444447,0.505
cbow,1,5,6,1.2742749857031335,0.49944444444444447,0.505
skipgram,1,5,6,2.06913808111479,0.35888888888888887,0.405
svd,1,5,6,0.01,0.49944444444444447,0.505
cbow,1,5,8,2.06913808111479,0.49944444444444447,0.505
skipgram,1,5,8,2.06913808111479,0.4672222222222222,0.48
svd,1,5,8,2.06913808111479,0.49944444444444447,0.505
