emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,61.584821106602604,0.1316425120772947,0.10869565217391304
cbow,1,2,2,0.11288378916846889,0.19582801191996593,0.19923371647509577
skipgram,1,2,2,0.04281332398719394,0.12941677309493402,0.13026819923371646
SVD,1,2,4,14.38449888287663,0.20893719806763286,0.1956521739130435
cbow,1,2,4,23.357214690901213,0.1911451681566624,0.18773946360153257
skipgram,1,2,4,0.18329807108324356,0.17198808003405705,0.17624521072796934
SVD,1,2,6,8.858667904100823,0.19927536231884058,0.19021739130434784
cbow,1,2,6,8.858667904100823,0.18305661983822905,0.18773946360153257
skipgram,1,2,6,0.18329807108324356,0.18773946360153257,0.19540229885057472
SVD,1,2,8,0.04281332398719394,0.29347826086956524,0.2608695652173913
cbow,1,2,8,23.357214690901213,0.199659429544487,0.20306513409961685
skipgram,1,2,8,0.06951927961775606,0.1839080459770115,0.1685823754789272
SVD,1,2,10,14.38449888287663,0.18115942028985507,0.15217391304347827
cbow,1,2,10,0.01,0.199659429544487,0.20306513409961685
skipgram,1,2,10,0.06951927961775606,0.1715623669646658,0.1839080459770115
SVD,1,3,2,3.359818286283781,0.1966573816155989,0.22
cbow,1,3,2,0.04281332398719394,0.20059372349448684,0.1946564885496183
skipgram,1,3,2,0.29763514416313175,0.2018659881255301,0.17938931297709923
SVD,1,3,4,0.11288378916846889,0.29749303621169915,0.345
cbow,1,3,4,5.455594781168514,0.1946564885496183,0.16412213740458015
skipgram,1,3,4,0.7847599703514611,0.19338422391857507,0.15648854961832062
SVD,1,3,6,61.584821106602604,0.20167130919220055,0.17
cbow,1,3,6,14.38449888287663,0.20271416454622562,0.17557251908396945
skipgram,1,3,6,0.11288378916846889,0.19635284139100934,0.16793893129770993
SVD,1,3,8,100.0,0.19944289693593314,0.165
cbow,1,3,8,0.01,0.20271416454622562,0.17557251908396945
skipgram,1,3,8,1.2742749857031335,0.1904156064461408,0.16412213740458015
SVD,1,3,10,3.359818286283781,0.22506963788300835,0.21
cbow,1,3,10,0.01,0.20271416454622562,0.17557251908396945
skipgram,1,3,10,0.016237767391887217,0.20271416454622562,0.17557251908396945
SVD,1,4,2,1.2742749857031335,0.1980426021876799,0.21243523316062177
cbow,1,4,2,0.4832930238571752,0.2001696352841391,0.18702290076335878
skipgram,1,4,2,14.38449888287663,0.1743002544529262,0.183206106870229
SVD,1,4,4,1.2742749857031335,0.43120322394933797,0.42487046632124353
cbow,1,4,4,0.016237767391887217,0.2010178117048346,0.17557251908396945
skipgram,1,4,4,0.01,0.17472434266327397,0.16793893129770993
SVD,1,4,6,8.858667904100823,0.2222222222222222,0.13989637305699482
cbow,1,4,6,8.858667904100823,0.19974554707379136,0.16793893129770993
skipgram,1,4,6,0.11288378916846889,0.18999151823579305,0.16793893129770993
SVD,1,4,8,37.92690190732246,0.21070811744386875,0.24870466321243523
cbow,1,4,8,0.01,0.20271416454622562,0.17557251908396945
skipgram,1,4,8,0.01,0.20271416454622562,0.17557251908396945
SVD,1,4,10,0.7847599703514611,0.19516407599309155,0.23834196891191708
cbow,1,4,10,0.04281332398719394,0.1726039016115352,0.14885496183206107
skipgram,1,4,10,0.01,0.18532654792196776,0.17557251908396945
SVD,1,5,2,23.357214690901213,0.21793275217932753,0.2346368715083799
cbow,1,5,2,0.18329807108324356,0.2001696352841391,0.1946564885496183
skipgram,1,5,2,37.92690190732246,0.20780322307039864,0.20229007633587787
SVD,1,5,4,37.92690190732246,0.25404732254047324,0.26256983240223464
cbow,1,5,4,5.455594781168514,0.20271416454622562,0.17557251908396945
skipgram,1,5,4,0.11288378916846889,0.23452078032230703,0.21374045801526717
