emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,100.0,0.8055555555555556,0.75
cbow,1,2,2,0.01,0.7990634312473393,0.8084291187739464
skipgram,1,2,2,0.01,0.7990634312473393,0.8084291187739464
SVD,1,2,4,0.01,0.8055555555555556,0.75
cbow,1,2,4,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,4,0.026366508987303583,0.8007662835249042,0.7931034482758621
SVD,1,2,6,0.01,0.8049516908212561,0.75
cbow,1,2,6,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,6,0.04281332398719394,0.7999148573861218,0.7931034482758621
SVD,1,2,8,0.01,0.7898550724637681,0.8532608695652174
cbow,1,2,8,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,8,0.01,0.8007662835249042,0.7931034482758621
SVD,1,2,10,0.01,0.7940821256038647,0.8532608695652174
cbow,1,2,10,0.01,0.8007662835249042,0.7931034482758621
skipgram,1,2,10,14.38449888287663,0.7952320136228183,0.7854406130268199
SVD,1,3,2,0.01,0.7966573816155988,0.83
cbow,1,3,2,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,2,0.4832930238571752,0.8019508057675997,0.7824427480916031
SVD,1,3,4,0.01,0.7966573816155988,0.83
cbow,1,3,4,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,4,2.06913808111479,0.7972858354537744,0.7824427480916031
SVD,1,3,6,0.01,0.7938718662952646,0.825
cbow,1,3,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,6,8.858667904100823,0.8011026293469041,0.7824427480916031
SVD,1,3,8,0.01,0.792200557103064,0.805
cbow,1,3,8,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,8,0.01,0.8019508057675997,0.7824427480916031
SVD,1,3,10,0.01,0.7966573816155988,0.83
cbow,1,3,10,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,3,10,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,2,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,2,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,2,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,4,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,4,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,4,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,6,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,6,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,8,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,8,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,8,0.01,0.8019508057675997,0.7824427480916031
SVD,1,4,10,0.01,0.7944732297063903,0.8497409326424871
cbow,1,4,10,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,4,10,0.01,0.8006785411365565,0.7824427480916031
SVD,1,5,2,0.01,0.7914072229140723,0.8770949720670391
cbow,1,5,2,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,5,2,0.01,0.8019508057675997,0.7824427480916031
SVD,1,5,4,0.01,0.7889165628891657,0.8770949720670391
cbow,1,5,4,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,5,4,0.01,0.8019508057675997,0.7824427480916031
SVD,1,5,6,0.01,0.7845579078455791,0.8659217877094972
cbow,1,5,6,0.01,0.8019508057675997,0.7824427480916031
skipgram,1,5,6,0.01,0.8019508057675997,0.7824427480916031
SVD,1,5,8,0.01,0.7914072229140723,0.8770949720670391
cbow,1,5,8,0.016237767391887217,0.7794741306191688,0.7557251908396947
skipgram,1,5,8,0.01,0.8019508057675997,0.7824427480916031
SVD,1,5,10,0.01,0.7914072229140723,0.8770949720670391
cbow,1,5,10,0.026366508987303583,0.7120441051738762,0.7366412213740458
skipgram,1,5,10,0.01,0.7977099236641222,0.7786259541984732
SVD,1,6,2,0.01,0.7991940899932841,0.8072289156626506
cbow,1,6,2,0.01,0.7993226079593565,0.8060836501901141
skipgram,1,6,2,0.01,0.7993226079593565,0.8060836501901141
SVD,1,6,4,0.01,0.7770315648085964,0.7951807228915663
cbow,1,6,4,0.04281332398719394,0.7976291278577476,0.8060836501901141
skipgram,1,6,4,0.01,0.7993226079593565,0.8022813688212928
SVD,1,6,6,0.01,0.7803895231699127,0.7831325301204819
cbow,1,6,6,0.01,0.7802709568162574,0.779467680608365
skipgram,1,6,6,0.01,0.7984758679085521,0.8060836501901141
SVD,1,6,8,0.01,0.7609133646742781,0.7771084337349398
cbow,1,6,8,0.016237767391887217,0.709991532599492,0.7186311787072244
skipgram,1,6,8,0.01,0.7980524978831499,0.8022813688212928
SVD,1,6,10,0.01,0.7991940899932841,0.8072289156626506
cbow,1,6,10,0.06951927961775606,0.6088060965283658,0.6349809885931559
skipgram,1,6,10,0.01,0.7967823878069432,0.8060836501901141
SVD,1,7,2,0.01,0.8017492711370262,0.7843137254901961
cbow,1,7,2,0.01,0.8019508057675997,0.7824427480916031
