emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,37.92690190732246,0.49295774647887325,0.5631067961165048
cbow,1,2,2,0.29763514416313175,0.5026624068157615,0.47619047619047616
skipgram,1,2,2,14.38449888287663,0.4802981895633653,0.44761904761904764
SVD,1,2,4,0.06951927961775606,0.49295774647887325,0.5631067961165048
cbow,1,2,4,100.0,0.17465388711395102,0.13333333333333333
skipgram,1,2,4,14.38449888287663,0.4845580404685836,0.45714285714285713
SVD,1,2,6,0.01,0.4962080173347779,0.4368932038834951
cbow,1,2,6,100.0,0.47071352502662406,0.42857142857142855
skipgram,1,2,6,14.38449888287663,0.48775292864749736,0.47619047619047616
SVD,1,2,8,0.026366508987303583,0.48429035752979416,0.5533980582524272
cbow,1,2,8,8.858667904100823,0.3929712460063898,0.37142857142857144
skipgram,1,2,8,5.455594781168514,0.47071352502662406,0.41904761904761906
SVD,1,2,10,0.01,0.48212351029252437,0.5436893203883495
cbow,1,2,10,23.357214690901213,0.3759318423855165,0.3523809523809524
skipgram,1,2,10,8.858667904100823,0.4792332268370607,0.4666666666666667
SVD,1,3,2,0.7847599703514611,0.503800217155266,0.46601941747572817
cbow,1,3,2,0.18329807108324356,0.5026511134676565,0.47619047619047616
skipgram,1,3,2,37.92690190732246,0.4973488865323436,0.4666666666666667
SVD,1,3,4,0.29763514416313175,0.503800217155266,0.5339805825242718
cbow,1,3,4,61.584821106602604,0.5026511134676565,0.47619047619047616
skipgram,1,3,4,23.357214690901213,0.48886532343584305,0.45714285714285713
SVD,1,3,6,0.06951927961775606,0.496199782844734,0.5339805825242718
cbow,1,3,6,37.92690190732246,0.5026511134676565,0.47619047619047616
skipgram,1,3,6,8.858667904100823,0.48568398727465534,0.45714285714285713
SVD,1,3,8,0.06951927961775606,0.3572204125950054,0.3106796116504854
cbow,1,3,8,1.2742749857031335,0.41569459172852596,0.4
skipgram,1,3,8,1.2742749857031335,0.48038176033934255,0.47619047619047616
SVD,1,3,10,0.29763514416313175,0.48859934853420195,0.4563106796116505
cbow,1,3,10,14.38449888287663,0.4411452810180276,0.3904761904761905
skipgram,1,3,10,5.455594781168514,0.48568398727465534,0.4380952380952381
SVD,1,4,2,0.026366508987303583,0.49782135076252726,0.5196078431372549
cbow,1,4,2,0.29763514416313175,0.5026511134676565,0.47619047619047616
skipgram,1,4,2,1.2742749857031335,0.48886532343584305,0.4380952380952381
SVD,1,4,4,0.01,0.4912854030501089,0.49019607843137253
cbow,1,4,4,37.92690190732246,0.5026511134676565,0.47619047619047616
skipgram,1,4,4,23.357214690901213,0.4899257688229056,0.44761904761904764
SVD,1,4,6,0.01,0.49673202614379086,0.5196078431372549
cbow,1,4,6,0.01,0.5026511134676565,0.47619047619047616
skipgram,1,4,6,0.29763514416313175,0.4814422057264051,0.4666666666666667
SVD,1,4,8,0.016237767391887217,0.49782135076252726,0.5196078431372549
cbow,1,4,8,0.18329807108324356,0.4973488865323436,0.5238095238095238
skipgram,1,4,8,1.2742749857031335,0.34676564156945916,0.3619047619047619
SVD,1,4,10,0.01,0.4923747276688453,0.5196078431372549
cbow,1,4,10,0.01,0.5005302226935313,0.47619047619047616
skipgram,1,4,10,61.584821106602604,0.34146341463414637,0.3142857142857143
SVD,1,5,2,0.18329807108324356,0.49782135076252726,0.5196078431372549
cbow,1,5,2,1.2742749857031335,0.5026511134676565,0.47619047619047616
skipgram,1,5,2,5.455594781168514,0.4305408271474019,0.44761904761904764
SVD,1,5,4,0.11288378916846889,0.673202614379085,0.5980392156862745
cbow,1,5,4,0.29763514416313175,0.4687168610816543,0.41904761904761906
skipgram,1,5,4,0.29763514416313175,0.4750795334040297,0.4857142857142857
SVD,1,5,6,0.01,0.5,0.5
cbow,1,5,6,14.38449888287663,0.4984093319194062,0.5238095238095238
skipgram,1,5,6,0.29763514416313175,0.43796394485683987,0.4666666666666667
SVD,1,5,8,0.026366508987303583,0.4923747276688453,0.4803921568627451
cbow,1,5,8,0.04281332398719394,0.5015906680805938,0.5047619047619047
skipgram,1,5,8,0.18329807108324356,0.35418875927889715,0.37142857142857144
SVD,1,5,10,1.2742749857031335,0.4912854030501089,0.5196078431372549
cbow,1,5,10,0.29763514416313175,0.4973488865323436,0.5238095238095238
skipgram,1,5,10,14.38449888287663,0.33085896076352067,0.3523809523809524
SVD,1,6,2,0.026366508987303583,0.49782135076252726,0.5196078431372549
cbow,1,6,2,0.18329807108324356,0.5037037037037037,0.4666666666666667
skipgram,1,6,2,0.29763514416313175,0.49947089947089945,0.44761904761904764
SVD,1,6,4,0.7847599703514611,0.5,0.49019607843137253
cbow,1,6,4,0.29763514416313175,0.49206349206349204,0.45714285714285713
skipgram,1,6,4,3.359818286283781,0.44126984126984126,0.3238095238095238
SVD,1,6,6,0.01,0.38344226579520696,0.3431372549019608
cbow,1,6,6,0.04281332398719394,0.4973544973544973,0.5428571428571428
