emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.026366508987303583,0.49944444444444447,0.505
cbow,1,2,2,0.026366508987303583,0.49944444444444447,0.505
skipgram,1,2,2,0.04281332398719394,0.5005555555555555,0.495
SVD,1,2,4,0.18329807108324356,0.5066666666666667,0.51
cbow,1,2,4,61.584821106602604,0.33444444444444443,0.345
skipgram,1,2,4,0.016237767391887217,0.5005555555555555,0.495
SVD,1,2,6,0.026366508987303583,0.5055555555555555,0.5
cbow,1,2,6,0.29763514416313175,0.49944444444444447,0.505
skipgram,1,2,6,8.858667904100823,0.4872222222222222,0.49
SVD,1,2,8,0.01,0.5022222222222222,0.495
cbow,1,2,8,0.04281332398719394,0.49833333333333335,0.505
skipgram,1,2,8,2.06913808111479,0.475,0.455
SVD,1,2,10,0.04281332398719394,0.5005555555555555,0.495
cbow,1,2,10,0.01,0.4961111111111111,0.485
skipgram,1,2,10,0.06951927961775606,0.5072222222222222,0.515
SVD,1,3,2,0.026366508987303583,0.5005555555555555,0.495
cbow,1,3,2,0.29763514416313175,0.3138888888888889,0.35
skipgram,1,3,2,2.06913808111479,0.5005555555555555,0.495
SVD,1,3,4,0.06951927961775606,0.5022222222222222,0.495
cbow,1,3,4,2.06913808111479,0.49777777777777776,0.525
skipgram,1,3,4,0.01,0.5005555555555555,0.495
SVD,1,3,6,0.026366508987303583,0.5016666666666667,0.5
cbow,1,3,6,0.016237767391887217,0.49944444444444447,0.505
skipgram,1,3,6,0.04281332398719394,0.48055555555555557,0.505
SVD,1,3,8,0.026366508987303583,0.5011111111111111,0.495
cbow,1,3,8,0.18329807108324356,0.49944444444444447,0.505
skipgram,1,3,8,0.01,0.49777777777777776,0.505
SVD,1,3,10,0.01,0.5027777777777778,0.495
cbow,1,3,10,0.016237767391887217,0.5077777777777778,0.525
skipgram,1,3,10,0.01,0.5316666666666666,0.48
SVD,1,4,2,0.01,0.5005555555555555,0.495
cbow,1,4,2,0.4832930238571752,0.5055555555555555,0.48
skipgram,1,4,2,61.584821106602604,0.4683333333333333,0.455
SVD,1,4,4,0.01,0.5011111111111111,0.495
cbow,1,4,4,0.7847599703514611,0.49722222222222223,0.505
skipgram,1,4,4,0.7847599703514611,0.42944444444444446,0.45
SVD,1,4,6,0.016237767391887217,0.5011111111111111,0.495
cbow,1,4,6,8.858667904100823,0.49944444444444447,0.505
skipgram,1,4,6,0.7847599703514611,0.4988888888888889,0.505
SVD,1,4,8,0.016237767391887217,0.5011111111111111,0.495
cbow,1,4,8,0.01,0.49944444444444447,0.505
skipgram,1,4,8,0.016237767391887217,0.5266666666666666,0.555
SVD,1,4,10,0.7847599703514611,0.49944444444444447,0.485
cbow,1,4,10,0.04281332398719394,0.49944444444444447,0.505
skipgram,1,4,10,1.2742749857031335,0.49944444444444447,0.505
SVD,1,5,2,0.01,0.5005555555555555,0.495
cbow,1,5,2,0.01,0.5005555555555555,0.495
skipgram,1,5,2,1.2742749857031335,0.5005555555555555,0.495
