emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.04281332398719394,0.5,0.5
cbow,1,2,2,0.18329807108324356,0.4786729857819905,0.5151515151515151
skipgram,1,2,2,0.7847599703514611,0.4827352742044685,0.503030303030303
SVD,1,2,4,5.455594781168514,0.045317220543806644,0.0
cbow,1,2,4,8.858667904100823,0.4583615436696005,0.49696969696969695
skipgram,1,2,4,2.06913808111479,0.47731888964116453,0.5212121212121212
SVD,1,2,6,1.2742749857031335,0.12084592145015106,0.06756756756756757
cbow,1,2,6,1.2742749857031335,0.3899796885578876,0.36363636363636365
skipgram,1,2,6,3.359818286283781,0.46445497630331756,0.4909090909090909
SVD,1,2,8,0.4832930238571752,0.5725075528700906,0.5405405405405406
cbow,1,2,8,0.7847599703514611,0.3161814488828707,0.3393939393939394
skipgram,1,2,8,1.2742749857031335,0.44346648612051454,0.4666666666666667
SVD,1,2,10,100.0,0.45317220543806647,0.4864864864864865
cbow,1,2,10,0.01,0.3899796885578876,0.42424242424242425
skipgram,1,2,10,0.01,0.45362220717670954,0.47878787878787876
SVD,1,3,2,0.7847599703514611,0.39136490250696376,0.5
cbow,1,3,2,0.7847599703514611,0.49632975719932243,0.49238578680203043
skipgram,1,3,2,8.858667904100823,0.4743083003952569,0.4720812182741117
SVD,1,3,4,0.7847599703514611,0.6949860724233984,0.6625
cbow,1,3,4,0.01,0.4997176736307171,0.5025380710659898
skipgram,1,3,4,0.11288378916846889,0.484472049689441,0.47715736040609136
SVD,1,3,6,3.359818286283781,0.5348189415041783,0.5
cbow,1,3,6,0.016237767391887217,0.4997176736307171,0.5025380710659898
skipgram,1,3,6,0.18329807108324356,0.45115753811405984,0.4720812182741117
SVD,1,3,8,1.2742749857031335,0.5724233983286908,0.525
cbow,1,3,8,0.29763514416313175,0.4997176736307171,0.5025380710659898
skipgram,1,3,8,0.4832930238571752,0.4494635798983625,0.4467005076142132
SVD,1,3,10,0.18329807108324356,0.9874651810584958,0.9875
cbow,1,3,10,0.04281332398719394,0.4184076792772445,0.4213197969543147
skipgram,1,3,10,0.01,0.4105025409373235,0.41624365482233505
SVD,1,4,2,3.359818286283781,0.6066282420749279,0.6153846153846154
cbow,1,4,2,0.11288378916846889,0.48277777777777775,0.45
skipgram,1,4,2,14.38449888287663,0.6194444444444445,0.605
SVD,1,4,4,5.455594781168514,0.8962536023054755,0.9487179487179487
cbow,1,4,4,0.29763514416313175,0.5005555555555555,0.495
skipgram,1,4,4,0.04281332398719394,0.44055555555555553,0.44
SVD,1,4,6,0.4832930238571752,0.9538904899135446,0.9230769230769231
cbow,1,4,6,0.026366508987303583,0.5005555555555555,0.495
skipgram,1,4,6,0.026366508987303583,0.36666666666666664,0.395
SVD,1,4,8,0.18329807108324356,0.9639769452449568,0.9743589743589743
cbow,1,4,8,0.11288378916846889,0.5005555555555555,0.495
skipgram,1,4,8,0.01,0.33055555555555555,0.345
SVD,1,4,10,0.06951927961775606,0.9005763688760807,0.9230769230769231
cbow,1,4,10,0.01,0.49833333333333335,0.495
skipgram,1,4,10,0.01,0.2972222222222222,0.29
SVD,1,5,2,5.455594781168514,0.9548286604361371,1.0
cbow,1,5,2,0.29763514416313175,0.7088888888888889,0.69
skipgram,1,5,2,0.29763514416313175,0.5,0.505
SVD,1,5,4,0.29763514416313175,0.5295950155763239,0.5694444444444444
cbow,1,5,4,0.06951927961775606,0.5005555555555555,0.495
skipgram,1,5,4,0.026366508987303583,0.44722222222222224,0.475
SVD,1,5,6,0.29763514416313175,0.9345794392523364,0.9444444444444444
cbow,1,5,6,0.4832930238571752,0.49944444444444447,0.49
skipgram,1,5,6,0.01,0.4438888888888889,0.445
SVD,1,5,8,0.29763514416313175,0.9236760124610592,0.9444444444444444
cbow,1,5,8,0.01,0.4177777777777778,0.395
skipgram,1,5,8,0.01,0.5966666666666667,0.6
SVD,1,5,10,0.01,0.9517133956386293,0.9722222222222222
cbow,1,5,10,0.01,0.41555555555555557,0.4
skipgram,1,5,10,0.026366508987303583,0.42,0.43
SVD,1,6,2,8.858667904100823,0.9596638655462185,0.9402985074626866
cbow,1,6,2,0.7847599703514611,0.5,0.51
skipgram,1,6,2,0.026366508987303583,0.5066666666666667,0.525
SVD,1,6,4,0.026366508987303583,0.5142857142857142,0.4925373134328358
cbow,1,6,4,0.18329807108324356,0.5005555555555555,0.495
skipgram,1,6,4,0.18329807108324356,0.62,0.62
SVD,1,6,6,0.016237767391887217,0.9445378151260504,0.9402985074626866
cbow,1,6,6,0.026366508987303583,0.4761111111111111,0.475
skipgram,1,6,6,0.026366508987303583,0.5183333333333333,0.53
SVD,1,6,8,0.016237767391887217,0.957983193277311,0.9552238805970149
cbow,1,6,8,0.016237767391887217,0.5144444444444445,0.495
skipgram,1,6,8,1.2742749857031335,0.5027777777777778,0.505
SVD,1,6,10,0.01,0.9445378151260504,0.9402985074626866
cbow,1,6,10,0.01,0.49944444444444447,0.505
skipgram,1,6,10,0.01,0.5027777777777778,0.52
SVD,1,7,2,14.38449888287663,0.8142076502732241,0.8852459016393442
cbow,1,7,2,0.01,0.29836435420191765,0.29949238578680204
skipgram,1,7,2,0.016237767391887217,0.5076142131979695,0.5380710659898477
SVD,1,7,4,0.06951927961775606,0.9635701275045537,0.9836065573770492
cbow,1,7,4,0.01,0.46362098138747887,0.4467005076142132
skipgram,1,7,4,0.18329807108324356,0.5025380710659898,0.5279187817258884
SVD,1,7,6,0.04281332398719394,0.9672131147540983,0.9836065573770492
cbow,1,7,6,0.01,0.398195149464185,0.3553299492385787
skipgram,1,7,6,0.06951927961775606,0.5177664974619289,0.5380710659898477
SVD,1,7,8,0.016237767391887217,0.9817850637522769,0.9672131147540983
cbow,1,7,8,0.18329807108324356,0.49746192893401014,0.5228426395939086
skipgram,1,7,8,0.4832930238571752,0.5019740552735477,0.5279187817258884
SVD,1,7,10,0.01,0.9617486338797814,0.9672131147540983
cbow,1,7,10,0.01,0.49746192893401014,0.5228426395939086
skipgram,1,7,10,0.4832930238571752,0.49746192893401014,0.5228426395939086
SVD,1,8,2,0.7847599703514611,0.504,0.5
cbow,1,8,2,0.04281332398719394,0.5104166666666666,0.5104166666666666
skipgram,1,8,2,0.01,0.5075231481481481,0.5104166666666666
SVD,1,8,4,0.06951927961775606,0.96,0.9285714285714286
cbow,1,8,4,0.01,0.5005787037037037,0.4947916666666667
skipgram,1,8,4,0.04281332398719394,0.5162037037037037,0.5052083333333334
SVD,1,8,6,0.026366508987303583,0.972,0.9642857142857143
cbow,1,8,6,23.357214690901213,0.5046296296296297,0.5052083333333334
skipgram,1,8,6,0.01,0.5057870370370371,0.5104166666666666
SVD,1,8,8,0.016237767391887217,0.988,0.9821428571428571
cbow,1,8,8,0.04281332398719394,0.4994212962962963,0.5052083333333334
skipgram,1,8,8,0.04281332398719394,0.5005787037037037,0.5104166666666666
SVD,1,8,10,0.01,0.988,0.9821428571428571
cbow,1,8,10,0.01,0.4994212962962963,0.5052083333333334
skipgram,1,8,10,0.7847599703514611,0.4994212962962963,0.5052083333333334
SVD,2,2,2,8.858667904100823,0.5,0.5
cbow,2,2,2,0.06951927961775606,0.3006093432633717,0.26666666666666666
skipgram,2,2,2,0.7847599703514611,0.4928909952606635,0.5151515151515151
SVD,2,2,4,5.455594781168514,0.1268882175226586,0.17567567567567569
cbow,2,2,4,0.7847599703514611,0.27217332430602575,0.2787878787878788
skipgram,2,2,4,0.7847599703514611,0.48070412999322953,0.49696969696969695
SVD,2,2,6,5.455594781168514,0.20996978851963746,0.24324324324324326
cbow,2,2,6,0.7847599703514611,0.42721733243060256,0.4121212121212121
skipgram,2,2,6,3.359818286283781,0.18280297901150983,0.18787878787878787
SVD,2,2,8,0.4832930238571752,0.47129909365558914,0.47297297297297297
cbow,2,2,8,0.18329807108324356,0.5030467163168585,0.4727272727272727
skipgram,2,2,8,0.4832930238571752,0.4881516587677725,0.5272727272727272
SVD,2,2,10,0.29763514416313175,0.5498489425981873,0.581081081081081
cbow,2,2,10,0.18329807108324356,0.5016926201760324,0.4666666666666667
skipgram,2,2,10,2.06913808111479,0.4942450914014895,0.5272727272727272
SVD,2,3,2,0.18329807108324356,0.4986072423398329,0.5125
cbow,2,3,2,1.2742749857031335,0.5047995482778092,0.5126903553299492
skipgram,2,3,2,1.2742749857031335,0.4991530208921513,0.49746192893401014
SVD,2,3,4,0.4832930238571752,0.5139275766016713,0.525
cbow,2,3,4,8.858667904100823,0.4991530208921513,0.49746192893401014
skipgram,2,3,4,14.38449888287663,0.4997176736307171,0.5025380710659898
SVD,2,3,6,1.2742749857031335,0.9052924791086351,0.8375
cbow,2,3,6,0.11288378916846889,0.5002823263692829,0.49746192893401014
skipgram,2,3,6,5.455594781168514,0.4980237154150198,0.5025380710659898
SVD,2,3,8,0.29763514416313175,0.9874651810584958,0.9875
cbow,2,3,8,0.7847599703514611,0.5002823263692829,0.49746192893401014
skipgram,2,3,8,0.01,0.4997176736307171,0.5025380710659898
SVD,2,3,10,0.11288378916846889,0.9735376044568245,0.9625
cbow,2,3,10,0.026366508987303583,0.5002823263692829,0.49746192893401014
skipgram,2,3,10,0.01,0.4997176736307171,0.5025380710659898
SVD,2,4,2,3.359818286283781,0.5389048991354467,0.5897435897435898
cbow,2,4,2,14.38449888287663,0.49944444444444447,0.505
skipgram,2,4,2,23.357214690901213,0.49444444444444446,0.495
SVD,2,4,4,14.38449888287663,0.531700288184438,0.47435897435897434
cbow,2,4,4,0.016237767391887217,0.49944444444444447,0.505
skipgram,2,4,4,3.359818286283781,0.49777777777777776,0.49
SVD,2,4,6,0.4832930238571752,0.729106628242075,0.7564102564102564
cbow,2,4,6,0.01,0.49944444444444447,0.505
skipgram,2,4,6,0.026366508987303583,0.5005555555555555,0.495
SVD,2,4,8,100.0,0.5979827089337176,0.5128205128205128
cbow,2,4,8,0.026366508987303583,0.49944444444444447,0.505
skipgram,2,4,8,0.01,0.5005555555555555,0.495
SVD,2,4,10,5.455594781168514,0.877521613832853,0.9487179487179487
cbow,2,4,10,0.01,0.49944444444444447,0.505
skipgram,2,4,10,0.026366508987303583,0.48,0.475
SVD,2,5,2,1.2742749857031335,0.5155763239875389,0.5833333333333334
cbow,2,5,2,0.06951927961775606,0.49944444444444447,0.505
skipgram,2,5,2,0.11288378916846889,0.6177777777777778,0.585
SVD,2,5,4,8.858667904100823,0.8333333333333334,0.7777777777777778
cbow,2,5,4,0.18329807108324356,0.49944444444444447,0.505
skipgram,2,5,4,0.04281332398719394,0.5005555555555555,0.495
SVD,2,5,6,0.7847599703514611,0.8909657320872274,0.9027777777777778
cbow,2,5,6,0.04281332398719394,0.49944444444444447,0.505
skipgram,2,5,6,0.06951927961775606,0.5005555555555555,0.495
SVD,2,5,8,3.359818286283781,0.7414330218068536,0.8194444444444444
cbow,2,5,8,0.06951927961775606,0.49944444444444447,0.505
skipgram,2,5,8,0.06951927961775606,0.5627777777777778,0.54
SVD,2,5,10,0.11288378916846889,0.8940809968847352,0.9305555555555556
cbow,2,5,10,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,5,10,0.04281332398719394,0.5266666666666666,0.52
SVD,2,6,2,3.359818286283781,0.5042016806722689,0.4925373134328358
cbow,2,6,2,0.4832930238571752,0.49944444444444447,0.505
skipgram,2,6,2,0.7847599703514611,0.5005555555555555,0.495
SVD,2,6,4,3.359818286283781,0.8100840336134454,0.7910447761194029
cbow,2,6,4,0.016237767391887217,0.49944444444444447,0.505
skipgram,2,6,4,0.7847599703514611,0.7755555555555556,0.76
SVD,2,6,6,2.06913808111479,0.8453781512605042,0.835820895522388
cbow,2,6,6,0.016237767391887217,0.49944444444444447,0.505
skipgram,2,6,6,1.2742749857031335,0.62,0.635
SVD,2,6,8,0.01,0.8050420168067227,0.7761194029850746
