emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,61.584821106602604,0.20132906719173024,0.19690265486725664
cbow,1,2,2,100.0,0.20008942544153813,0.20724346076458752
skipgram,1,2,2,1.2742749857031335,0.16811983009166107,0.18108651911468812
SVD,1,2,4,5.455594781168514,0.20305193206989908,0.23893805309734514
cbow,1,2,4,2.06913808111479,0.19874804381846636,0.2112676056338028
skipgram,1,2,4,8.858667904100823,0.19137044489157165,0.2112676056338028
SVD,1,2,6,2.06913808111479,0.206989908934285,0.24778761061946902
cbow,1,2,6,37.92690190732246,0.14978761457634698,0.19517102615694165
skipgram,1,2,6,2.06913808111479,0.20925553319919518,0.23340040241448692
SVD,1,2,8,8.858667904100823,0.19616047255722371,0.23008849557522124
cbow,1,2,8,100.0,0.10753409344958641,0.10462776659959759
skipgram,1,2,8,0.4832930238571752,0.19494746255309636,0.20321931589537223
SVD,1,2,10,8.858667904100823,0.21634260398720156,0.2234513274336283
cbow,1,2,10,23.357214690901213,0.17862731947238988,0.193158953722334
skipgram,1,2,10,0.29763514416313175,0.17974513749161636,0.16901408450704225
SVD,1,3,2,5.455594781168514,0.19815994338287332,0.24416135881104034
cbow,1,3,2,37.92690190732246,0.19919517102615694,0.2052313883299799
skipgram,1,3,2,8.858667904100823,0.19248826291079812,0.22334004024144868
SVD,1,3,4,8.858667904100823,0.203585751356452,0.22929936305732485
cbow,1,3,4,3.359818286283781,0.19606528057232284,0.2112676056338028
skipgram,1,3,4,5.455594781168514,0.1676727028839705,0.1891348088531187
SVD,1,3,6,5.455594781168514,0.2014626091059212,0.18683651804670912
cbow,1,3,6,23.357214690901213,0.13234965347641403,0.1529175050301811
skipgram,1,3,6,3.359818286283781,0.21819807735300692,0.24949698189134809
SVD,1,3,8,3.359818286283781,0.2014626091059212,0.18683651804670912
cbow,1,3,8,2.06913808111479,0.12206572769953052,0.11670020120724346
skipgram,1,3,8,3.359818286283781,0.16498993963782696,0.1891348088531187
SVD,1,3,10,8.858667904100823,0.2014626091059212,0.18683651804670912
cbow,1,3,10,5.455594781168514,0.11983009166107758,0.10462776659959759
skipgram,1,3,10,0.7847599703514611,0.1936060809300246,0.21730382293762576
SVD,1,4,2,14.38449888287663,0.19437939110070257,0.23578947368421052
cbow,1,4,2,1.2742749857031335,0.20187793427230047,0.2152917505030181
skipgram,1,4,2,14.38449888287663,0.1933825173261793,0.2193158953722334
SVD,1,4,4,1.2742749857031335,0.20070257611241218,0.1936842105263158
cbow,1,4,4,5.455594781168514,0.158953722334004,0.1790744466800805
skipgram,1,4,4,0.7847599703514611,0.2155153141068634,0.24949698189134809
SVD,1,4,6,3.359818286283781,0.20070257611241218,0.1936842105263158
cbow,1,4,6,14.38449888287663,0.10842834786496758,0.09456740442655935
skipgram,1,4,6,5.455594781168514,0.21775095014531634,0.2112676056338028
SVD,1,4,8,23.357214690901213,0.2098360655737705,0.20421052631578948
cbow,1,4,8,8.858667904100823,0.11692376481108875,0.10663983903420524
skipgram,1,4,8,1.2742749857031335,0.1784037558685446,0.1851106639839034
SVD,1,4,10,14.38449888287663,0.2063231850117096,0.2
cbow,1,4,10,5.455594781168514,0.08473060585736641,0.08249496981891348
skipgram,1,4,10,5.455594781168514,0.170355466130114,0.17706237424547283
SVD,1,5,2,61.584821106602604,0.19893837987537502,0.2074688796680498
cbow,1,5,2,14.38449888287663,0.19248826291079812,0.18712273641851107
skipgram,1,5,2,2.06913808111479,0.1860049183992846,0.20724346076458752
SVD,1,5,4,0.4832930238571752,0.19916916685898917,0.2074688796680498
cbow,1,5,4,5.455594781168514,0.1491169237648111,0.16700201207243462
skipgram,1,5,4,0.026366508987303583,0.20389000670690813,0.22736418511066397
SVD,1,5,6,2.06913808111479,0.20078467574428802,0.22614107883817428
cbow,1,5,6,14.38449888287663,0.13547954393024816,0.12877263581488935
