emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,37.92690190732246,0.8040856509968004,0.7632743362831859
cbow,1,2,2,0.01,0.7999105745584619,0.8008048289738431
skipgram,1,2,2,14.38449888287663,0.7961099932930918,0.7987927565392354
SVD,1,2,4,0.01,0.7976864385921733,0.8207964601769911
cbow,1,2,4,0.01,0.7987927565392354,0.8008048289738431
skipgram,1,2,4,0.01,0.7999105745584619,0.8008048289738431
SVD,1,2,6,61.584821106602604,0.7976864385921733,0.8207964601769911
cbow,1,2,6,0.01,0.7983456293315448,0.7947686116700201
skipgram,1,2,6,0.01,0.7999105745584619,0.8008048289738431
SVD,1,2,8,0.01,0.7976864385921733,0.8207964601769911
cbow,1,2,8,0.01,0.7288173485356584,0.7203219315895373
skipgram,1,2,8,0.01,0.7999105745584619,0.8008048289738431
SVD,1,2,10,0.01,0.7976864385921733,0.8207964601769911
cbow,1,2,10,0.11288378916846889,0.5843952604515985,0.5553319919517102
skipgram,1,2,10,0.01,0.7999105745584619,0.8008048289738431
SVD,1,3,2,23.357214690901213,0.7978296768105685,0.8174097664543525
cbow,1,3,2,0.01,0.7999105745584619,0.8008048289738431
skipgram,1,3,2,0.01,0.7999105745584619,0.8008048289738431
SVD,1,3,4,3.359818286283781,0.7980655815050719,0.8174097664543525
cbow,1,3,4,0.01,0.7987927565392354,0.8008048289738431
skipgram,1,3,4,0.01,0.7999105745584619,0.8008048289738431
SVD,1,3,6,0.016237767391887217,0.7980655815050719,0.8174097664543525
cbow,1,3,6,0.01,0.7999105745584619,0.8008048289738431
skipgram,1,3,6,0.01,0.7999105745584619,0.8008048289738431
SVD,1,3,8,0.01,0.7980655815050719,0.8174097664543525
cbow,1,3,8,0.11288378916846889,0.753632908562486,0.7605633802816901
skipgram,1,3,8,0.01,0.7999105745584619,0.8008048289738431
SVD,1,3,10,0.04281332398719394,0.7980655815050719,0.8174097664543525
cbow,1,3,10,0.11288378916846889,0.5591325732170802,0.545271629778672
skipgram,1,3,10,0.01,0.7999105745584619,0.8008048289738431
SVD,1,4,2,14.38449888287663,0.7943793911007025,0.8189473684210526
cbow,1,4,2,0.01,0.7999105745584619,0.8008048289738431
skipgram,1,4,2,0.01,0.7999105745584619,0.8008048289738431
SVD,1,4,4,0.01,0.7978922716627634,0.8189473684210526
cbow,1,4,4,0.4832930238571752,0.7838139950816008,0.778672032193159
skipgram,1,4,4,0.01,0.7999105745584619,0.8008048289738431
SVD,1,4,6,0.04281332398719394,0.7978922716627634,0.8189473684210526
cbow,1,4,6,0.04281332398719394,0.7551978537894031,0.7364185110663984
skipgram,1,4,6,0.01,0.7999105745584619,0.8008048289738431
SVD,1,4,8,0.01,0.7978922716627634,0.8189473684210526
cbow,1,4,8,0.016237767391887217,0.6498993963782697,0.6438631790744467
skipgram,1,4,8,0.01,0.7952157388777107,0.7947686116700201
SVD,1,4,10,5.455594781168514,0.456440281030445,0.45263157894736844
cbow,1,4,10,0.01,0.6583948133243908,0.6639839034205232
skipgram,1,4,10,0.01,0.7994634473507712,0.8008048289738431
SVD,1,5,2,61.584821106602604,0.7980613893376414,0.8132780082987552
cbow,1,5,2,0.01,0.7999105745584619,0.8008048289738431
skipgram,1,5,2,0.01,0.7999105745584619,0.8008048289738431
SVD,1,5,4,0.016237767391887217,0.7982921763212555,0.8153526970954357
cbow,1,5,4,0.04281332398719394,0.7746478873239436,0.7585513078470825
skipgram,1,5,4,0.01,0.7999105745584619,0.8008048289738431
SVD,1,5,6,0.4832930238571752,0.4855758135241172,0.46887966804979253
cbow,1,5,6,0.016237767391887217,0.6867873910127431,0.6961770623742455
skipgram,1,5,6,0.01,0.7999105745584619,0.8008048289738431
SVD,1,5,8,0.7847599703514611,0.3106392799446111,0.2966804979253112
cbow,1,5,8,0.06951927961775606,0.49139280125195617,0.49899396378269617
skipgram,1,5,8,0.01,0.8008048289738431,0.8028169014084507
SVD,1,5,10,3.359818286283781,0.29840756981306255,0.25311203319502074
cbow,1,5,10,0.016237767391887217,0.4397496087636933,0.4124748490945674
skipgram,1,5,10,0.026366508987303583,0.7880617035546613,0.7927565392354124
SVD,1,6,2,1.2742749857031335,0.7984389348025712,0.8016528925619835
cbow,1,6,2,0.11288378916846889,0.7965571205007824,0.8008048289738431
skipgram,1,6,2,0.01,0.7999105745584619,0.8008048289738431
SVD,1,6,4,0.01,0.7984389348025712,0.8057851239669421
cbow,1,6,4,0.29763514416313175,0.6505700871898055,0.6659959758551308
skipgram,1,6,4,0.01,0.7999105745584619,0.8008048289738431
SVD,1,6,6,8.858667904100823,0.3310376492194674,0.30991735537190085
cbow,1,6,6,0.29763514416313175,0.49944109099038675,0.4949698189134809
skipgram,1,6,6,0.01,0.8003577017661525,0.8008048289738431
SVD,1,6,8,0.06951927961775606,0.3218549127640037,0.29958677685950413
cbow,1,6,8,0.016237767391887217,0.4287949921752739,0.4245472837022133
skipgram,1,6,8,0.016237767391887217,0.7994634473507712,0.8008048289738431
