emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,5.455594781168514,0.49944444444444447,0.505
cbow,1,2,2,0.06951927961775606,0.49833333333333335,0.495
skipgram,1,2,2,1.2742749857031335,0.4988888888888889,0.485
SVD,1,2,4,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,4,61.584821106602604,0.46944444444444444,0.44
skipgram,1,2,4,0.18329807108324356,0.5005555555555555,0.495
SVD,1,2,6,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,6,23.357214690901213,0.4166666666666667,0.37
skipgram,1,2,6,14.38449888287663,0.4938888888888889,0.485
SVD,1,2,8,0.29763514416313175,0.5005555555555555,0.495
cbow,1,2,8,8.858667904100823,0.35333333333333333,0.295
skipgram,1,2,8,37.92690190732246,0.49277777777777776,0.495
SVD,1,2,10,0.11288378916846889,0.5005555555555555,0.495
cbow,1,2,10,8.858667904100823,0.2772222222222222,0.285
skipgram,1,2,10,8.858667904100823,0.43777777777777777,0.44
SVD,1,3,2,0.29763514416313175,0.5005555555555555,0.495
cbow,1,3,2,0.29763514416313175,0.49777777777777776,0.485
skipgram,1,3,2,0.04281332398719394,0.5005555555555555,0.495
SVD,1,3,4,1.2742749857031335,0.5005555555555555,0.495
cbow,1,3,4,61.584821106602604,0.44666666666666666,0.45
skipgram,1,3,4,0.04281332398719394,0.5005555555555555,0.495
SVD,1,3,6,0.7847599703514611,0.5005555555555555,0.495
cbow,1,3,6,14.38449888287663,0.33055555555555555,0.305
skipgram,1,3,6,1.2742749857031335,0.4638888888888889,0.46
SVD,1,3,8,0.01,0.5005555555555555,0.495
cbow,1,3,8,2.06913808111479,0.2477777777777778,0.21
skipgram,1,3,8,23.357214690901213,0.46555555555555556,0.455
SVD,1,3,10,0.01,0.5005555555555555,0.495
cbow,1,3,10,1.2742749857031335,0.18722222222222223,0.21
skipgram,1,3,10,0.026366508987303583,0.4494444444444444,0.445
SVD,1,4,2,0.29763514416313175,0.5005555555555555,0.495
cbow,1,4,2,0.06951927961775606,0.4955555555555556,0.495
skipgram,1,4,2,2.06913808111479,0.49944444444444447,0.495
SVD,1,4,4,0.026366508987303583,0.5005555555555555,0.495
cbow,1,4,4,5.455594781168514,0.4266666666666667,0.405
skipgram,1,4,4,0.016237767391887217,0.5005555555555555,0.495
SVD,1,4,6,0.01,0.5005555555555555,0.495
cbow,1,4,6,14.38449888287663,0.395,0.395
