emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,0.29763514416313175,0.49944444444444447,0.505
cbow,1,2,2,1.2742749857031335,0.4938888888888889,0.5
skipgram,1,2,2,0.01,0.49944444444444447,0.505
SVD,1,2,4,0.7847599703514611,0.49944444444444447,0.505
cbow,1,2,4,0.18329807108324356,0.49944444444444447,0.505
skipgram,1,2,4,0.7847599703514611,0.49944444444444447,0.505
SVD,1,2,6,1.2742749857031335,0.49944444444444447,0.505
cbow,1,2,6,61.584821106602604,0.3861111111111111,0.38
skipgram,1,2,6,1.2742749857031335,0.4716666666666667,0.46
SVD,1,2,8,61.584821106602604,0.48777777777777775,0.475
cbow,1,2,8,61.584821106602604,0.2816666666666667,0.28
skipgram,1,2,8,0.4832930238571752,0.405,0.445
SVD,1,2,10,3.359818286283781,0.5033333333333333,0.505
cbow,1,2,10,2.06913808111479,0.17055555555555554,0.165
skipgram,1,2,10,0.29763514416313175,0.3738888888888889,0.375
SVD,1,3,2,0.04281332398719394,0.49944444444444447,0.505
cbow,1,3,2,0.18329807108324356,0.48277777777777775,0.5
skipgram,1,3,2,8.858667904100823,0.47833333333333333,0.5
SVD,1,3,4,0.7847599703514611,0.49944444444444447,0.505
cbow,1,3,4,2.06913808111479,0.4961111111111111,0.505
skipgram,1,3,4,0.7847599703514611,0.43222222222222223,0.425
SVD,1,3,6,5.455594781168514,0.5027777777777778,0.515
cbow,1,3,6,14.38449888287663,0.15888888888888889,0.115
skipgram,1,3,6,0.7847599703514611,0.46,0.435
SVD,1,3,8,1.2742749857031335,0.49166666666666664,0.51
cbow,1,3,8,2.06913808111479,0.11,0.145
skipgram,1,3,8,0.016237767391887217,0.3861111111111111,0.385
SVD,1,3,10,0.4832930238571752,0.495,0.47
cbow,1,3,10,5.455594781168514,0.23222222222222222,0.255
skipgram,1,3,10,0.01,0.36944444444444446,0.365
SVD,1,4,2,3.359818286283781,0.49833333333333335,0.505
cbow,1,4,2,0.7847599703514611,0.44277777777777777,0.445
skipgram,1,4,2,0.7847599703514611,0.485,0.485
SVD,1,4,4,0.11288378916846889,0.49944444444444447,0.505
cbow,1,4,4,8.858667904100823,0.3622222222222222,0.34
skipgram,1,4,4,0.29763514416313175,0.39444444444444443,0.395
SVD,1,4,6,1.2742749857031335,0.49444444444444446,0.525
cbow,1,4,6,14.38449888287663,0.2561111111111111,0.3
skipgram,1,4,6,0.4832930238571752,0.38222222222222224,0.375
SVD,1,4,8,1.2742749857031335,0.4483333333333333,0.42
