emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,3.359818286283781,0.504751257685858,0.4371859296482412
cbow,1,2,2,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,1,2,2,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,2,4,0.4832930238571752,0.49357182783678033,0.5577889447236181
cbow,1,2,4,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,1,2,4,0.04281332398719394,0.5064281721632197,0.44221105527638194
SVD,1,2,6,2.06913808111479,0.49357182783678033,0.5577889447236181
cbow,1,2,6,2.06913808111479,0.5064281721632197,0.44221105527638194
skipgram,1,2,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,2,8,0.01,0.38121855785354947,0.36683417085427134
cbow,1,2,8,0.29763514416313175,0.5030743432084964,0.457286432160804
skipgram,1,2,8,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,1,2,10,2.06913808111479,0.4986025712688653,0.4120603015075377
cbow,1,2,10,0.01,0.5064281721632197,0.44221105527638194
skipgram,1,2,10,100.0,0.5036333147009503,0.44221105527638194
SVD,1,3,2,1.2742749857031335,0.5030743432084964,0.4371859296482412
cbow,1,3,2,0.7847599703514611,0.5064281721632197,0.44221105527638194
skipgram,1,3,2,0.29763514416313175,0.5064281721632197,0.44221105527638194
SVD,1,3,4,0.01,0.49357182783678033,0.5577889447236181
cbow,1,3,4,0.06951927961775606,0.5064281721632197,0.44221105527638194
skipgram,1,3,4,1.2742749857031335,0.5064281721632197,0.44221105527638194
SVD,1,3,6,0.016237767391887217,0.46674119619899385,0.5678391959798995
cbow,1,3,6,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,1,3,6,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,1,3,8,2.06913808111479,0.44494130799329235,0.39195979899497485
cbow,1,3,8,0.04281332398719394,0.5064281721632197,0.44221105527638194
skipgram,1,3,8,8.858667904100823,0.5064281721632197,0.44221105527638194
SVD,1,3,10,5.455594781168514,0.3946338736724427,0.35678391959798994
cbow,1,3,10,0.7847599703514611,0.4991615427613192,0.4120603015075377
skipgram,1,3,10,37.92690190732246,0.5030743432084964,0.44221105527638194
SVD,1,4,2,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,1,4,2,0.18329807108324356,0.5064281721632197,0.44221105527638194
skipgram,1,4,2,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,4,4,1.2742749857031335,0.4762437115707099,0.5376884422110553
cbow,1,4,4,3.359818286283781,0.5064281721632197,0.44221105527638194
skipgram,1,4,4,0.11288378916846889,0.5064281721632197,0.44221105527638194
SVD,1,4,6,1.2742749857031335,0.3722750139742873,0.32160804020100503
cbow,1,4,6,14.38449888287663,0.5064281721632197,0.44221105527638194
skipgram,1,4,6,23.357214690901213,0.5064281721632197,0.44221105527638194
SVD,1,4,8,5.455594781168514,0.39016210173281163,0.32160804020100503
cbow,1,4,8,0.01,0.5064281721632197,0.44221105527638194
skipgram,1,4,8,23.357214690901213,0.5064281721632197,0.44221105527638194
SVD,1,4,10,0.11288378916846889,0.3303521520402459,0.3065326633165829
cbow,1,4,10,0.01,0.5064281721632197,0.44221105527638194
skipgram,1,4,10,61.584821106602604,0.49692565679150363,0.4371859296482412
SVD,1,5,2,0.016237767391887217,0.49357182783678033,0.5577889447236181
cbow,1,5,2,0.11288378916846889,0.5064281721632197,0.44221105527638194
skipgram,1,5,2,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,5,4,0.4832930238571752,0.37171604248183343,0.32663316582914576
cbow,1,5,4,5.455594781168514,0.5064281721632197,0.44221105527638194
skipgram,1,5,4,14.38449888287663,0.5064281721632197,0.44221105527638194
SVD,1,5,6,8.858667904100823,0.4622694242593628,0.39195979899497485
cbow,1,5,6,0.026366508987303583,0.5064281721632197,0.44221105527638194
skipgram,1,5,6,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,1,5,8,0.18329807108324356,0.5019564002235886,0.4371859296482412
cbow,1,5,8,5.455594781168514,0.5036333147009503,0.4371859296482412
skipgram,1,5,8,0.06951927961775606,0.5064281721632197,0.44221105527638194
SVD,1,5,10,0.06951927961775606,0.4946897708216881,0.4321608040201005
cbow,1,5,10,1.2742749857031335,0.4656232532140861,0.40703517587939697
skipgram,1,5,10,0.18329807108324356,0.5064281721632197,0.44221105527638194
SVD,1,6,2,0.29763514416313175,0.6031302403577418,0.6582914572864321
cbow,1,6,2,5.455594781168514,0.5030743432084964,0.44221105527638194
skipgram,1,6,2,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,6,4,0.29763514416313175,0.44829513694801565,0.3869346733668342
cbow,1,6,4,0.4832930238571752,0.5064281721632197,0.44221105527638194
skipgram,1,6,4,23.357214690901213,0.5064281721632197,0.44221105527638194
SVD,1,6,6,5.455594781168514,0.5025153717160424,0.44221105527638194
cbow,1,6,6,0.016237767391887217,0.5064281721632197,0.44221105527638194
skipgram,1,6,6,37.92690190732246,0.5064281721632197,0.44221105527638194
SVD,1,6,8,0.11288378916846889,0.4605925097820011,0.3969849246231156
cbow,1,6,8,1.2742749857031335,0.5064281721632197,0.44221105527638194
skipgram,1,6,8,0.4832930238571752,0.5064281721632197,0.44221105527638194
SVD,1,6,10,0.06951927961775606,0.4891000558971492,0.4371859296482412
cbow,1,6,10,0.4832930238571752,0.4326439351593069,0.38190954773869346
skipgram,1,6,10,2.06913808111479,0.4941307993292342,0.4321608040201005
SVD,1,7,2,0.4832930238571752,0.47680268306316376,0.4120603015075377
cbow,1,7,2,0.11288378916846889,0.5019564002235886,0.4371859296482412
skipgram,1,7,2,0.7847599703514611,0.5064281721632197,0.44221105527638194
SVD,1,7,4,0.18329807108324356,0.47680268306316376,0.4120603015075377
cbow,1,7,4,0.29763514416313175,0.5064281721632197,0.44221105527638194
skipgram,1,7,4,2.06913808111479,0.5064281721632197,0.44221105527638194
SVD,1,7,6,0.06951927961775606,0.4673001676914477,0.37185929648241206
cbow,1,7,6,0.06951927961775606,0.5064281721632197,0.44221105527638194
skipgram,1,7,6,5.455594781168514,0.5064281721632197,0.44221105527638194
SVD,1,7,8,0.016237767391887217,0.6422582448295137,0.7135678391959799
cbow,1,7,8,0.11288378916846889,0.5064281721632197,0.44221105527638194
skipgram,1,7,8,0.01,0.5064281721632197,0.44221105527638194
SVD,1,7,10,0.016237767391887217,0.7881498043599776,0.8140703517587939
