emb_type,m,n,k,best_C,train_acc,test_acc
SVD,1,2,2,100.0,0.5009230769230769,0.49171270718232046
cbow,1,2,2,37.92690190732246,0.49666666666666665,0.495
skipgram,1,2,2,5.455594781168514,0.49333333333333335,0.475
SVD,1,2,4,100.0,0.4990769230769231,0.5082872928176796
cbow,1,2,4,3.359818286283781,0.40166666666666667,0.365
skipgram,1,2,4,8.858667904100823,0.4533333333333333,0.46
SVD,1,2,6,8.858667904100823,0.4990769230769231,0.5082872928176796
cbow,1,2,6,61.584821106602604,0.285,0.26
skipgram,1,2,6,2.06913808111479,0.4116666666666667,0.38
SVD,1,2,8,8.858667904100823,0.4990769230769231,0.5082872928176796
cbow,1,2,8,5.455594781168514,0.21333333333333335,0.24
skipgram,1,2,8,8.858667904100823,0.37666666666666665,0.36
SVD,1,2,10,8.858667904100823,0.4990769230769231,0.5082872928176796
cbow,1,2,10,23.357214690901213,0.2677777777777778,0.275
skipgram,1,2,10,5.455594781168514,0.3638888888888889,0.29
SVD,1,3,2,1.2742749857031335,0.5026548672566372,0.47619047619047616
cbow,1,3,2,37.92690190732246,0.46555555555555556,0.465
skipgram,1,3,2,1.2742749857031335,0.485,0.475
SVD,1,3,4,3.359818286283781,0.5026548672566372,0.47619047619047616
cbow,1,3,4,61.584821106602604,0.3977777777777778,0.38
skipgram,1,3,4,3.359818286283781,0.4111111111111111,0.4
SVD,1,3,6,3.359818286283781,0.5026548672566372,0.47619047619047616
cbow,1,3,6,2.06913808111479,0.2088888888888889,0.205
skipgram,1,3,6,8.858667904100823,0.38555555555555554,0.39
SVD,1,3,8,1.2742749857031335,0.5026548672566372,0.47619047619047616
cbow,1,3,8,14.38449888287663,0.17777777777777778,0.16
skipgram,1,3,8,3.359818286283781,0.39166666666666666,0.395
SVD,1,3,10,0.016237767391887217,0.5026548672566372,0.47619047619047616
cbow,1,3,10,23.357214690901213,0.08444444444444445,0.12
skipgram,1,3,10,0.7847599703514611,0.3422222222222222,0.345
SVD,1,4,2,0.7847599703514611,0.4953161592505855,0.5421052631578948
cbow,1,4,2,0.7847599703514611,0.475,0.47
skipgram,1,4,2,2.06913808111479,0.4716666666666667,0.485
SVD,1,4,4,0.4832930238571752,0.4953161592505855,0.5421052631578948
cbow,1,4,4,2.06913808111479,0.4305555555555556,0.395
skipgram,1,4,4,0.7847599703514611,0.49166666666666664,0.48
SVD,1,4,6,0.04281332398719394,0.4953161592505855,0.5421052631578948
cbow,1,4,6,14.38449888287663,0.185,0.2
skipgram,1,4,6,0.18329807108324356,0.37333333333333335,0.365
SVD,1,4,8,100.0,0.3588992974238876,0.3368421052631579
cbow,1,4,8,3.359818286283781,0.08333333333333333,0.085
skipgram,1,4,8,0.11288378916846889,0.4083333333333333,0.435
SVD,1,4,10,0.7847599703514611,0.32786885245901637,0.28421052631578947
cbow,1,4,10,14.38449888287663,0.11222222222222222,0.1
skipgram,1,4,10,3.359818286283781,0.3488888888888889,0.37
SVD,1,5,2,0.7847599703514611,0.5014425851125216,0.48704663212435234
cbow,1,5,2,23.357214690901213,0.4722222222222222,0.46
skipgram,1,5,2,3.359818286283781,0.465,0.475
SVD,1,5,4,0.01,0.5014425851125216,0.48704663212435234
cbow,1,5,4,14.38449888287663,0.2511111111111111,0.275
skipgram,1,5,4,0.7847599703514611,0.37333333333333335,0.375
SVD,1,5,6,2.06913808111479,0.34968263127524524,0.34196891191709844
cbow,1,5,6,2.06913808111479,0.09555555555555556,0.08
skipgram,1,5,6,0.18329807108324356,0.4083333333333333,0.375
SVD,1,5,8,0.04281332398719394,0.3577611079053664,0.35751295336787564
cbow,1,5,8,14.38449888287663,0.435,0.41
skipgram,1,5,8,1.2742749857031335,0.35333333333333333,0.37
SVD,1,5,10,5.455594781168514,0.4275822273514137,0.44041450777202074
cbow,1,5,10,5.455594781168514,0.41944444444444445,0.415
skipgram,1,5,10,0.4832930238571752,0.3655555555555556,0.37
SVD,1,6,2,0.29763514416313175,0.5028702640642939,0.4742268041237113
cbow,1,6,2,23.357214690901213,0.4738888888888889,0.48
skipgram,1,6,2,8.858667904100823,0.4722222222222222,0.465
SVD,1,6,4,5.455594781168514,0.3978185993111366,0.4484536082474227
cbow,1,6,4,37.92690190732246,0.2827777777777778,0.265
skipgram,1,6,4,0.29763514416313175,0.4822222222222222,0.47
SVD,1,6,6,1.2742749857031335,0.3978185993111366,0.44329896907216493
cbow,1,6,6,1.2742749857031335,0.49722222222222223,0.505
skipgram,1,6,6,0.11288378916846889,0.44333333333333336,0.46
SVD,1,6,8,2.06913808111479,0.4517795637198622,0.4639175257731959
cbow,1,6,8,1.2742749857031335,0.4211111111111111,0.44
skipgram,1,6,8,14.38449888287663,0.37444444444444447,0.32
SVD,1,6,10,0.026366508987303583,0.4833524684270953,0.5154639175257731
cbow,1,6,10,8.858667904100823,0.49944444444444447,0.505
skipgram,1,6,10,2.06913808111479,0.33611111111111114,0.38
SVD,1,7,2,0.11288378916846889,0.4879725085910653,0.4639175257731959
cbow,1,7,2,14.38449888287663,0.30833333333333335,0.34
skipgram,1,7,2,0.29763514416313175,0.48777777777777775,0.475
SVD,1,7,4,0.7847599703514611,0.43127147766323026,0.4175257731958763
cbow,1,7,4,23.357214690901213,0.4922222222222222,0.49
skipgram,1,7,4,3.359818286283781,0.45666666666666667,0.455
SVD,1,7,6,2.06913808111479,0.4736540664375716,0.4587628865979381
cbow,1,7,6,1.2742749857031335,0.49944444444444447,0.505
skipgram,1,7,6,0.4832930238571752,0.43,0.45
SVD,1,7,8,0.06951927961775606,0.490836197021764,0.4896907216494845
cbow,1,7,8,14.38449888287663,0.49944444444444447,0.505
skipgram,1,7,8,0.4832930238571752,0.44666666666666666,0.46
SVD,1,7,10,0.18329807108324356,0.49828178694158076,0.5051546391752577
cbow,1,7,10,100.0,0.49944444444444447,0.505
skipgram,1,7,10,37.92690190732246,0.3211111111111111,0.34
SVD,1,8,2,0.7847599703514611,0.47395535203205497,0.5128205128205128
cbow,1,8,2,100.0,0.5155555555555555,0.515
skipgram,1,8,2,8.858667904100823,0.4961111111111111,0.495
SVD,1,8,4,0.29763514416313175,0.47681740125930167,0.4564102564102564
cbow,1,8,4,14.38449888287663,0.5,0.505
skipgram,1,8,4,0.29763514416313175,0.47444444444444445,0.485
SVD,1,8,6,0.04281332398719394,0.4939896966227819,0.4717948717948718
cbow,1,8,6,23.357214690901213,0.49944444444444447,0.505
skipgram,1,8,6,14.38449888287663,0.44277777777777777,0.45
SVD,1,8,8,0.026366508987303583,0.4979965655409273,0.47692307692307695
cbow,1,8,8,5.455594781168514,0.49944444444444447,0.505
skipgram,1,8,8,8.858667904100823,0.3638888888888889,0.36
SVD,1,8,10,1.2742749857031335,0.4997137950772753,0.49230769230769234
cbow,1,8,10,5.455594781168514,0.49944444444444447,0.505
skipgram,1,8,10,14.38449888287663,0.29888888888888887,0.295
SVD,2,2,2,0.4832930238571752,0.4990769230769231,0.5082872928176796
cbow,2,2,2,2.06913808111479,0.3,0.3
skipgram,2,2,2,14.38449888287663,0.5005555555555555,0.495
SVD,2,2,4,2.06913808111479,0.4990769230769231,0.5082872928176796
cbow,2,2,4,0.016237767391887217,0.33611111111111114,0.32
skipgram,2,2,4,3.359818286283781,0.39222222222222225,0.4
SVD,2,2,6,14.38449888287663,0.4990769230769231,0.5082872928176796
cbow,2,2,6,0.026366508987303583,0.27111111111111114,0.26
skipgram,2,2,6,5.455594781168514,0.45111111111111113,0.455
SVD,2,2,8,3.359818286283781,0.4990769230769231,0.5082872928176796
cbow,2,2,8,0.04281332398719394,0.47555555555555556,0.48
skipgram,2,2,8,0.06951927961775606,0.44555555555555554,0.43
SVD,2,2,10,0.18329807108324356,0.4990769230769231,0.5082872928176796
cbow,2,2,10,0.04281332398719394,0.4961111111111111,0.5
skipgram,2,2,10,0.18329807108324356,0.37833333333333335,0.37
SVD,2,3,2,1.2742749857031335,0.5008849557522124,0.47619047619047616
cbow,2,3,2,0.18329807108324356,0.34555555555555556,0.37
skipgram,2,3,2,5.455594781168514,0.47833333333333333,0.465
SVD,2,3,4,14.38449888287663,0.5026548672566372,0.47619047619047616
cbow,2,3,4,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,3,4,5.455594781168514,0.49333333333333335,0.49
SVD,2,3,6,3.359818286283781,0.5026548672566372,0.47619047619047616
cbow,2,3,6,0.01,0.49944444444444447,0.505
skipgram,2,3,6,37.92690190732246,0.4761111111111111,0.445
SVD,2,3,8,0.026366508987303583,0.5026548672566372,0.47619047619047616
cbow,2,3,8,2.06913808111479,0.49944444444444447,0.505
skipgram,2,3,8,0.29763514416313175,0.4661111111111111,0.47
SVD,2,3,10,0.01,0.5026548672566372,0.47619047619047616
cbow,2,3,10,14.38449888287663,0.49944444444444447,0.505
skipgram,2,3,10,0.04281332398719394,0.46555555555555556,0.49
SVD,2,4,2,0.11288378916846889,0.4953161592505855,0.5421052631578948
cbow,2,4,2,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,4,2,37.92690190732246,0.2511111111111111,0.26
SVD,2,4,4,0.11288378916846889,0.4953161592505855,0.5421052631578948
cbow,2,4,4,0.01,0.49944444444444447,0.505
skipgram,2,4,4,0.4832930238571752,0.4905555555555556,0.49
SVD,2,4,6,0.11288378916846889,0.4953161592505855,0.5421052631578948
cbow,2,4,6,0.016237767391887217,0.49944444444444447,0.505
skipgram,2,4,6,8.858667904100823,0.4411111111111111,0.47
SVD,2,4,8,23.357214690901213,0.41569086651053866,0.4105263157894737
cbow,2,4,8,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,4,8,0.11288378916846889,0.35444444444444445,0.355
SVD,2,4,10,0.7847599703514611,0.4028103044496487,0.35789473684210527
cbow,2,4,10,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,4,10,0.4832930238571752,0.2544444444444444,0.255
SVD,2,5,2,3.359818286283781,0.5014425851125216,0.48704663212435234
cbow,2,5,2,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,5,2,37.92690190732246,0.3561111111111111,0.37
SVD,2,5,4,0.7847599703514611,0.5014425851125216,0.48704663212435234
cbow,2,5,4,0.026366508987303583,0.49944444444444447,0.505
skipgram,2,5,4,0.04281332398719394,0.45944444444444443,0.445
SVD,2,5,6,0.7847599703514611,0.44143104443162146,0.39896373056994816
cbow,2,5,6,0.06951927961775606,0.49944444444444447,0.505
skipgram,2,5,6,0.4832930238571752,0.40166666666666667,0.385
SVD,2,5,8,0.11288378916846889,0.41546451240623195,0.41450777202072536
cbow,2,5,8,0.06951927961775606,0.49944444444444447,0.505
skipgram,2,5,8,0.11288378916846889,0.18055555555555555,0.15
SVD,2,5,10,0.7847599703514611,0.463935372186959,0.49222797927461137
cbow,2,5,10,0.026366508987303583,0.49944444444444447,0.505
skipgram,2,5,10,0.29763514416313175,0.27,0.235
SVD,2,6,2,2.06913808111479,0.5028702640642939,0.4742268041237113
cbow,2,6,2,0.04281332398719394,0.49944444444444447,0.505
skipgram,2,6,2,61.584821106602604,0.46166666666666667,0.45
SVD,2,6,4,3.359818286283781,0.4506314580941447,0.42783505154639173
cbow,2,6,4,0.04281332398719394,0.49944444444444447,0.505
skipgram,2,6,4,5.455594781168514,0.25833333333333336,0.265
SVD,2,6,6,5.455594781168514,0.4087256027554535,0.4329896907216495
cbow,2,6,6,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,6,6,0.06951927961775606,0.40166666666666667,0.425
SVD,2,6,8,0.7847599703514611,0.4695752009184845,0.5
cbow,2,6,8,0.18329807108324356,0.49944444444444447,0.505
skipgram,2,6,8,0.18329807108324356,0.2838888888888889,0.305
SVD,2,6,10,0.11288378916846889,0.4873708381171068,0.5154639175257731
cbow,2,6,10,0.11288378916846889,0.49944444444444447,0.505
skipgram,2,6,10,0.11288378916846889,0.4955555555555556,0.51
SVD,2,7,2,0.4832930238571752,0.4879725085910653,0.4896907216494845
cbow,2,7,2,0.01,0.49944444444444447,0.505
skipgram,2,7,2,5.455594781168514,0.34055555555555556,0.405
SVD,2,7,4,3.359818286283781,0.4352806414662085,0.4381443298969072
cbow,2,7,4,0.4832930238571752,0.49944444444444447,0.505
skipgram,2,7,4,2.06913808111479,0.3283333333333333,0.32
SVD,2,7,6,0.29763514416313175,0.4702176403207331,0.5051546391752577
cbow,2,7,6,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,7,6,2.06913808111479,0.25666666666666665,0.265
SVD,2,7,8,3.359818286283781,0.4868270332187858,0.4896907216494845
cbow,2,7,8,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,7,8,0.016237767391887217,0.4872222222222222,0.48
SVD,2,7,10,0.04281332398719394,0.49713631156930127,0.5
cbow,2,7,10,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,7,10,0.04281332398719394,0.49944444444444447,0.505
SVD,2,8,2,2.06913808111479,0.4722381224957069,0.47692307692307695
cbow,2,8,2,0.18329807108324356,0.49944444444444447,0.505
skipgram,2,8,2,3.359818286283781,0.4038888888888889,0.405
SVD,2,8,4,0.18329807108324356,0.4693760732684602,0.4307692307692308
cbow,2,8,4,0.18329807108324356,0.49944444444444447,0.505
skipgram,2,8,4,23.357214690901213,0.24444444444444444,0.24
SVD,2,8,6,2.06913808111479,0.48254149971379506,0.4564102564102564
cbow,2,8,6,1.2742749857031335,0.49944444444444447,0.505
skipgram,2,8,6,8.858667904100823,0.4866666666666667,0.48
SVD,2,8,8,0.016237767391887217,0.5014310246136233,0.48205128205128206
cbow,2,8,8,0.29763514416313175,0.49944444444444447,0.505
skipgram,2,8,8,0.11288378916846889,0.49944444444444447,0.505
SVD,2,8,10,0.016237767391887217,0.5014310246136233,0.48205128205128206
cbow,2,8,10,0.016237767391887217,0.49944444444444447,0.505
