emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,8.858667904100823,0.16111111111111112,0.21666666666666667
skipgram,1,2,2,14.38449888287663,0.19074074074074074,0.08333333333333333
svd,1,2,2,100.0,0.17037037037037037,0.13333333333333333
cbow,1,2,4,23.357214690901213,0.16111111111111112,0.21666666666666667
skipgram,1,2,4,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,1,2,4,2.06913808111479,0.17222222222222222,0.11666666666666667
cbow,1,2,6,14.38449888287663,0.16111111111111112,0.21666666666666667
skipgram,1,2,6,14.38449888287663,0.17592592592592593,0.08333333333333333
svd,1,2,6,8.858667904100823,0.14814814814814814,0.16666666666666666
cbow,1,2,8,1.2742749857031335,0.16296296296296298,0.21666666666666667
skipgram,1,2,8,2.06913808111479,0.17592592592592593,0.08333333333333333
svd,1,2,8,3.359818286283781,0.15185185185185185,0.11666666666666667
cbow,1,2,10,14.38449888287663,0.12777777777777777,0.13333333333333333
skipgram,1,2,10,5.455594781168514,0.17592592592592593,0.08333333333333333
svd,1,2,10,5.455594781168514,0.1574074074074074,0.15
cbow,1,3,2,0.7847599703514611,0.16111111111111112,0.21666666666666667
skipgram,1,3,2,14.38449888287663,0.17592592592592593,0.08333333333333333
svd,1,3,2,0.7847599703514611,0.14814814814814814,0.16666666666666666
cbow,1,3,4,37.92690190732246,0.16111111111111112,0.21666666666666667
skipgram,1,3,4,37.92690190732246,0.17592592592592593,0.08333333333333333
svd,1,3,4,5.455594781168514,0.17962962962962964,0.2
cbow,1,3,6,23.357214690901213,0.16111111111111112,0.21666666666666667
skipgram,1,3,6,0.7847599703514611,0.17592592592592593,0.08333333333333333
svd,1,3,6,14.38449888287663,0.16111111111111112,0.21666666666666667
cbow,1,3,8,3.359818286283781,0.17592592592592593,0.2
skipgram,1,3,8,23.357214690901213,0.17592592592592593,0.08333333333333333
svd,1,3,8,23.357214690901213,0.16111111111111112,0.21666666666666667
cbow,1,3,10,37.92690190732246,0.11666666666666667,0.16666666666666666
skipgram,1,3,10,100.0,0.1685185185185185,0.06666666666666667
svd,1,3,10,0.7847599703514611,0.16111111111111112,0.21666666666666667
cbow,1,4,2,23.357214690901213,0.16111111111111112,0.21666666666666667
skipgram,1,4,2,1.2742749857031335,0.17592592592592593,0.08333333333333333
svd,1,4,2,14.38449888287663,0.16111111111111112,0.21666666666666667
cbow,1,4,4,1.2742749857031335,0.13703703703703704,0.16666666666666666
skipgram,1,4,4,3.359818286283781,0.17592592592592593,0.08333333333333333
svd,1,4,4,14.38449888287663,0.16111111111111112,0.21666666666666667
cbow,1,4,6,23.357214690901213,0.15925925925925927,0.21666666666666667
skipgram,1,4,6,61.584821106602604,0.1685185185185185,0.06666666666666667
svd,1,4,6,23.357214690901213,0.16111111111111112,0.21666666666666667
cbow,1,4,8,100.0,0.1,0.16666666666666666
skipgram,1,4,8,8.858667904100823,0.1685185185185185,0.1
svd,1,4,8,2.06913808111479,0.16111111111111112,0.21666666666666667
cbow,1,4,10,37.92690190732246,0.11851851851851852,0.18333333333333332
skipgram,1,4,10,2.06913808111479,0.13333333333333333,0.25
svd,1,4,10,37.92690190732246,0.16111111111111112,0.21666666666666667
cbow,1,5,2,14.38449888287663,0.17037037037037037,0.18333333333333332
skipgram,1,5,2,8.858667904100823,0.17037037037037037,0.13333333333333333
svd,1,5,2,3.359818286283781,0.16111111111111112,0.21666666666666667
cbow,1,5,4,14.38449888287663,0.15,0.21666666666666667
skipgram,1,5,4,23.357214690901213,0.17037037037037037,0.13333333333333333
svd,1,5,4,8.858667904100823,0.16111111111111112,0.21666666666666667
cbow,1,5,6,37.92690190732246,0.12222222222222222,0.16666666666666666
skipgram,1,5,6,5.455594781168514,0.1574074074074074,0.13333333333333333
svd,1,5,6,37.92690190732246,0.16111111111111112,0.21666666666666667
cbow,1,5,8,100.0,0.15185185185185185,0.25
skipgram,1,5,8,0.4832930238571752,0.15,0.2
svd,1,5,8,0.11288378916846889,0.18333333333333332,0.21666666666666667
cbow,1,5,10,100.0,0.1259259259259259,0.16666666666666666
skipgram,1,5,10,23.357214690901213,0.1925925925925926,0.15
svd,1,5,10,0.7847599703514611,0.1648148148148148,0.21666666666666667
cbow,1,6,2,61.584821106602604,0.13518518518518519,0.2
skipgram,1,6,2,100.0,0.17037037037037037,0.13333333333333333
svd,1,6,2,5.455594781168514,0.16111111111111112,0.21666666666666667
cbow,1,6,4,0.11288378916846889,0.16111111111111112,0.21666666666666667
skipgram,1,6,4,3.359818286283781,0.17037037037037037,0.13333333333333333
svd,1,6,4,14.38449888287663,0.16296296296296298,0.21666666666666667
cbow,1,6,6,100.0,0.10555555555555556,0.1
skipgram,1,6,6,0.18329807108324356,0.13703703703703704,0.08333333333333333
svd,1,6,6,1.2742749857031335,0.16296296296296298,0.21666666666666667
cbow,1,6,8,61.584821106602604,0.1388888888888889,0.18333333333333332
skipgram,1,6,8,8.858667904100823,0.15555555555555556,0.2
svd,1,6,8,0.18329807108324356,0.17592592592592593,0.21666666666666667
cbow,1,6,10,37.92690190732246,0.1259259259259259,0.1
skipgram,1,6,10,0.11288378916846889,0.1685185185185185,0.2
svd,1,6,10,5.455594781168514,0.1814814814814815,0.23333333333333334
cbow,1,7,2,0.29763514416313175,0.1648148148148148,0.23333333333333334
skipgram,1,7,2,5.455594781168514,0.17037037037037037,0.13333333333333333
svd,1,7,2,23.357214690901213,0.16111111111111112,0.21666666666666667
cbow,1,7,4,3.359818286283781,0.1425925925925926,0.16666666666666666
skipgram,1,7,4,100.0,0.1685185185185185,0.13333333333333333
svd,1,7,4,3.359818286283781,0.16111111111111112,0.21666666666666667
cbow,1,7,6,8.858667904100823,0.14629629629629629,0.1
skipgram,1,7,6,5.455594781168514,0.17407407407407408,0.13333333333333333
svd,1,7,6,0.18329807108324356,0.2351851851851852,0.23333333333333334
cbow,1,7,8,23.357214690901213,0.07037037037037037,0.13333333333333333
skipgram,1,7,8,37.92690190732246,0.12407407407407407,0.21666666666666667
svd,1,7,8,37.92690190732246,0.2462962962962963,0.36666666666666664
cbow,1,7,10,61.584821106602604,0.06111111111111111,0.06666666666666667
skipgram,1,7,10,23.357214690901213,0.1685185185185185,0.13333333333333333
svd,1,7,10,0.18329807108324356,0.1685185185185185,0.18333333333333332
cbow,1,8,2,23.357214690901213,0.12222222222222222,0.05
skipgram,1,8,2,37.92690190732246,0.17037037037037037,0.13333333333333333
svd,1,8,2,3.359818286283781,0.16111111111111112,0.21666666666666667
cbow,1,8,4,3.359818286283781,0.16296296296296298,0.13333333333333333
skipgram,1,8,4,100.0,0.17037037037037037,0.13333333333333333
svd,1,8,4,0.18329807108324356,0.16111111111111112,0.21666666666666667
cbow,1,8,6,37.92690190732246,0.08333333333333333,0.13333333333333333
skipgram,1,8,6,8.858667904100823,0.1537037037037037,0.21666666666666667
svd,1,8,6,8.858667904100823,0.24074074074074073,0.35
cbow,1,8,8,23.357214690901213,0.04814814814814815,0.11666666666666667
skipgram,1,8,8,23.357214690901213,0.14814814814814814,0.11666666666666667
svd,1,8,8,0.29763514416313175,0.24074074074074073,0.38333333333333336
cbow,1,8,10,37.92690190732246,0.04259259259259259,0.03333333333333333
skipgram,1,8,10,1.2742749857031335,0.1648148148148148,0.18333333333333332
svd,1,8,10,14.38449888287663,0.1962962962962963,0.31666666666666665
cbow,2,2,2,2.06913808111479,0.17592592592592593,0.08333333333333333
skipgram,2,2,2,1.2742749857031335,0.16111111111111112,0.21666666666666667
svd,2,2,2,3.359818286283781,0.17222222222222222,0.11666666666666667
cbow,2,2,4,0.18329807108324356,0.15185185185185185,0.18333333333333332
skipgram,2,2,4,14.38449888287663,0.16111111111111112,0.21666666666666667
svd,2,2,4,5.455594781168514,0.1574074074074074,0.25
cbow,2,2,6,1.2742749857031335,0.15925925925925927,0.25
skipgram,2,2,6,0.29763514416313175,0.16111111111111112,0.2
svd,2,2,6,2.06913808111479,0.16666666666666666,0.16666666666666666
cbow,2,2,8,23.357214690901213,0.17037037037037037,0.08333333333333333
skipgram,2,2,8,1.2742749857031335,0.16111111111111112,0.21666666666666667
svd,2,2,8,3.359818286283781,0.17037037037037037,0.21666666666666667
cbow,2,2,10,0.4832930238571752,0.1574074074074074,0.16666666666666666
skipgram,2,2,10,0.18329807108324356,0.20925925925925926,0.21666666666666667
svd,2,2,10,8.858667904100823,0.17222222222222222,0.15
cbow,2,3,2,5.455594781168514,0.18333333333333332,0.08333333333333333
skipgram,2,3,2,37.92690190732246,0.16111111111111112,0.21666666666666667
svd,2,3,2,14.38449888287663,0.17222222222222222,0.11666666666666667
cbow,2,3,4,61.584821106602604,0.12037037037037036,0.21666666666666667
skipgram,2,3,4,8.858667904100823,0.16111111111111112,0.21666666666666667
svd,2,3,4,8.858667904100823,0.16111111111111112,0.21666666666666667
cbow,2,3,6,0.29763514416313175,0.1574074074074074,0.25
skipgram,2,3,6,1.2742749857031335,0.17777777777777778,0.11666666666666667
svd,2,3,6,23.357214690901213,0.15925925925925927,0.21666666666666667
cbow,2,3,8,0.29763514416313175,0.1574074074074074,0.25
skipgram,2,3,8,37.92690190732246,0.17407407407407408,0.08333333333333333
svd,2,3,8,2.06913808111479,0.16111111111111112,0.21666666666666667
cbow,2,3,10,0.18329807108324356,0.1574074074074074,0.25
skipgram,2,3,10,0.7847599703514611,0.16296296296296298,0.2
svd,2,3,10,8.858667904100823,0.16111111111111112,0.21666666666666667
cbow,2,4,2,14.38449888287663,0.1574074074074074,0.25
skipgram,2,4,2,23.357214690901213,0.2037037037037037,0.3333333333333333
