emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.01,0.8296296296296296,0.8666666666666667
skipgram,1,2,2,0.01,0.8296296296296296,0.8666666666666667
svd,1,2,2,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,4,0.01,0.8296296296296296,0.8666666666666667
skipgram,1,2,4,0.01,0.8296296296296296,0.8666666666666667
svd,1,2,4,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,6,0.7847599703514611,0.8296296296296296,0.8666666666666667
skipgram,1,2,6,0.01,0.8296296296296296,0.8666666666666667
svd,1,2,6,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,8,61.584821106602604,0.8296296296296296,0.8666666666666667
skipgram,1,2,8,61.584821106602604,0.8296296296296296,0.8666666666666667
svd,1,2,8,0.01,0.8296296296296296,0.8666666666666667
cbow,1,2,10,100.0,0.8240740740740741,0.8666666666666667
skipgram,1,2,10,8.858667904100823,0.8296296296296296,0.8666666666666667
svd,1,2,10,0.01,0.8296296296296296,0.8666666666666667
cbow,1,3,2,1.2742749857031335,0.8240740740740741,0.9166666666666666
skipgram,1,3,2,0.01,0.8296296296296296,0.8666666666666667
svd,1,3,2,2.06913808111479,0.8296296296296296,0.8666666666666667
cbow,1,3,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,3,4,0.01,0.8296296296296296,0.8666666666666667
svd,1,3,4,0.01,0.8296296296296296,0.8666666666666667
cbow,1,3,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,3,6,0.01,0.8296296296296296,0.8666666666666667
svd,1,3,6,5.455594781168514,0.8296296296296296,0.8666666666666667
cbow,1,3,8,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,3,8,0.01,0.8296296296296296,0.8666666666666667
svd,1,3,8,0.04281332398719394,0.8296296296296296,0.8666666666666667
cbow,1,3,10,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,3,10,100.0,0.8240740740740741,0.8666666666666667
svd,1,3,10,0.01,0.8296296296296296,0.8666666666666667
cbow,1,4,2,61.584821106602604,0.8018518518518518,0.8833333333333333
skipgram,1,4,2,8.858667904100823,0.8296296296296296,0.8666666666666667
svd,1,4,2,5.455594781168514,0.8296296296296296,0.8666666666666667
cbow,1,4,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,4,4,0.01,0.8296296296296296,0.8666666666666667
svd,1,4,4,5.455594781168514,0.8296296296296296,0.8666666666666667
cbow,1,4,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,4,6,0.01,0.8296296296296296,0.8666666666666667
svd,1,4,6,2.06913808111479,0.8296296296296296,0.8666666666666667
cbow,1,4,8,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,4,8,0.01,0.8296296296296296,0.8666666666666667
svd,1,4,8,0.06951927961775606,0.8296296296296296,0.8666666666666667
cbow,1,4,10,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,4,10,0.01,0.8240740740740741,0.9166666666666666
svd,1,4,10,0.18329807108324356,0.8296296296296296,0.8666666666666667
cbow,1,5,2,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,5,2,0.06951927961775606,0.8240740740740741,0.9166666666666666
svd,1,5,2,2.06913808111479,0.8296296296296296,0.8666666666666667
cbow,1,5,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,5,4,0.01,0.8240740740740741,0.9166666666666666
svd,1,5,4,1.2742749857031335,0.8296296296296296,0.8666666666666667
cbow,1,5,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,5,6,0.01,0.8240740740740741,0.9166666666666666
svd,1,5,6,8.858667904100823,0.8296296296296296,0.8666666666666667
cbow,1,5,8,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,5,8,0.01,0.8240740740740741,0.9166666666666666
svd,1,5,8,8.858667904100823,0.8296296296296296,0.8666666666666667
cbow,1,5,10,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,5,10,0.01,0.8240740740740741,0.9166666666666666
svd,1,5,10,0.11288378916846889,0.8296296296296296,0.8666666666666667
cbow,1,6,2,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,6,2,0.01,0.8240740740740741,0.9166666666666666
svd,1,6,2,0.01,0.8296296296296296,0.8666666666666667
cbow,1,6,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,6,4,5.455594781168514,0.8240740740740741,0.9166666666666666
svd,1,6,4,23.357214690901213,0.8296296296296296,0.8666666666666667
cbow,1,6,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,6,6,0.01,0.8240740740740741,0.9166666666666666
svd,1,6,6,0.04281332398719394,0.8296296296296296,0.8666666666666667
cbow,1,6,8,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,6,8,0.01,0.8222222222222222,0.9166666666666666
svd,1,6,8,0.18329807108324356,0.8296296296296296,0.8666666666666667
cbow,1,6,10,0.01,0.5555555555555556,0.5
skipgram,1,6,10,23.357214690901213,0.7185185185185186,0.7833333333333333
svd,1,6,10,0.29763514416313175,0.8296296296296296,0.8666666666666667
cbow,1,7,2,100.0,0.7648148148148148,0.8666666666666667
skipgram,1,7,2,0.01,0.8240740740740741,0.9166666666666666
svd,1,7,2,37.92690190732246,0.8296296296296296,0.8666666666666667
cbow,1,7,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,7,4,0.01,0.8240740740740741,0.9166666666666666
svd,1,7,4,1.2742749857031335,0.8296296296296296,0.8666666666666667
cbow,1,7,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,7,6,0.01,0.8240740740740741,0.9166666666666666
svd,1,7,6,0.01,0.8296296296296296,0.8666666666666667
cbow,1,7,8,0.01,0.6814814814814815,0.6666666666666666
skipgram,1,7,8,0.01,0.8240740740740741,0.9166666666666666
svd,1,7,8,5.455594781168514,0.8296296296296296,0.8666666666666667
cbow,1,7,10,0.01,0.48518518518518516,0.38333333333333336
skipgram,1,7,10,0.01,0.8240740740740741,0.9166666666666666
svd,1,7,10,0.01,0.8296296296296296,0.8666666666666667
cbow,1,8,2,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,8,2,0.01,0.8240740740740741,0.9166666666666666
svd,1,8,2,23.357214690901213,0.8296296296296296,0.8666666666666667
cbow,1,8,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,8,4,1.2742749857031335,0.8240740740740741,0.9166666666666666
svd,1,8,4,0.016237767391887217,0.8296296296296296,0.8666666666666667
cbow,1,8,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,1,8,6,0.01,0.8240740740740741,0.9166666666666666
svd,1,8,6,0.29763514416313175,0.8296296296296296,0.8666666666666667
cbow,1,8,8,0.01,0.8166666666666667,0.9166666666666666
skipgram,1,8,8,0.01,0.8240740740740741,0.9166666666666666
svd,1,8,8,0.01,0.8296296296296296,0.8666666666666667
cbow,1,8,10,0.01,0.5148148148148148,0.5
skipgram,1,8,10,0.01,0.8240740740740741,0.9166666666666666
svd,1,8,10,0.01,0.8296296296296296,0.8666666666666667
cbow,2,2,2,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,2,2,0.11288378916846889,0.8277777777777777,0.8833333333333333
svd,2,2,2,37.92690190732246,0.8296296296296296,0.8666666666666667
cbow,2,2,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,2,4,0.01,0.8277777777777777,0.8833333333333333
svd,2,2,4,0.01,0.8296296296296296,0.8666666666666667
cbow,2,2,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,2,6,0.026366508987303583,0.8277777777777777,0.8833333333333333
svd,2,2,6,0.01,0.8296296296296296,0.8666666666666667
cbow,2,2,8,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,2,8,0.01,0.8277777777777777,0.8833333333333333
svd,2,2,8,0.01,0.8296296296296296,0.8666666666666667
cbow,2,2,10,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,2,10,0.01,0.8277777777777777,0.8833333333333333
svd,2,2,10,0.01,0.8296296296296296,0.8666666666666667
cbow,2,3,2,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,3,2,37.92690190732246,0.8277777777777777,0.8833333333333333
svd,2,3,2,0.06951927961775606,0.8296296296296296,0.8666666666666667
cbow,2,3,4,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,3,4,0.7847599703514611,0.8277777777777777,0.8833333333333333
svd,2,3,4,2.06913808111479,0.8296296296296296,0.8666666666666667
cbow,2,3,6,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,3,6,0.01,0.8277777777777777,0.8833333333333333
svd,2,3,6,2.06913808111479,0.8296296296296296,0.8666666666666667
cbow,2,3,8,0.01,0.8240740740740741,0.9166666666666666
skipgram,2,3,8,0.01,0.8277777777777777,0.8833333333333333
svd,2,3,8,0.01,0.8296296296296296,0.8666666666666667
