emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.4832930238571752,0.5088495575221239,0.4230769230769231
skipgram,1,2,2,14.38449888287663,0.5088495575221239,0.4230769230769231
svd,1,2,2,0.01,0.5088495575221239,0.4230769230769231
cbow,1,2,4,0.04281332398719394,0.5088495575221239,0.4230769230769231
skipgram,1,2,4,0.7847599703514611,0.5088495575221239,0.4230769230769231
svd,1,2,4,0.016237767391887217,0.5088495575221239,0.4230769230769231
cbow,1,2,6,0.11288378916846889,0.5088495575221239,0.4230769230769231
skipgram,1,2,6,0.06951927961775606,0.5088495575221239,0.4230769230769231
svd,1,2,6,3.359818286283781,0.5088495575221239,0.4230769230769231
cbow,1,2,8,23.357214690901213,0.43805309734513276,0.34615384615384615
skipgram,1,2,8,0.04281332398719394,0.5088495575221239,0.4230769230769231
svd,1,2,8,100.0,0.5088495575221239,0.4230769230769231
cbow,1,2,10,23.357214690901213,0.5088495575221239,0.4230769230769231
skipgram,1,2,10,0.4832930238571752,0.5088495575221239,0.4230769230769231
svd,1,2,10,0.18329807108324356,0.5088495575221239,0.4230769230769231
cbow,1,3,2,8.858667904100823,0.5088495575221239,0.4230769230769231
skipgram,1,3,2,8.858667904100823,0.5088495575221239,0.4230769230769231
svd,1,3,2,0.11288378916846889,0.5132743362831859,0.4230769230769231
cbow,1,3,4,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,3,4,0.026366508987303583,0.5088495575221239,0.4230769230769231
svd,1,3,4,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,3,6,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,3,6,3.359818286283781,0.5088495575221239,0.4230769230769231
svd,1,3,6,0.01,0.4911504424778761,0.5769230769230769
cbow,1,3,8,14.38449888287663,0.42920353982300885,0.3076923076923077
skipgram,1,3,8,5.455594781168514,0.5088495575221239,0.4230769230769231
svd,1,3,8,2.06913808111479,0.5088495575221239,0.4230769230769231
cbow,1,3,10,100.0,0.43805309734513276,0.38461538461538464
skipgram,1,3,10,61.584821106602604,0.5088495575221239,0.4230769230769231
svd,1,3,10,0.01,0.5088495575221239,0.4230769230769231
cbow,1,4,2,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,4,2,100.0,0.5088495575221239,0.4230769230769231
svd,1,4,2,23.357214690901213,0.5088495575221239,0.4230769230769231
cbow,1,4,4,0.01,0.5088495575221239,0.4230769230769231
skipgram,1,4,4,14.38449888287663,0.5088495575221239,0.4230769230769231
svd,1,4,4,0.7847599703514611,0.5088495575221239,0.46153846153846156
cbow,1,4,6,14.38449888287663,0.4469026548672566,0.46153846153846156
skipgram,1,4,6,14.38449888287663,0.4911504424778761,0.46153846153846156
svd,1,4,6,0.04281332398719394,0.5088495575221239,0.4230769230769231
cbow,1,4,8,8.858667904100823,0.3672566371681416,0.3076923076923077
skipgram,1,4,8,0.18329807108324356,0.5088495575221239,0.4230769230769231
svd,1,4,8,0.01,0.5088495575221239,0.4230769230769231
cbow,1,4,10,8.858667904100823,0.2743362831858407,0.34615384615384615
skipgram,1,4,10,0.06951927961775606,0.5088495575221239,0.4230769230769231
svd,1,4,10,0.026366508987303583,0.5088495575221239,0.4230769230769231
cbow,1,5,2,14.38449888287663,0.5088495575221239,0.4230769230769231
skipgram,1,5,2,0.04281332398719394,0.5088495575221239,0.4230769230769231
svd,1,5,2,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,5,4,14.38449888287663,0.4424778761061947,0.34615384615384615
skipgram,1,5,4,23.357214690901213,0.504424778761062,0.38461538461538464
svd,1,5,4,0.7847599703514611,0.8539823008849557,0.6538461538461539
cbow,1,5,6,61.584821106602604,0.35398230088495575,0.4230769230769231
skipgram,1,5,6,0.29763514416313175,0.5088495575221239,0.4230769230769231
svd,1,5,6,0.29763514416313175,0.5309734513274337,0.5
cbow,1,5,8,61.584821106602604,0.2920353982300885,0.38461538461538464
skipgram,1,5,8,0.7847599703514611,0.5088495575221239,0.4230769230769231
svd,1,5,8,5.455594781168514,0.7699115044247787,0.8076923076923077
cbow,1,5,10,8.858667904100823,0.30973451327433627,0.2692307692307692
skipgram,1,5,10,8.858667904100823,0.45132743362831856,0.46153846153846156
svd,1,5,10,0.01,0.7300884955752213,0.8461538461538461
cbow,1,6,2,0.026366508987303583,0.5088495575221239,0.4230769230769231
skipgram,1,6,2,14.38449888287663,0.5088495575221239,0.4230769230769231
svd,1,6,2,0.4832930238571752,0.5088495575221239,0.4230769230769231
cbow,1,6,4,8.858667904100823,0.5088495575221239,0.4230769230769231
skipgram,1,6,4,14.38449888287663,0.42920353982300885,0.2692307692307692
svd,1,6,4,0.04281332398719394,0.7876106194690266,0.8461538461538461
cbow,1,6,6,14.38449888287663,0.30973451327433627,0.46153846153846156
skipgram,1,6,6,0.29763514416313175,0.504424778761062,0.4230769230769231
svd,1,6,6,0.04281332398719394,0.7345132743362832,0.7307692307692307
cbow,1,6,8,0.4832930238571752,0.2743362831858407,0.3076923076923077
skipgram,1,6,8,0.06951927961775606,0.4646017699115044,0.4230769230769231
svd,1,6,8,0.18329807108324356,0.827433628318584,0.9230769230769231
cbow,1,6,10,0.026366508987303583,0.5088495575221239,0.4230769230769231
skipgram,1,6,10,0.7847599703514611,0.41150442477876104,0.4230769230769231
svd,1,6,10,0.06951927961775606,0.8672566371681416,0.8461538461538461
cbow,1,7,2,0.11288378916846889,0.5088495575221239,0.4230769230769231
skipgram,1,7,2,0.06951927961775606,0.5088495575221239,0.4230769230769231
svd,1,7,2,0.7847599703514611,0.5176991150442478,0.4230769230769231
cbow,1,7,4,8.858667904100823,0.5088495575221239,0.4230769230769231
skipgram,1,7,4,2.06913808111479,0.38495575221238937,0.2692307692307692
svd,1,7,4,0.7847599703514611,0.5088495575221239,0.4230769230769231
cbow,1,7,6,100.0,0.33185840707964603,0.5384615384615384
skipgram,1,7,6,0.4832930238571752,0.4911504424778761,0.38461538461538464
svd,1,7,6,0.04281332398719394,0.8938053097345132,0.8076923076923077
