emb_type,m,n,k,best_C,train_acc,test_acc
cbow,1,2,2,0.016237767391887217,0.5,0.5
skipgram,1,2,2,0.01,0.5,0.5
svd,1,2,2,0.7847599703514611,0.5,0.5
cbow,1,2,4,3.359818286283781,0.5,0.5
skipgram,1,2,4,0.4832930238571752,0.42777777777777776,0.35
svd,1,2,4,0.016237767391887217,0.5,0.5
cbow,1,2,6,23.357214690901213,0.5,0.5
skipgram,1,2,6,61.584821106602604,0.49444444444444446,0.55
svd,1,2,6,0.026366508987303583,0.5777777777777777,0.55
cbow,1,2,8,14.38449888287663,0.5,0.5
skipgram,1,2,8,23.357214690901213,0.5055555555555555,0.5
svd,1,2,8,0.01,0.5,0.5
cbow,1,2,10,0.29763514416313175,0.4888888888888889,0.5
skipgram,1,2,10,0.18329807108324356,0.49444444444444446,0.5
svd,1,2,10,0.29763514416313175,0.5,0.5
cbow,1,3,2,0.06951927961775606,0.5,0.5
skipgram,1,3,2,0.06951927961775606,0.5,0.5
svd,1,3,2,0.01,0.5,0.5
cbow,1,3,4,8.858667904100823,0.5,0.5
skipgram,1,3,4,0.11288378916846889,0.5,0.5
svd,1,3,4,0.01,0.5,0.5
cbow,1,3,6,0.7847599703514611,0.5,0.5
skipgram,1,3,6,100.0,0.4444444444444444,0.5
svd,1,3,6,0.06951927961775606,0.4666666666666667,0.4
cbow,1,3,8,0.026366508987303583,0.5,0.5
skipgram,1,3,8,0.01,0.5,0.5
svd,1,3,8,0.01,0.5,0.5
cbow,1,3,10,0.04281332398719394,0.5,0.5
skipgram,1,3,10,8.858667904100823,0.49444444444444446,0.55
svd,1,3,10,0.29763514416313175,0.48333333333333334,0.5
cbow,1,4,2,0.7847599703514611,0.5,0.5
skipgram,1,4,2,0.01,0.5,0.5
svd,1,4,2,0.11288378916846889,0.5,0.5
cbow,1,4,4,1.2742749857031335,0.5055555555555555,0.45
skipgram,1,4,4,0.4832930238571752,0.4166666666666667,0.35
svd,1,4,4,0.06951927961775606,0.5,0.5
cbow,1,4,6,0.7847599703514611,0.4166666666666667,0.75
skipgram,1,4,6,0.016237767391887217,0.5,0.5
svd,1,4,6,0.7847599703514611,0.5055555555555555,0.5
cbow,1,4,8,0.4832930238571752,0.5,0.5
skipgram,1,4,8,0.4832930238571752,0.5,0.5
svd,1,4,8,0.18329807108324356,0.5,0.5
cbow,1,4,10,0.01,0.5,0.5
skipgram,1,4,10,0.11288378916846889,0.5055555555555555,0.45
svd,1,4,10,0.06951927961775606,0.5,0.5
cbow,1,5,2,0.01,0.5,0.5
skipgram,1,5,2,0.01,0.5,0.5
svd,1,5,2,37.92690190732246,0.5,0.5
cbow,1,5,4,0.026366508987303583,0.5,0.5
skipgram,1,5,4,0.01,0.5,0.5
svd,1,5,4,14.38449888287663,0.5,0.5
cbow,1,5,6,0.026366508987303583,0.49444444444444446,0.5
skipgram,1,5,6,0.29763514416313175,0.49444444444444446,0.55
svd,1,5,6,23.357214690901213,0.5,0.5
cbow,1,5,8,0.06951927961775606,0.5,0.5
skipgram,1,5,8,0.01,0.5,0.5
svd,1,5,8,0.29763514416313175,0.49444444444444446,0.3
cbow,1,5,10,0.04281332398719394,0.5,0.5
skipgram,1,5,10,0.016237767391887217,0.5,0.5
svd,1,5,10,0.7847599703514611,0.49444444444444446,0.5
cbow,1,6,2,0.01,0.5,0.5
skipgram,1,6,2,1.2742749857031335,0.5,0.5
svd,1,6,2,1.2742749857031335,0.5,0.5
cbow,1,6,4,5.455594781168514,0.49444444444444446,0.5
skipgram,1,6,4,0.01,0.5,0.5
svd,1,6,4,0.11288378916846889,0.5,0.5
cbow,1,6,6,0.016237767391887217,0.5,0.5
skipgram,1,6,6,0.7847599703514611,0.5,0.5
svd,1,6,6,0.4832930238571752,0.5166666666666667,0.6
cbow,1,6,8,0.01,0.5,0.5
skipgram,1,6,8,1.2742749857031335,0.46111111111111114,0.55
svd,1,6,8,0.29763514416313175,0.5,0.5
cbow,1,6,10,0.29763514416313175,0.4722222222222222,0.4
skipgram,1,6,10,0.016237767391887217,0.5055555555555555,0.5
svd,1,6,10,5.455594781168514,0.5,0.5
cbow,1,7,2,0.7847599703514611,0.49444444444444446,0.5
skipgram,1,7,2,0.01,0.5,0.5
svd,1,7,2,0.18329807108324356,0.5,0.5
cbow,1,7,4,0.01,0.5,0.5
skipgram,1,7,4,0.01,0.5,0.5
svd,1,7,4,0.11288378916846889,0.5,0.5
cbow,1,7,6,0.4832930238571752,0.45,0.35
skipgram,1,7,6,8.858667904100823,0.5,0.5
svd,1,7,6,0.7847599703514611,0.5,0.5
cbow,1,7,8,0.18329807108324356,0.40555555555555556,0.6
skipgram,1,7,8,0.7847599703514611,0.3888888888888889,0.35
svd,1,7,8,0.016237767391887217,0.5,0.5
cbow,1,7,10,0.29763514416313175,0.46111111111111114,0.35
skipgram,1,7,10,0.7847599703514611,0.4777777777777778,0.55
svd,1,7,10,0.01,0.5055555555555555,0.5
cbow,1,8,2,0.7847599703514611,0.5,0.5
skipgram,1,8,2,0.016237767391887217,0.5,0.5
svd,1,8,2,0.06951927961775606,0.5,0.5
cbow,1,8,4,0.016237767391887217,0.5111111111111111,0.45
skipgram,1,8,4,2.06913808111479,0.4444444444444444,0.45
svd,1,8,4,0.026366508987303583,0.5,0.5
cbow,1,8,6,0.06951927961775606,0.5,0.5
skipgram,1,8,6,0.29763514416313175,0.5,0.5
svd,1,8,6,0.7847599703514611,0.5,0.5
cbow,1,8,8,2.06913808111479,0.5,0.5
skipgram,1,8,8,0.11288378916846889,0.4888888888888889,0.4
svd,1,8,8,0.01,0.5,0.5
cbow,1,8,10,3.359818286283781,0.43333333333333335,0.55
skipgram,1,8,10,0.026366508987303583,0.5,0.5
svd,1,8,10,0.026366508987303583,0.5,0.5
cbow,2,2,2,0.18329807108324356,0.5,0.5
skipgram,2,2,2,0.01,0.5,0.5
svd,2,2,2,0.04281332398719394,0.5,0.5
cbow,2,2,4,0.18329807108324356,0.5,0.5
skipgram,2,2,4,0.016237767391887217,0.5,0.5
svd,2,2,4,0.4832930238571752,0.5111111111111111,0.6
cbow,2,2,6,2.06913808111479,0.5,0.5
skipgram,2,2,6,0.026366508987303583,0.5,0.5
svd,2,2,6,0.01,0.5,0.5
cbow,2,2,8,0.01,0.5,0.5
skipgram,2,2,8,0.11288378916846889,0.5,0.5
svd,2,2,8,0.01,0.5,0.5
cbow,2,2,10,3.359818286283781,0.5,0.5
skipgram,2,2,10,0.01,0.5,0.5
svd,2,2,10,0.01,0.5,0.5
cbow,2,3,2,0.06951927961775606,0.5,0.5
skipgram,2,3,2,0.7847599703514611,0.45555555555555555,0.4
svd,2,3,2,0.06951927961775606,0.5,0.5
cbow,2,3,4,0.01,0.4388888888888889,0.45
skipgram,2,3,4,5.455594781168514,0.5,0.5
svd,2,3,4,1.2742749857031335,0.5,0.5
cbow,2,3,6,0.29763514416313175,0.5,0.5
skipgram,2,3,6,0.4832930238571752,0.5,0.5
svd,2,3,6,1.2742749857031335,0.5,0.5
cbow,2,3,8,0.04281332398719394,0.5,0.5
skipgram,2,3,8,0.04281332398719394,0.5,0.5
svd,2,3,8,0.11288378916846889,0.5,0.5
cbow,2,3,10,0.026366508987303583,0.5,0.5
skipgram,2,3,10,0.11288378916846889,0.5,0.5
svd,2,3,10,2.06913808111479,0.5,0.5
cbow,2,4,2,2.06913808111479,0.5,0.5
skipgram,2,4,2,0.7847599703514611,0.5,0.5
svd,2,4,2,3.359818286283781,0.5,0.5
cbow,2,4,4,0.04281332398719394,0.5,0.5
skipgram,2,4,4,0.29763514416313175,0.5,0.5
svd,2,4,4,0.4832930238571752,0.5055555555555555,0.5
cbow,2,4,6,0.04281332398719394,0.5,0.5
skipgram,2,4,6,0.4832930238571752,0.5,0.5
svd,2,4,6,8.858667904100823,0.5,0.5
cbow,2,4,8,0.01,0.5,0.5
skipgram,2,4,8,1.2742749857031335,0.5,0.5
svd,2,4,8,2.06913808111479,0.5,0.5
cbow,2,4,10,0.06951927961775606,0.5,0.5
skipgram,2,4,10,0.06951927961775606,0.5166666666666667,0.5
svd,2,4,10,5.455594781168514,0.49444444444444446,0.5
cbow,2,5,2,0.29763514416313175,0.5,0.5
skipgram,2,5,2,61.584821106602604,0.5,0.5
svd,2,5,2,0.18329807108324356,0.5,0.5
cbow,2,5,4,0.01,0.5,0.5
skipgram,2,5,4,0.29763514416313175,0.5,0.5
svd,2,5,4,2.06913808111479,0.5,0.5
cbow,2,5,6,2.06913808111479,0.5,0.5
skipgram,2,5,6,2.06913808111479,0.5,0.5
svd,2,5,6,5.455594781168514,0.5,0.5
cbow,2,5,8,0.18329807108324356,0.5,0.5
skipgram,2,5,8,0.026366508987303583,0.5555555555555556,0.55
svd,2,5,8,0.4832930238571752,0.4888888888888889,0.5
cbow,2,5,10,8.858667904100823,0.5,0.5
skipgram,2,5,10,0.016237767391887217,0.5,0.5
svd,2,5,10,0.04281332398719394,0.5,0.5
cbow,2,6,2,3.359818286283781,0.5,0.5
skipgram,2,6,2,61.584821106602604,0.5,0.5
svd,2,6,2,1.2742749857031335,0.5,0.5
cbow,2,6,4,0.04281332398719394,0.5,0.5
skipgram,2,6,4,0.016237767391887217,0.5,0.5
svd,2,6,4,0.29763514416313175,0.5,0.5
cbow,2,6,6,0.06951927961775606,0.5,0.5
skipgram,2,6,6,0.016237767391887217,0.5,0.5
svd,2,6,6,0.4832930238571752,0.5,0.5
cbow,2,6,8,0.11288378916846889,0.5,0.5
skipgram,2,6,8,5.455594781168514,0.5,0.5
svd,2,6,8,0.01,0.5,0.5
cbow,2,6,10,0.11288378916846889,0.5,0.5
skipgram,2,6,10,0.29763514416313175,0.5,0.5
svd,2,6,10,0.026366508987303583,0.5,0.5
cbow,2,7,2,0.18329807108324356,0.5,0.5
skipgram,2,7,2,3.359818286283781,0.5,0.5
svd,2,7,2,37.92690190732246,0.5,0.5
cbow,2,7,4,0.01,0.5,0.5
skipgram,2,7,4,0.4832930238571752,0.4888888888888889,0.55
svd,2,7,4,1.2742749857031335,0.4888888888888889,0.55
cbow,2,7,6,0.11288378916846889,0.5,0.5
skipgram,2,7,6,0.11288378916846889,0.5,0.5
svd,2,7,6,0.7847599703514611,0.5,0.5
cbow,2,7,8,0.026366508987303583,0.5,0.5
skipgram,2,7,8,14.38449888287663,0.5166666666666667,0.6
svd,2,7,8,0.11288378916846889,0.5,0.55
cbow,2,7,10,0.01,0.5,0.5
skipgram,2,7,10,0.01,0.5111111111111111,0.4
svd,2,7,10,0.29763514416313175,0.5,0.5
cbow,2,8,2,0.06951927961775606,0.5,0.5
skipgram,2,8,2,0.01,0.5,0.5
svd,2,8,2,1.2742749857031335,0.49444444444444446,0.4
cbow,2,8,4,3.359818286283781,0.5,0.5
skipgram,2,8,4,0.06951927961775606,0.5,0.5
svd,2,8,4,14.38449888287663,0.5444444444444444,0.4
cbow,2,8,6,0.01,0.5,0.5
skipgram,2,8,6,0.01,0.5,0.5
svd,2,8,6,0.026366508987303583,0.5,0.5
cbow,2,8,8,0.016237767391887217,0.5,0.5
skipgram,2,8,8,0.01,0.5,0.5
svd,2,8,8,1.2742749857031335,0.5,0.5
cbow,2,8,10,0.04281332398719394,0.5,0.5
skipgram,2,8,10,2.06913808111479,0.5,0.5
svd,2,8,10,0.01,0.5,0.5
cbow,3,2,2,2.06913808111479,0.5,0.5
skipgram,3,2,2,0.06951927961775606,0.5,0.5
svd,3,2,2,0.016237767391887217,0.5,0.5
cbow,3,2,4,1.2742749857031335,0.5,0.5
skipgram,3,2,4,0.01,0.5,0.5
svd,3,2,4,0.01,0.5,0.5
cbow,3,2,6,0.016237767391887217,0.5,0.5
skipgram,3,2,6,3.359818286283781,0.5,0.5
svd,3,2,6,0.01,0.5,0.5
cbow,3,2,8,0.7847599703514611,0.5111111111111111,0.5
skipgram,3,2,8,0.11288378916846889,0.5,0.5
svd,3,2,8,2.06913808111479,0.5,0.5
cbow,3,2,10,0.026366508987303583,0.5,0.5
skipgram,3,2,10,0.06951927961775606,0.5,0.5
svd,3,2,10,0.01,0.5,0.5
